bug,class,method,line
1,org.jfree.chart.event.ChartChangeEvent,<init>,69
1,org.jfree.chart.event.ChartChangeEvent,<init>,70
1,org.jfree.chart.event.ChartChangeEvent,<init>,93
1,org.jfree.chart.event.ChartChangeEvent,<init>,94
1,org.jfree.chart.event.ChartChangeEvent,<init>,95
1,org.jfree.chart.event.ChartChangeEvent,<init>,96
1,org.jfree.chart.event.ChartChangeEventType,<clinit>,55
1,org.jfree.chart.event.ChartChangeEventType,<clinit>,59
1,org.jfree.chart.event.ChartChangeEventType,<clinit>,63
1,org.jfree.chart.event.ChartChangeEventType,<init>,74
1,org.jfree.chart.event.ChartChangeEventType,<init>,75
1,org.jfree.chart.event.ChartChangeEventType,<init>,76
1,org.jfree.chart.event.RendererChangeEvent,<init>,70
1,org.jfree.chart.event.RendererChangeEvent,<init>,71
1,org.jfree.chart.event.RendererChangeEvent,<init>,82
1,org.jfree.chart.event.RendererChangeEvent,<init>,83
1,org.jfree.chart.event.RendererChangeEvent,<init>,84
1,org.jfree.chart.event.RendererChangeEvent,<init>,85
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,60
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,64
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,68
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,72
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,76
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,80
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,84
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,88
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,92
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,96
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,100
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,104
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,108
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,112
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,116
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,120
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,124
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,128
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,132
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,136
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,140
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,144
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,148
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,152
1,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,156
1,org.jfree.chart.labels.ItemLabelAnchor,<init>,167
1,org.jfree.chart.labels.ItemLabelAnchor,<init>,168
1,org.jfree.chart.labels.ItemLabelAnchor,<init>,169
1,org.jfree.chart.labels.ItemLabelPosition,<init>,90
1,org.jfree.chart.labels.ItemLabelPosition,<init>,91
1,org.jfree.chart.labels.ItemLabelPosition,<init>,109
1,org.jfree.chart.labels.ItemLabelPosition,<init>,111
1,org.jfree.chart.labels.ItemLabelPosition,<init>,115
1,org.jfree.chart.labels.ItemLabelPosition,<init>,118
1,org.jfree.chart.labels.ItemLabelPosition,<init>,123
1,org.jfree.chart.labels.ItemLabelPosition,<init>,124
1,org.jfree.chart.labels.ItemLabelPosition,<init>,125
1,org.jfree.chart.labels.ItemLabelPosition,<init>,126
1,org.jfree.chart.labels.ItemLabelPosition,<init>,128
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,75
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,76
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,83
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,84
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,87
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,88
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,clone,130
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,equals,141
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,equals,144
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,equals,147
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,equals,149
1,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,equals,152
1,org.jfree.chart.renderer.AbstractRenderer,<clinit>,150
1,org.jfree.chart.renderer.AbstractRenderer,<clinit>,153
1,org.jfree.chart.renderer.AbstractRenderer,<clinit>,156
1,org.jfree.chart.renderer.AbstractRenderer,<clinit>,159
1,org.jfree.chart.renderer.AbstractRenderer,<clinit>,162
1,org.jfree.chart.renderer.AbstractRenderer,<clinit>,165
1,org.jfree.chart.renderer.AbstractRenderer,<clinit>,169
1,org.jfree.chart.renderer.AbstractRenderer,<clinit>,173
1,org.jfree.chart.renderer.AbstractRenderer,<clinit>,2760
1,org.jfree.chart.renderer.AbstractRenderer,<clinit>,2763
1,org.jfree.chart.renderer.AbstractRenderer,<init>,305
1,org.jfree.chart.renderer.AbstractRenderer,<init>,378
1,org.jfree.chart.renderer.AbstractRenderer,<init>,396
1,org.jfree.chart.renderer.AbstractRenderer,<init>,398
1,org.jfree.chart.renderer.AbstractRenderer,<init>,399
1,org.jfree.chart.renderer.AbstractRenderer,<init>,401
1,org.jfree.chart.renderer.AbstractRenderer,<init>,402
1,org.jfree.chart.renderer.AbstractRenderer,<init>,404
1,org.jfree.chart.renderer.AbstractRenderer,<init>,405
1,org.jfree.chart.renderer.AbstractRenderer,<init>,406
1,org.jfree.chart.renderer.AbstractRenderer,<init>,408
1,org.jfree.chart.renderer.AbstractRenderer,<init>,409
1,org.jfree.chart.renderer.AbstractRenderer,<init>,410
1,org.jfree.chart.renderer.AbstractRenderer,<init>,412
1,org.jfree.chart.renderer.AbstractRenderer,<init>,413
1,org.jfree.chart.renderer.AbstractRenderer,<init>,414
1,org.jfree.chart.renderer.AbstractRenderer,<init>,416
1,org.jfree.chart.renderer.AbstractRenderer,<init>,417
1,org.jfree.chart.renderer.AbstractRenderer,<init>,418
1,org.jfree.chart.renderer.AbstractRenderer,<init>,420
1,org.jfree.chart.renderer.AbstractRenderer,<init>,421
1,org.jfree.chart.renderer.AbstractRenderer,<init>,422
1,org.jfree.chart.renderer.AbstractRenderer,<init>,424
1,org.jfree.chart.renderer.AbstractRenderer,<init>,425
1,org.jfree.chart.renderer.AbstractRenderer,<init>,426
1,org.jfree.chart.renderer.AbstractRenderer,<init>,428
1,org.jfree.chart.renderer.AbstractRenderer,<init>,429
1,org.jfree.chart.renderer.AbstractRenderer,<init>,431
1,org.jfree.chart.renderer.AbstractRenderer,<init>,432
1,org.jfree.chart.renderer.AbstractRenderer,<init>,434
1,org.jfree.chart.renderer.AbstractRenderer,<init>,435
1,org.jfree.chart.renderer.AbstractRenderer,<init>,437
1,org.jfree.chart.renderer.AbstractRenderer,<init>,438
1,org.jfree.chart.renderer.AbstractRenderer,<init>,441
1,org.jfree.chart.renderer.AbstractRenderer,<init>,442
1,org.jfree.chart.renderer.AbstractRenderer,<init>,445
1,org.jfree.chart.renderer.AbstractRenderer,<init>,446
1,org.jfree.chart.renderer.AbstractRenderer,<init>,448
1,org.jfree.chart.renderer.AbstractRenderer,<init>,450
1,org.jfree.chart.renderer.AbstractRenderer,<init>,451
1,org.jfree.chart.renderer.AbstractRenderer,<init>,453
1,org.jfree.chart.renderer.AbstractRenderer,<init>,455
1,org.jfree.chart.renderer.AbstractRenderer,<init>,456
1,org.jfree.chart.renderer.AbstractRenderer,<init>,458
1,org.jfree.chart.renderer.AbstractRenderer,<init>,459
1,org.jfree.chart.renderer.AbstractRenderer,<init>,461
1,org.jfree.chart.renderer.AbstractRenderer,<init>,463
1,org.jfree.chart.renderer.AbstractRenderer,<init>,464
1,org.jfree.chart.renderer.AbstractRenderer,<init>,465
1,org.jfree.chart.renderer.AbstractRenderer,clone,3162
1,org.jfree.chart.renderer.AbstractRenderer,clone,3164
1,org.jfree.chart.renderer.AbstractRenderer,clone,3165
1,org.jfree.chart.renderer.AbstractRenderer,clone,3169
1,org.jfree.chart.renderer.AbstractRenderer,clone,3170
1,org.jfree.chart.renderer.AbstractRenderer,clone,3175
1,org.jfree.chart.renderer.AbstractRenderer,clone,3176
1,org.jfree.chart.renderer.AbstractRenderer,clone,3180
1,org.jfree.chart.renderer.AbstractRenderer,clone,3181
1,org.jfree.chart.renderer.AbstractRenderer,clone,3184
1,org.jfree.chart.renderer.AbstractRenderer,clone,3185
1,org.jfree.chart.renderer.AbstractRenderer,clone,3190
1,org.jfree.chart.renderer.AbstractRenderer,clone,3191
1,org.jfree.chart.renderer.AbstractRenderer,clone,3196
1,org.jfree.chart.renderer.AbstractRenderer,clone,3197
1,org.jfree.chart.renderer.AbstractRenderer,clone,3202
1,org.jfree.chart.renderer.AbstractRenderer,clone,3203
1,org.jfree.chart.renderer.AbstractRenderer,clone,3205
1,org.jfree.chart.renderer.AbstractRenderer,clone,3206
1,org.jfree.chart.renderer.AbstractRenderer,clone,3210
1,org.jfree.chart.renderer.AbstractRenderer,clone,3211
1,org.jfree.chart.renderer.AbstractRenderer,clone,3217
1,org.jfree.chart.renderer.AbstractRenderer,clone,3218
1,org.jfree.chart.renderer.AbstractRenderer,clone,3224
1,org.jfree.chart.renderer.AbstractRenderer,clone,3225
1,org.jfree.chart.renderer.AbstractRenderer,clone,3231
1,org.jfree.chart.renderer.AbstractRenderer,clone,3232
1,org.jfree.chart.renderer.AbstractRenderer,clone,3238
1,org.jfree.chart.renderer.AbstractRenderer,clone,3239
1,org.jfree.chart.renderer.AbstractRenderer,clone,3244
1,org.jfree.chart.renderer.AbstractRenderer,clone,3245
1,org.jfree.chart.renderer.AbstractRenderer,clone,3249
1,org.jfree.chart.renderer.AbstractRenderer,clone,3250
1,org.jfree.chart.renderer.AbstractRenderer,clone,3252
1,org.jfree.chart.renderer.AbstractRenderer,clone,3253
1,org.jfree.chart.renderer.AbstractRenderer,clone,3255
1,org.jfree.chart.renderer.AbstractRenderer,clone,3256
1,org.jfree.chart.renderer.AbstractRenderer,clone,3258
1,org.jfree.chart.renderer.AbstractRenderer,clone,3260
1,org.jfree.chart.renderer.AbstractRenderer,equals,2968
1,org.jfree.chart.renderer.AbstractRenderer,equals,2971
1,org.jfree.chart.renderer.AbstractRenderer,equals,2974
1,org.jfree.chart.renderer.AbstractRenderer,equals,2975
1,org.jfree.chart.renderer.AbstractRenderer,equals,2979
1,org.jfree.chart.renderer.AbstractRenderer,equals,2982
1,org.jfree.chart.renderer.AbstractRenderer,equals,2985
1,org.jfree.chart.renderer.AbstractRenderer,equals,2988
1,org.jfree.chart.renderer.AbstractRenderer,equals,2991
1,org.jfree.chart.renderer.AbstractRenderer,equals,2995
1,org.jfree.chart.renderer.AbstractRenderer,equals,2998
1,org.jfree.chart.renderer.AbstractRenderer,equals,3001
1,org.jfree.chart.renderer.AbstractRenderer,equals,3004
1,org.jfree.chart.renderer.AbstractRenderer,equals,3007
1,org.jfree.chart.renderer.AbstractRenderer,equals,3010
1,org.jfree.chart.renderer.AbstractRenderer,equals,3014
1,org.jfree.chart.renderer.AbstractRenderer,equals,3018
1,org.jfree.chart.renderer.AbstractRenderer,equals,3021
1,org.jfree.chart.renderer.AbstractRenderer,equals,3024
1,org.jfree.chart.renderer.AbstractRenderer,equals,3028
1,org.jfree.chart.renderer.AbstractRenderer,equals,3033
1,org.jfree.chart.renderer.AbstractRenderer,equals,3036
1,org.jfree.chart.renderer.AbstractRenderer,equals,3039
1,org.jfree.chart.renderer.AbstractRenderer,equals,3043
1,org.jfree.chart.renderer.AbstractRenderer,equals,3046
1,org.jfree.chart.renderer.AbstractRenderer,equals,3050
1,org.jfree.chart.renderer.AbstractRenderer,equals,3054
1,org.jfree.chart.renderer.AbstractRenderer,equals,3058
1,org.jfree.chart.renderer.AbstractRenderer,equals,3062
1,org.jfree.chart.renderer.AbstractRenderer,equals,3066
1,org.jfree.chart.renderer.AbstractRenderer,equals,3070
1,org.jfree.chart.renderer.AbstractRenderer,equals,3074
1,org.jfree.chart.renderer.AbstractRenderer,equals,3078
1,org.jfree.chart.renderer.AbstractRenderer,equals,3081
1,org.jfree.chart.renderer.AbstractRenderer,equals,3085
1,org.jfree.chart.renderer.AbstractRenderer,equals,3088
1,org.jfree.chart.renderer.AbstractRenderer,equals,3092
1,org.jfree.chart.renderer.AbstractRenderer,equals,3096
1,org.jfree.chart.renderer.AbstractRenderer,equals,3099
1,org.jfree.chart.renderer.AbstractRenderer,equals,3103
1,org.jfree.chart.renderer.AbstractRenderer,equals,3107
1,org.jfree.chart.renderer.AbstractRenderer,equals,3111
1,org.jfree.chart.renderer.AbstractRenderer,fireChangeEvent,2943
1,org.jfree.chart.renderer.AbstractRenderer,fireChangeEvent,2944
1,org.jfree.chart.renderer.AbstractRenderer,notifyListeners,2952
1,org.jfree.chart.renderer.AbstractRenderer,notifyListeners,2953
1,org.jfree.chart.renderer.AbstractRenderer,notifyListeners,2958
1,org.jfree.chart.renderer.AbstractRenderer,setBaseLegendShape,2560
1,org.jfree.chart.renderer.AbstractRenderer,setBaseLegendShape,2561
1,org.jfree.chart.renderer.AbstractRenderer,setBaseLegendShape,2562
1,org.jfree.chart.renderer.RenderAttributes,<init>,120
1,org.jfree.chart.renderer.RenderAttributes,<init>,121
1,org.jfree.chart.renderer.RenderAttributes,<init>,123
1,org.jfree.chart.renderer.RenderAttributes,<init>,124
1,org.jfree.chart.renderer.RenderAttributes,<init>,125
1,org.jfree.chart.renderer.RenderAttributes,<init>,126
1,org.jfree.chart.renderer.RenderAttributes,<init>,127
1,org.jfree.chart.renderer.RenderAttributes,<init>,128
1,org.jfree.chart.renderer.RenderAttributes,<init>,129
1,org.jfree.chart.renderer.RenderAttributes,<init>,130
1,org.jfree.chart.renderer.RenderAttributes,<init>,131
1,org.jfree.chart.renderer.RenderAttributes,<init>,132
1,org.jfree.chart.renderer.RenderAttributes,<init>,133
1,org.jfree.chart.renderer.RenderAttributes,setDefaultFillPaint,265
1,org.jfree.chart.renderer.RenderAttributes,setDefaultFillPaint,268
1,org.jfree.chart.renderer.RenderAttributes,setDefaultFillPaint,269
