bug,class,method,line
1,org.jfree.chart.annotations.AbstractAnnotation,<init>,72
1,org.jfree.chart.annotations.AbstractAnnotation,<init>,77
1,org.jfree.chart.annotations.AbstractAnnotation,<init>,78
1,org.jfree.chart.annotations.AbstractAnnotation,<init>,79
1,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,99
1,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,100
1,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,103
1,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,104
1,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,105
1,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,106
1,org.jfree.chart.annotations.CategoryTextAnnotation,equals,240
1,org.jfree.chart.annotations.CategoryTextAnnotation,equals,243
1,org.jfree.chart.annotations.CategoryTextAnnotation,equals,246
1,org.jfree.chart.annotations.CategoryTextAnnotation,equals,247
1,org.jfree.chart.annotations.CategoryTextAnnotation,equals,250
1,org.jfree.chart.annotations.CategoryTextAnnotation,equals,253
1,org.jfree.chart.annotations.CategoryTextAnnotation,equals,256
1,org.jfree.chart.annotations.CategoryTextAnnotation,equals,259
1,org.jfree.chart.annotations.CategoryTextAnnotation,getCategory,116
1,org.jfree.chart.annotations.CategoryTextAnnotation,getCategoryAnchor,141
1,org.jfree.chart.annotations.CategoryTextAnnotation,getValue,168
1,org.jfree.chart.annotations.TextAnnotation,<clinit>,80
1,org.jfree.chart.annotations.TextAnnotation,<clinit>,83
1,org.jfree.chart.annotations.TextAnnotation,<clinit>,86
1,org.jfree.chart.annotations.TextAnnotation,<clinit>,89
1,org.jfree.chart.annotations.TextAnnotation,<init>,118
1,org.jfree.chart.annotations.TextAnnotation,<init>,119
1,org.jfree.chart.annotations.TextAnnotation,<init>,122
1,org.jfree.chart.annotations.TextAnnotation,<init>,123
1,org.jfree.chart.annotations.TextAnnotation,<init>,124
1,org.jfree.chart.annotations.TextAnnotation,<init>,125
1,org.jfree.chart.annotations.TextAnnotation,<init>,126
1,org.jfree.chart.annotations.TextAnnotation,<init>,127
1,org.jfree.chart.annotations.TextAnnotation,<init>,128
1,org.jfree.chart.annotations.TextAnnotation,equals,293
1,org.jfree.chart.annotations.TextAnnotation,equals,297
1,org.jfree.chart.annotations.TextAnnotation,equals,300
1,org.jfree.chart.annotations.TextAnnotation,equals,301
1,org.jfree.chart.annotations.TextAnnotation,equals,304
1,org.jfree.chart.annotations.TextAnnotation,equals,307
1,org.jfree.chart.annotations.TextAnnotation,equals,310
1,org.jfree.chart.annotations.TextAnnotation,equals,313
1,org.jfree.chart.annotations.TextAnnotation,equals,317
1,org.jfree.chart.annotations.TextAnnotation,equals,322
1,org.jfree.chart.annotations.TextAnnotation,getFont,163
1,org.jfree.chart.annotations.TextAnnotation,getPaint,190
1,org.jfree.chart.annotations.TextAnnotation,getRotationAnchor,245
1,org.jfree.chart.annotations.TextAnnotation,getRotationAngle,269
1,org.jfree.chart.annotations.TextAnnotation,getText,138
1,org.jfree.chart.annotations.TextAnnotation,getTextAnchor,217
1,org.jfree.chart.axis.CategoryAnchor,<clinit>,56
1,org.jfree.chart.axis.CategoryAnchor,<clinit>,60
1,org.jfree.chart.axis.CategoryAnchor,<clinit>,64
1,org.jfree.chart.axis.CategoryAnchor,<init>,75
1,org.jfree.chart.axis.CategoryAnchor,<init>,76
1,org.jfree.chart.axis.CategoryAnchor,<init>,77
1,org.jfree.chart.axis.CategoryAnchor,equals,98
1,org.jfree.chart.axis.CategoryAnchor,equals,99
1,org.jfree.chart.event.ChartChangeEvent,<init>,69
1,org.jfree.chart.event.ChartChangeEvent,<init>,70
1,org.jfree.chart.event.ChartChangeEvent,<init>,93
1,org.jfree.chart.event.ChartChangeEvent,<init>,94
