bug,class,method,line
13,org.jfree.chart.block.AbstractBlock,<init>,109
13,org.jfree.chart.block.AbstractBlock,<init>,110
13,org.jfree.chart.block.AbstractBlock,<init>,111
13,org.jfree.chart.block.AbstractBlock,<init>,112
13,org.jfree.chart.block.AbstractBlock,<init>,113
13,org.jfree.chart.block.AbstractBlock,<init>,114
13,org.jfree.chart.block.AbstractBlock,<init>,115
13,org.jfree.chart.block.AbstractBlock,<init>,116
13,org.jfree.chart.block.AbstractBlock,<init>,117
13,org.jfree.chart.block.AbstractBlock,calculateTotalHeight,489
13,org.jfree.chart.block.AbstractBlock,calculateTotalHeight,490
13,org.jfree.chart.block.AbstractBlock,calculateTotalHeight,491
13,org.jfree.chart.block.AbstractBlock,calculateTotalHeight,492
13,org.jfree.chart.block.AbstractBlock,calculateTotalHeight,493
13,org.jfree.chart.block.AbstractBlock,calculateTotalWidth,474
13,org.jfree.chart.block.AbstractBlock,calculateTotalWidth,475
13,org.jfree.chart.block.AbstractBlock,calculateTotalWidth,476
13,org.jfree.chart.block.AbstractBlock,calculateTotalWidth,477
13,org.jfree.chart.block.AbstractBlock,calculateTotalWidth,478
13,org.jfree.chart.block.AbstractBlock,getHeight,175
13,org.jfree.chart.block.AbstractBlock,getWidth,151
13,org.jfree.chart.block.AbstractBlock,setBounds,365
13,org.jfree.chart.block.AbstractBlock,setBounds,368
13,org.jfree.chart.block.AbstractBlock,setBounds,369
13,org.jfree.chart.block.AbstractBlock,setHeight,186
13,org.jfree.chart.block.AbstractBlock,setHeight,187
13,org.jfree.chart.block.AbstractBlock,setWidth,162
13,org.jfree.chart.block.AbstractBlock,setWidth,163
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,416
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,419
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,422
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,423
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,424
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,425
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,426
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,427
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,428
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,429
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,430
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,401
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,402
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,403
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,404
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,452
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,453
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,455
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,456
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,457
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,460
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,461
13,org.jfree.chart.block.AbstractBlock,trimToContentHeight,463
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,383
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,384
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,385
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,386
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,437
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,438
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,440
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,441
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,442
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,443
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,445
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,446
13,org.jfree.chart.block.AbstractBlock,trimToContentWidth,448
13,org.jfree.chart.block.BlockBorder,<clinit>,71
13,org.jfree.chart.block.BlockBorder,<init>,128
13,org.jfree.chart.block.BlockBorder,<init>,129
13,org.jfree.chart.block.BlockBorder,<init>,132
13,org.jfree.chart.block.BlockBorder,<init>,135
13,org.jfree.chart.block.BlockBorder,<init>,136
13,org.jfree.chart.block.BlockBorder,<init>,137
13,org.jfree.chart.block.BlockBorder,getInsets,145
13,org.jfree.chart.block.BlockContainer,<init>,95
13,org.jfree.chart.block.BlockContainer,<init>,96
13,org.jfree.chart.block.BlockContainer,<init>,99
13,org.jfree.chart.block.BlockContainer,<init>,100
13,org.jfree.chart.block.BlockContainer,<init>,101
13,org.jfree.chart.block.BlockContainer,add,150
13,org.jfree.chart.block.BlockContainer,add,151
13,org.jfree.chart.block.BlockContainer,add,160
