bug,class,method,line
13,org.jfree.chart.block.AbstractBlock,<init>,109
13,org.jfree.chart.block.AbstractBlock,<init>,110
13,org.jfree.chart.block.AbstractBlock,<init>,111
13,org.jfree.chart.block.AbstractBlock,<init>,112
13,org.jfree.chart.block.AbstractBlock,<init>,113
13,org.jfree.chart.block.AbstractBlock,<init>,114
13,org.jfree.chart.block.AbstractBlock,<init>,115
13,org.jfree.chart.block.AbstractBlock,<init>,116
13,org.jfree.chart.block.AbstractBlock,<init>,117
13,org.jfree.chart.block.AbstractBlock,equals,556
13,org.jfree.chart.block.AbstractBlock,equals,559
13,org.jfree.chart.block.AbstractBlock,equals,560
13,org.jfree.chart.block.AbstractBlock,equals,562
13,org.jfree.chart.block.AbstractBlock,equals,563
13,org.jfree.chart.block.AbstractBlock,equals,566
13,org.jfree.chart.block.AbstractBlock,equals,569
13,org.jfree.chart.block.AbstractBlock,equals,572
13,org.jfree.chart.block.AbstractBlock,equals,575
13,org.jfree.chart.block.AbstractBlock,equals,578
13,org.jfree.chart.block.AbstractBlock,equals,581
13,org.jfree.chart.block.AbstractBlock,equals,584
13,org.jfree.chart.block.AbstractBlock,setHeight,186
13,org.jfree.chart.block.AbstractBlock,setHeight,187
13,org.jfree.chart.block.AbstractBlock,setWidth,162
13,org.jfree.chart.block.AbstractBlock,setWidth,163
13,org.jfree.chart.block.BlockBorder,<clinit>,71
13,org.jfree.chart.block.BlockBorder,<init>,128
13,org.jfree.chart.block.BlockBorder,<init>,129
13,org.jfree.chart.block.BlockBorder,<init>,132
13,org.jfree.chart.block.BlockBorder,<init>,135
13,org.jfree.chart.block.BlockBorder,<init>,136
13,org.jfree.chart.block.BlockBorder,<init>,137
13,org.jfree.chart.block.BlockBorder,equals,202
13,org.jfree.chart.block.BlockBorder,equals,203
13,org.jfree.chart.block.BorderArrangement,<init>,84
13,org.jfree.chart.block.BorderArrangement,<init>,85
13,org.jfree.chart.block.BorderArrangement,add,96
13,org.jfree.chart.block.BorderArrangement,add,97
13,org.jfree.chart.block.BorderArrangement,add,100
13,org.jfree.chart.block.BorderArrangement,add,101
13,org.jfree.chart.block.BorderArrangement,add,102
13,org.jfree.chart.block.BorderArrangement,add,104
13,org.jfree.chart.block.BorderArrangement,add,105
13,org.jfree.chart.block.BorderArrangement,add,107
13,org.jfree.chart.block.BorderArrangement,add,108
13,org.jfree.chart.block.BorderArrangement,add,110
13,org.jfree.chart.block.BorderArrangement,add,111
13,org.jfree.chart.block.BorderArrangement,add,114
13,org.jfree.chart.block.BorderArrangement,equals,553
13,org.jfree.chart.block.BorderArrangement,equals,556
13,org.jfree.chart.block.BorderArrangement,equals,559
13,org.jfree.chart.block.BorderArrangement,equals,560
13,org.jfree.chart.block.BorderArrangement,equals,561
13,org.jfree.chart.block.BorderArrangement,equals,563
13,org.jfree.chart.block.BorderArrangement,equals,564
13,org.jfree.chart.block.BorderArrangement,equals,566
13,org.jfree.chart.block.BorderArrangement,equals,567
13,org.jfree.chart.block.BorderArrangement,equals,569
13,org.jfree.chart.block.BorderArrangement,equals,570
13,org.jfree.chart.block.BorderArrangement,equals,572
13,org.jfree.chart.block.BorderArrangement,equals,573
13,org.jfree.chart.block.BorderArrangement,equals,575
13,org.jfree.chart.block.EmptyBlock,<init>,68
13,org.jfree.chart.block.EmptyBlock,<init>,69
13,org.jfree.chart.block.EmptyBlock,<init>,70
13,org.jfree.chart.block.EmptyBlock,<init>,71
13,org.jfree.chart.util.ObjectUtilities,<clinit>,80
13,org.jfree.chart.util.ObjectUtilities,equal,125
13,org.jfree.chart.util.ObjectUtilities,equal,126
13,org.jfree.chart.util.ObjectUtilities,equal,128
13,org.jfree.chart.util.ObjectUtilities,equal,129
13,org.jfree.chart.util.RectangleEdge,<clinit>,57
13,org.jfree.chart.util.RectangleEdge,<clinit>,61
13,org.jfree.chart.util.RectangleEdge,<clinit>,65
13,org.jfree.chart.util.RectangleEdge,<clinit>,69
13,org.jfree.chart.util.RectangleEdge,<init>,80
13,org.jfree.chart.util.RectangleEdge,<init>,81
13,org.jfree.chart.util.RectangleEdge,<init>,82
13,org.jfree.chart.util.RectangleInsets,<clinit>,65
13,org.jfree.chart.util.RectangleInsets,<init>,116
13,org.jfree.chart.util.RectangleInsets,<init>,117
13,org.jfree.chart.util.RectangleInsets,<init>,120
13,org.jfree.chart.util.RectangleInsets,<init>,121
13,org.jfree.chart.util.RectangleInsets,<init>,122
13,org.jfree.chart.util.RectangleInsets,<init>,123
13,org.jfree.chart.util.RectangleInsets,<init>,124
13,org.jfree.chart.util.RectangleInsets,<init>,125
13,org.jfree.chart.util.RectangleInsets,equals,181
13,org.jfree.chart.util.RectangleInsets,equals,182
13,org.jfree.chart.util.UnitType,<clinit>,56
13,org.jfree.chart.util.UnitType,<clinit>,59
13,org.jfree.chart.util.UnitType,<init>,69
13,org.jfree.chart.util.UnitType,<init>,70
13,org.jfree.chart.util.UnitType,<init>,71
