bug,class,method,line
13,org.jfree.chart.block.AbstractBlock,<init>,109
13,org.jfree.chart.block.AbstractBlock,<init>,110
13,org.jfree.chart.block.AbstractBlock,<init>,111
13,org.jfree.chart.block.AbstractBlock,<init>,112
13,org.jfree.chart.block.AbstractBlock,<init>,113
13,org.jfree.chart.block.AbstractBlock,<init>,114
13,org.jfree.chart.block.AbstractBlock,<init>,115
13,org.jfree.chart.block.AbstractBlock,<init>,116
13,org.jfree.chart.block.AbstractBlock,<init>,117
13,org.jfree.chart.block.AbstractBlock,arrange,329
13,org.jfree.chart.block.AbstractBlock,arrange,342
13,org.jfree.chart.block.AbstractBlock,arrange,343
13,org.jfree.chart.block.AbstractBlock,calculateTotalHeight,489
13,org.jfree.chart.block.AbstractBlock,calculateTotalHeight,490
13,org.jfree.chart.block.AbstractBlock,calculateTotalHeight,491
13,org.jfree.chart.block.AbstractBlock,calculateTotalHeight,492
13,org.jfree.chart.block.AbstractBlock,calculateTotalHeight,493
13,org.jfree.chart.block.AbstractBlock,calculateTotalWidth,474
13,org.jfree.chart.block.AbstractBlock,calculateTotalWidth,475
13,org.jfree.chart.block.AbstractBlock,calculateTotalWidth,476
13,org.jfree.chart.block.AbstractBlock,calculateTotalWidth,477
13,org.jfree.chart.block.AbstractBlock,calculateTotalWidth,478
13,org.jfree.chart.block.AbstractBlock,getBounds,354
13,org.jfree.chart.block.AbstractBlock,getHeight,175
13,org.jfree.chart.block.AbstractBlock,getWidth,151
13,org.jfree.chart.block.AbstractBlock,setBounds,365
13,org.jfree.chart.block.AbstractBlock,setBounds,368
13,org.jfree.chart.block.AbstractBlock,setBounds,369
13,org.jfree.chart.block.AbstractBlock,setHeight,186
13,org.jfree.chart.block.AbstractBlock,setHeight,187
13,org.jfree.chart.block.AbstractBlock,setWidth,162
13,org.jfree.chart.block.AbstractBlock,setWidth,163
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,416
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,419
13,org.jfree.chart.block.AbstractBlock,toContentConstraint,420
13,org.jfree.chart.block.BlockBorder,<clinit>,71
13,org.jfree.chart.block.BlockBorder,<init>,128
13,org.jfree.chart.block.BlockBorder,<init>,129
13,org.jfree.chart.block.BlockBorder,<init>,132
13,org.jfree.chart.block.BlockBorder,<init>,135
13,org.jfree.chart.block.BlockBorder,<init>,136
13,org.jfree.chart.block.BlockBorder,<init>,137
13,org.jfree.chart.block.BlockBorder,getInsets,145
13,org.jfree.chart.block.BlockContainer,<init>,95
13,org.jfree.chart.block.BlockContainer,<init>,96
13,org.jfree.chart.block.BlockContainer,<init>,99
13,org.jfree.chart.block.BlockContainer,<init>,100
13,org.jfree.chart.block.BlockContainer,<init>,101
13,org.jfree.chart.block.BlockContainer,add,150
13,org.jfree.chart.block.BlockContainer,add,151
13,org.jfree.chart.block.BlockContainer,add,160
13,org.jfree.chart.block.BlockContainer,add,161
13,org.jfree.chart.block.BlockContainer,add,162
13,org.jfree.chart.block.BlockContainer,arrange,182
13,org.jfree.chart.block.BlockContainer,clear,168
13,org.jfree.chart.block.BlockContainer,clear,169
13,org.jfree.chart.block.BlockContainer,clear,170
13,org.jfree.chart.block.BorderArrangement,<init>,84
13,org.jfree.chart.block.BorderArrangement,<init>,85
13,org.jfree.chart.block.BorderArrangement,add,96
13,org.jfree.chart.block.BorderArrangement,add,97
13,org.jfree.chart.block.BorderArrangement,add,100
13,org.jfree.chart.block.BorderArrangement,add,101
13,org.jfree.chart.block.BorderArrangement,add,102
13,org.jfree.chart.block.BorderArrangement,add,104
13,org.jfree.chart.block.BorderArrangement,add,105
13,org.jfree.chart.block.BorderArrangement,add,107
13,org.jfree.chart.block.BorderArrangement,add,108
13,org.jfree.chart.block.BorderArrangement,add,110
13,org.jfree.chart.block.BorderArrangement,add,111
13,org.jfree.chart.block.BorderArrangement,add,114
13,org.jfree.chart.block.BorderArrangement,arrange,129
13,org.jfree.chart.block.BorderArrangement,arrange,131
13,org.jfree.chart.block.BorderArrangement,arrange,132
13,org.jfree.chart.block.BorderArrangement,arrange,133
13,org.jfree.chart.block.BorderArrangement,arrange,134
13,org.jfree.chart.block.BorderArrangement,arrange,135
13,org.jfree.chart.block.BorderArrangement,arrange,136
13,org.jfree.chart.block.BorderArrangement,arrange,170
13,org.jfree.chart.block.BorderArrangement,arrangeNN,185
13,org.jfree.chart.block.BorderArrangement,arrangeNN,186
13,org.jfree.chart.block.BorderArrangement,arrangeNN,187
13,org.jfree.chart.block.BorderArrangement,arrangeNN,188
13,org.jfree.chart.block.BorderArrangement,arrangeNN,191
13,org.jfree.chart.block.BorderArrangement,arrangeNN,192
13,org.jfree.chart.block.BorderArrangement,arrangeNN,194
13,org.jfree.chart.block.BorderArrangement,arrangeNN,195
