bug,class,method,line
18,org.jfree.data.DefaultKeyedValues,<init>,93
18,org.jfree.data.DefaultKeyedValues,<init>,94
18,org.jfree.data.DefaultKeyedValues,<init>,95
18,org.jfree.data.DefaultKeyedValues,<init>,96
18,org.jfree.data.DefaultKeyedValues,<init>,97
18,org.jfree.data.DefaultKeyedValues,addValue,205
18,org.jfree.data.DefaultKeyedValues,addValue,206
18,org.jfree.data.DefaultKeyedValues,getIndex,145
18,org.jfree.data.DefaultKeyedValues,getIndex,148
18,org.jfree.data.DefaultKeyedValues,getIndex,149
18,org.jfree.data.DefaultKeyedValues,getIndex,151
18,org.jfree.data.DefaultKeyedValues,getIndex,153
18,org.jfree.data.DefaultKeyedValues,getKey,131
18,org.jfree.data.DefaultKeyedValues,getValue,118
18,org.jfree.data.DefaultKeyedValues,getValue,177
18,org.jfree.data.DefaultKeyedValues,getValue,178
18,org.jfree.data.DefaultKeyedValues,getValue,181
18,org.jfree.data.DefaultKeyedValues,setValue,225
18,org.jfree.data.DefaultKeyedValues,setValue,228
18,org.jfree.data.DefaultKeyedValues,setValue,229
18,org.jfree.data.DefaultKeyedValues,setValue,234
18,org.jfree.data.DefaultKeyedValues,setValue,235
18,org.jfree.data.DefaultKeyedValues,setValue,236
18,org.jfree.data.DefaultKeyedValues,setValue,238
