bug,class,method,line
18,org.jfree.data.DefaultKeyedValues,<init>,93
18,org.jfree.data.DefaultKeyedValues,<init>,94
18,org.jfree.data.DefaultKeyedValues,<init>,95
18,org.jfree.data.DefaultKeyedValues,<init>,96
18,org.jfree.data.DefaultKeyedValues,<init>,97
18,org.jfree.data.DefaultKeyedValues,addValue,205
18,org.jfree.data.DefaultKeyedValues,addValue,206
18,org.jfree.data.DefaultKeyedValues,getIndex,145
18,org.jfree.data.DefaultKeyedValues,getIndex,148
18,org.jfree.data.DefaultKeyedValues,getIndex,149
18,org.jfree.data.DefaultKeyedValues,getIndex,151
18,org.jfree.data.DefaultKeyedValues,getIndex,153
18,org.jfree.data.DefaultKeyedValues,rebuildIndex,295
18,org.jfree.data.DefaultKeyedValues,rebuildIndex,296
18,org.jfree.data.DefaultKeyedValues,rebuildIndex,297
18,org.jfree.data.DefaultKeyedValues,rebuildIndex,298
18,org.jfree.data.DefaultKeyedValues,rebuildIndex,300
18,org.jfree.data.DefaultKeyedValues,removeValue,312
18,org.jfree.data.DefaultKeyedValues,removeValue,313
18,org.jfree.data.DefaultKeyedValues,removeValue,316
18,org.jfree.data.DefaultKeyedValues,removeValue,317
18,org.jfree.data.DefaultKeyedValues,removeValue,319
18,org.jfree.data.DefaultKeyedValues,removeValue,331
18,org.jfree.data.DefaultKeyedValues,removeValue,332
18,org.jfree.data.DefaultKeyedValues,removeValue,333
18,org.jfree.data.DefaultKeyedValues,removeValue,335
18,org.jfree.data.DefaultKeyedValues,setValue,225
18,org.jfree.data.DefaultKeyedValues,setValue,228
18,org.jfree.data.DefaultKeyedValues,setValue,229
18,org.jfree.data.DefaultKeyedValues,setValue,234
18,org.jfree.data.DefaultKeyedValues,setValue,235
18,org.jfree.data.DefaultKeyedValues,setValue,236
18,org.jfree.data.DefaultKeyedValues,setValue,238
