bug,class,method,line
18,org.jfree.chart.util.SortOrder,<clinit>,59
18,org.jfree.chart.util.SortOrder,<clinit>,63
18,org.jfree.chart.util.SortOrder,<init>,74
18,org.jfree.chart.util.SortOrder,<init>,75
18,org.jfree.chart.util.SortOrder,<init>,76
18,org.jfree.chart.util.SortOrder,equals,97
18,org.jfree.chart.util.SortOrder,equals,98
18,org.jfree.chart.util.SortOrder,equals,100
18,org.jfree.chart.util.SortOrder,equals,104
18,org.jfree.chart.util.SortOrder,equals,105
18,org.jfree.chart.util.SortOrder,equals,106
18,org.jfree.chart.util.SortOrder,toString,84
18,org.jfree.data.DefaultKeyedValue,<init>,77
18,org.jfree.data.DefaultKeyedValue,<init>,78
18,org.jfree.data.DefaultKeyedValue,<init>,79
18,org.jfree.data.DefaultKeyedValue,<init>,80
18,org.jfree.data.DefaultKeyedValue,getKey,88
18,org.jfree.data.DefaultKeyedValue,getValue,97
18,org.jfree.data.DefaultKeyedValues,<init>,93
18,org.jfree.data.DefaultKeyedValues,<init>,94
18,org.jfree.data.DefaultKeyedValues,<init>,95
18,org.jfree.data.DefaultKeyedValues,<init>,96
18,org.jfree.data.DefaultKeyedValues,<init>,97
18,org.jfree.data.DefaultKeyedValues,addValue,205
18,org.jfree.data.DefaultKeyedValues,addValue,206
18,org.jfree.data.DefaultKeyedValues,clear,343
18,org.jfree.data.DefaultKeyedValues,clear,344
18,org.jfree.data.DefaultKeyedValues,clear,345
18,org.jfree.data.DefaultKeyedValues,clear,346
18,org.jfree.data.DefaultKeyedValues,getIndex,145
18,org.jfree.data.DefaultKeyedValues,getIndex,148
18,org.jfree.data.DefaultKeyedValues,getIndex,149
18,org.jfree.data.DefaultKeyedValues,getIndex,151
18,org.jfree.data.DefaultKeyedValues,getIndex,153
18,org.jfree.data.DefaultKeyedValues,getKey,131
18,org.jfree.data.DefaultKeyedValues,getValue,118
18,org.jfree.data.DefaultKeyedValues,getValue,177
18,org.jfree.data.DefaultKeyedValues,getValue,178
18,org.jfree.data.DefaultKeyedValues,getValue,181
18,org.jfree.data.DefaultKeyedValues,setValue,225
18,org.jfree.data.DefaultKeyedValues,setValue,228
18,org.jfree.data.DefaultKeyedValues,setValue,229
18,org.jfree.data.DefaultKeyedValues,setValue,234
18,org.jfree.data.DefaultKeyedValues,setValue,235
18,org.jfree.data.DefaultKeyedValues,setValue,236
18,org.jfree.data.DefaultKeyedValues,setValue,238
18,org.jfree.data.DefaultKeyedValues,sortByKeys,354
18,org.jfree.data.DefaultKeyedValues,sortByKeys,355
18,org.jfree.data.DefaultKeyedValues,sortByKeys,357
18,org.jfree.data.DefaultKeyedValues,sortByKeys,358
18,org.jfree.data.DefaultKeyedValues,sortByKeys,361
18,org.jfree.data.DefaultKeyedValues,sortByKeys,363
18,org.jfree.data.DefaultKeyedValues,sortByKeys,364
18,org.jfree.data.DefaultKeyedValues,sortByKeys,366
18,org.jfree.data.DefaultKeyedValues,sortByKeys,367
18,org.jfree.data.DefaultKeyedValues,sortByKeys,368
18,org.jfree.data.DefaultKeyedValues,sortByKeys,370
18,org.jfree.data.KeyedValueComparator,<init>,70
18,org.jfree.data.KeyedValueComparator,<init>,71
18,org.jfree.data.KeyedValueComparator,<init>,74
18,org.jfree.data.KeyedValueComparator,<init>,75
18,org.jfree.data.KeyedValueComparator,<init>,76
18,org.jfree.data.KeyedValueComparator,compare,107
18,org.jfree.data.KeyedValueComparator,compare,110
18,org.jfree.data.KeyedValueComparator,compare,116
18,org.jfree.data.KeyedValueComparator,compare,117
18,org.jfree.data.KeyedValueComparator,compare,119
18,org.jfree.data.KeyedValueComparator,compare,120
18,org.jfree.data.KeyedValueComparator,compare,123
18,org.jfree.data.KeyedValueComparator,compare,124
18,org.jfree.data.KeyedValueComparator,compare,171
18,org.jfree.data.KeyedValueComparatorType,<clinit>,51
18,org.jfree.data.KeyedValueComparatorType,<clinit>,55
18,org.jfree.data.KeyedValueComparatorType,<init>,66
18,org.jfree.data.KeyedValueComparatorType,<init>,67
18,org.jfree.data.KeyedValueComparatorType,<init>,68
