bug,class,method,line
18,org.jfree.data.DefaultKeyedValue,<init>,77
18,org.jfree.data.DefaultKeyedValue,<init>,78
18,org.jfree.data.DefaultKeyedValue,<init>,79
18,org.jfree.data.DefaultKeyedValue,<init>,80
18,org.jfree.data.DefaultKeyedValue,getKey,88
18,org.jfree.data.DefaultKeyedValues,<init>,88
18,org.jfree.data.DefaultKeyedValues,<init>,89
18,org.jfree.data.DefaultKeyedValues,<init>,90
18,org.jfree.data.DefaultKeyedValues,getIndex,148
18,org.jfree.data.DefaultKeyedValues,getIndex,151
18,org.jfree.data.DefaultKeyedValues,getIndex,152
18,org.jfree.data.DefaultKeyedValues,getIndex,153
18,org.jfree.data.DefaultKeyedValues,getIndex,154
18,org.jfree.data.DefaultKeyedValues,getIndex,155
18,org.jfree.data.DefaultKeyedValues,getIndex,158
18,org.jfree.data.DefaultKeyedValues,getIndex,159
18,org.jfree.data.DefaultKeyedValues,getIndex,160
18,org.jfree.data.DefaultKeyedValues,removeValue,322
18,org.jfree.data.DefaultKeyedValues,removeValue,323
18,org.jfree.data.DefaultKeyedValues,removeValue,324
18,org.jfree.data.DefaultKeyedValues,setValue,238
18,org.jfree.data.DefaultKeyedValues,setValue,241
18,org.jfree.data.DefaultKeyedValues,setValue,242
18,org.jfree.data.DefaultKeyedValues,setValue,247
18,org.jfree.data.DefaultKeyedValues,setValue,248
18,org.jfree.data.DefaultKeyedValues,setValue,250
18,org.jfree.data.DefaultKeyedValues2D,<init>,94
18,org.jfree.data.DefaultKeyedValues2D,<init>,95
18,org.jfree.data.DefaultKeyedValues2D,<init>,102
18,org.jfree.data.DefaultKeyedValues2D,<init>,103
18,org.jfree.data.DefaultKeyedValues2D,<init>,104
18,org.jfree.data.DefaultKeyedValues2D,<init>,105
18,org.jfree.data.DefaultKeyedValues2D,<init>,106
18,org.jfree.data.DefaultKeyedValues2D,<init>,107
18,org.jfree.data.DefaultKeyedValues2D,addValue,302
18,org.jfree.data.DefaultKeyedValues2D,addValue,303
18,org.jfree.data.DefaultKeyedValues2D,getRowIndex,181
18,org.jfree.data.DefaultKeyedValues2D,getRowIndex,184
18,org.jfree.data.DefaultKeyedValues2D,getRowIndex,188
18,org.jfree.data.DefaultKeyedValues2D,removeColumn,449
18,org.jfree.data.DefaultKeyedValues2D,removeColumn,450
18,org.jfree.data.DefaultKeyedValues2D,removeColumn,451
18,org.jfree.data.DefaultKeyedValues2D,removeColumn,452
18,org.jfree.data.DefaultKeyedValues2D,setValue,319
18,org.jfree.data.DefaultKeyedValues2D,setValue,321
18,org.jfree.data.DefaultKeyedValues2D,setValue,325
18,org.jfree.data.DefaultKeyedValues2D,setValue,326
18,org.jfree.data.DefaultKeyedValues2D,setValue,332
18,org.jfree.data.DefaultKeyedValues2D,setValue,333
18,org.jfree.data.DefaultKeyedValues2D,setValue,336
18,org.jfree.data.DefaultKeyedValues2D,setValue,338
18,org.jfree.data.DefaultKeyedValues2D,setValue,339
18,org.jfree.data.DefaultKeyedValues2D,setValue,340
18,org.jfree.data.DefaultKeyedValues2D,setValue,342
18,org.jfree.data.UnknownKeyException,<init>,54
18,org.jfree.data.UnknownKeyException,<init>,55
