bug,class,method,line
18,org.jfree.chart.util.ObjectUtilities,<clinit>,80
18,org.jfree.chart.util.ObjectUtilities,clone,162
18,org.jfree.chart.util.ObjectUtilities,clone,165
18,org.jfree.chart.util.ObjectUtilities,clone,166
18,org.jfree.chart.util.ObjectUtilities,clone,167
18,org.jfree.chart.util.ObjectUtilities,clone,171
18,org.jfree.chart.util.ObjectUtilities,clone,173
18,org.jfree.chart.util.ObjectUtilities,clone,174
18,org.jfree.chart.util.ObjectUtilities,deepClone,203
18,org.jfree.chart.util.ObjectUtilities,deepClone,209
18,org.jfree.chart.util.ObjectUtilities,deepClone,211
18,org.jfree.chart.util.ObjectUtilities,deepClone,212
18,org.jfree.chart.util.ObjectUtilities,deepClone,213
18,org.jfree.chart.util.ObjectUtilities,deepClone,214
18,org.jfree.chart.util.ObjectUtilities,deepClone,215
18,org.jfree.chart.util.ObjectUtilities,deepClone,216
18,org.jfree.chart.util.ObjectUtilities,deepClone,221
18,org.jfree.chart.util.ObjectUtilities,deepClone,222
18,org.jfree.data.DefaultKeyedValue,<init>,77
18,org.jfree.data.DefaultKeyedValue,<init>,78
18,org.jfree.data.DefaultKeyedValue,<init>,79
18,org.jfree.data.DefaultKeyedValue,<init>,80
18,org.jfree.data.DefaultKeyedValue,clone,162
18,org.jfree.data.DefaultKeyedValue,clone,163
18,org.jfree.data.DefaultKeyedValue,getKey,88
18,org.jfree.data.DefaultKeyedValue,getValue,97
18,org.jfree.data.DefaultKeyedValue,setValue,106
18,org.jfree.data.DefaultKeyedValue,setValue,107
18,org.jfree.data.DefaultKeyedValues,<init>,88
18,org.jfree.data.DefaultKeyedValues,<init>,89
18,org.jfree.data.DefaultKeyedValues,<init>,90
18,org.jfree.data.DefaultKeyedValues,addValue,218
18,org.jfree.data.DefaultKeyedValues,addValue,219
18,org.jfree.data.DefaultKeyedValues,clone,425
18,org.jfree.data.DefaultKeyedValues,clone,426
18,org.jfree.data.DefaultKeyedValues,clone,427
18,org.jfree.data.DefaultKeyedValues,equals,371
18,org.jfree.data.DefaultKeyedValues,equals,375
18,org.jfree.data.DefaultKeyedValues,equals,379
18,org.jfree.data.DefaultKeyedValues,equals,380
18,org.jfree.data.DefaultKeyedValues,equals,381
18,org.jfree.data.DefaultKeyedValues,equals,385
18,org.jfree.data.DefaultKeyedValues,equals,386
18,org.jfree.data.DefaultKeyedValues,equals,387
18,org.jfree.data.DefaultKeyedValues,equals,388
18,org.jfree.data.DefaultKeyedValues,equals,391
18,org.jfree.data.DefaultKeyedValues,equals,392
18,org.jfree.data.DefaultKeyedValues,equals,393
18,org.jfree.data.DefaultKeyedValues,equals,394
18,org.jfree.data.DefaultKeyedValues,equals,399
18,org.jfree.data.DefaultKeyedValues,equals,400
18,org.jfree.data.DefaultKeyedValues,equals,404
18,org.jfree.data.DefaultKeyedValues,getIndex,148
18,org.jfree.data.DefaultKeyedValues,getIndex,151
18,org.jfree.data.DefaultKeyedValues,getIndex,152
18,org.jfree.data.DefaultKeyedValues,getIndex,153
18,org.jfree.data.DefaultKeyedValues,getIndex,154
18,org.jfree.data.DefaultKeyedValues,getIndex,155
18,org.jfree.data.DefaultKeyedValues,getIndex,156
18,org.jfree.data.DefaultKeyedValues,getIndex,158
18,org.jfree.data.DefaultKeyedValues,getIndex,159
18,org.jfree.data.DefaultKeyedValues,getIndex,160
18,org.jfree.data.DefaultKeyedValues,getItemCount,98
18,org.jfree.data.DefaultKeyedValues,getKey,129
18,org.jfree.data.DefaultKeyedValues,getKey,130
18,org.jfree.data.DefaultKeyedValues,getKey,131
18,org.jfree.data.DefaultKeyedValues,getKey,132
18,org.jfree.data.DefaultKeyedValues,getKey,134
18,org.jfree.data.DefaultKeyedValues,getValue,111
18,org.jfree.data.DefaultKeyedValues,getValue,112
18,org.jfree.data.DefaultKeyedValues,getValue,113
18,org.jfree.data.DefaultKeyedValues,getValue,114
18,org.jfree.data.DefaultKeyedValues,getValue,116
18,org.jfree.data.DefaultKeyedValues,setValue,238
18,org.jfree.data.DefaultKeyedValues,setValue,241
18,org.jfree.data.DefaultKeyedValues,setValue,242
18,org.jfree.data.DefaultKeyedValues,setValue,243
18,org.jfree.data.DefaultKeyedValues,setValue,244
18,org.jfree.data.DefaultKeyedValues,setValue,245
18,org.jfree.data.DefaultKeyedValues,setValue,247
18,org.jfree.data.DefaultKeyedValues,setValue,248
18,org.jfree.data.DefaultKeyedValues,setValue,250
