bug,class,method,line
18,org.jfree.data.DefaultKeyedValue,<init>,77
18,org.jfree.data.DefaultKeyedValue,<init>,78
18,org.jfree.data.DefaultKeyedValue,<init>,79
18,org.jfree.data.DefaultKeyedValue,<init>,80
18,org.jfree.data.DefaultKeyedValue,getKey,88
18,org.jfree.data.DefaultKeyedValues,<init>,88
18,org.jfree.data.DefaultKeyedValues,<init>,89
18,org.jfree.data.DefaultKeyedValues,<init>,90
18,org.jfree.data.DefaultKeyedValues,addValue,218
18,org.jfree.data.DefaultKeyedValues,addValue,219
18,org.jfree.data.DefaultKeyedValues,getIndex,148
18,org.jfree.data.DefaultKeyedValues,getIndex,151
18,org.jfree.data.DefaultKeyedValues,getIndex,152
18,org.jfree.data.DefaultKeyedValues,getIndex,153
18,org.jfree.data.DefaultKeyedValues,getIndex,154
18,org.jfree.data.DefaultKeyedValues,getIndex,155
18,org.jfree.data.DefaultKeyedValues,getIndex,156
18,org.jfree.data.DefaultKeyedValues,getIndex,158
18,org.jfree.data.DefaultKeyedValues,getIndex,159
18,org.jfree.data.DefaultKeyedValues,getIndex,160
18,org.jfree.data.DefaultKeyedValues,removeValue,308
18,org.jfree.data.DefaultKeyedValues,removeValue,309
18,org.jfree.data.DefaultKeyedValues,removeValue,322
18,org.jfree.data.DefaultKeyedValues,removeValue,323
18,org.jfree.data.DefaultKeyedValues,removeValue,324
18,org.jfree.data.DefaultKeyedValues,removeValue,327
18,org.jfree.data.DefaultKeyedValues,removeValue,328
18,org.jfree.data.DefaultKeyedValues,setValue,238
18,org.jfree.data.DefaultKeyedValues,setValue,241
18,org.jfree.data.DefaultKeyedValues,setValue,242
18,org.jfree.data.DefaultKeyedValues,setValue,247
18,org.jfree.data.DefaultKeyedValues,setValue,248
18,org.jfree.data.DefaultKeyedValues,setValue,250
18,org.jfree.data.UnknownKeyException,<init>,54
18,org.jfree.data.UnknownKeyException,<init>,55
