bug,class,method,line
18,org.jfree.chart.util.SortOrder,<clinit>,59
18,org.jfree.chart.util.SortOrder,<clinit>,63
18,org.jfree.chart.util.SortOrder,<init>,74
18,org.jfree.chart.util.SortOrder,<init>,75
18,org.jfree.chart.util.SortOrder,<init>,76
18,org.jfree.chart.util.SortOrder,equals,97
18,org.jfree.chart.util.SortOrder,equals,98
18,org.jfree.chart.util.SortOrder,equals,100
18,org.jfree.chart.util.SortOrder,equals,104
18,org.jfree.chart.util.SortOrder,equals,105
18,org.jfree.chart.util.SortOrder,equals,106
18,org.jfree.chart.util.SortOrder,toString,84
18,org.jfree.data.DefaultKeyedValue,<init>,77
18,org.jfree.data.DefaultKeyedValue,<init>,78
18,org.jfree.data.DefaultKeyedValue,<init>,79
18,org.jfree.data.DefaultKeyedValue,<init>,80
18,org.jfree.data.DefaultKeyedValue,getKey,88
18,org.jfree.data.DefaultKeyedValue,getValue,97
18,org.jfree.data.DefaultKeyedValues,<init>,88
18,org.jfree.data.DefaultKeyedValues,<init>,89
18,org.jfree.data.DefaultKeyedValues,<init>,90
18,org.jfree.data.DefaultKeyedValues,addValue,218
18,org.jfree.data.DefaultKeyedValues,addValue,219
18,org.jfree.data.DefaultKeyedValues,getIndex,148
18,org.jfree.data.DefaultKeyedValues,getIndex,151
18,org.jfree.data.DefaultKeyedValues,getIndex,152
18,org.jfree.data.DefaultKeyedValues,getIndex,153
18,org.jfree.data.DefaultKeyedValues,getIndex,154
18,org.jfree.data.DefaultKeyedValues,getIndex,155
18,org.jfree.data.DefaultKeyedValues,getIndex,156
18,org.jfree.data.DefaultKeyedValues,getIndex,158
18,org.jfree.data.DefaultKeyedValues,getIndex,159
18,org.jfree.data.DefaultKeyedValues,getIndex,160
18,org.jfree.data.DefaultKeyedValues,getKey,129
18,org.jfree.data.DefaultKeyedValues,getKey,130
18,org.jfree.data.DefaultKeyedValues,getKey,131
18,org.jfree.data.DefaultKeyedValues,getKey,132
18,org.jfree.data.DefaultKeyedValues,getKey,134
18,org.jfree.data.DefaultKeyedValues,getValue,111
18,org.jfree.data.DefaultKeyedValues,getValue,112
18,org.jfree.data.DefaultKeyedValues,getValue,113
18,org.jfree.data.DefaultKeyedValues,getValue,114
18,org.jfree.data.DefaultKeyedValues,getValue,116
18,org.jfree.data.DefaultKeyedValues,getValue,190
18,org.jfree.data.DefaultKeyedValues,getValue,191
18,org.jfree.data.DefaultKeyedValues,getValue,194
18,org.jfree.data.DefaultKeyedValues,setValue,238
18,org.jfree.data.DefaultKeyedValues,setValue,241
18,org.jfree.data.DefaultKeyedValues,setValue,242
18,org.jfree.data.DefaultKeyedValues,setValue,247
18,org.jfree.data.DefaultKeyedValues,setValue,248
18,org.jfree.data.DefaultKeyedValues,setValue,250
18,org.jfree.data.DefaultKeyedValues,sortByValues,358
18,org.jfree.data.DefaultKeyedValues,sortByValues,360
18,org.jfree.data.DefaultKeyedValues,sortByValues,361
18,org.jfree.data.KeyedValueComparator,<init>,70
18,org.jfree.data.KeyedValueComparator,<init>,71
18,org.jfree.data.KeyedValueComparator,<init>,74
18,org.jfree.data.KeyedValueComparator,<init>,75
18,org.jfree.data.KeyedValueComparator,<init>,76
18,org.jfree.data.KeyedValueComparator,compare,107
18,org.jfree.data.KeyedValueComparator,compare,110
18,org.jfree.data.KeyedValueComparator,compare,116
18,org.jfree.data.KeyedValueComparator,compare,117
18,org.jfree.data.KeyedValueComparator,compare,119
18,org.jfree.data.KeyedValueComparator,compare,130
18,org.jfree.data.KeyedValueComparator,compare,131
18,org.jfree.data.KeyedValueComparator,compare,132
18,org.jfree.data.KeyedValueComparator,compare,133
18,org.jfree.data.KeyedValueComparator,compare,134
18,org.jfree.data.KeyedValueComparator,compare,136
18,org.jfree.data.KeyedValueComparator,compare,137
18,org.jfree.data.KeyedValueComparator,compare,139
18,org.jfree.data.KeyedValueComparator,compare,140
18,org.jfree.data.KeyedValueComparator,compare,141
18,org.jfree.data.KeyedValueComparator,compare,152
18,org.jfree.data.KeyedValueComparator,compare,153
18,org.jfree.data.KeyedValueComparator,compare,154
18,org.jfree.data.KeyedValueComparator,compare,156
18,org.jfree.data.KeyedValueComparator,compare,157
18,org.jfree.data.KeyedValueComparator,compare,166
18,org.jfree.data.KeyedValueComparator,compare,171
18,org.jfree.data.KeyedValueComparatorType,<clinit>,51
18,org.jfree.data.KeyedValueComparatorType,<clinit>,55
18,org.jfree.data.KeyedValueComparatorType,<init>,66
18,org.jfree.data.KeyedValueComparatorType,<init>,67
18,org.jfree.data.KeyedValueComparatorType,<init>,68
