bug,class,method,line
19,org.jfree.chart.ChartColor,<clinit>,61
19,org.jfree.chart.ChartColor,<clinit>,64
19,org.jfree.chart.ChartColor,<clinit>,67
19,org.jfree.chart.ChartColor,<clinit>,70
19,org.jfree.chart.ChartColor,<clinit>,73
19,org.jfree.chart.ChartColor,<clinit>,76
19,org.jfree.chart.ChartColor,<clinit>,79
19,org.jfree.chart.ChartColor,<clinit>,82
19,org.jfree.chart.ChartColor,<clinit>,85
19,org.jfree.chart.ChartColor,<clinit>,88
19,org.jfree.chart.ChartColor,<clinit>,91
19,org.jfree.chart.ChartColor,<clinit>,94
19,org.jfree.chart.ChartColor,<clinit>,97
19,org.jfree.chart.ChartColor,<clinit>,100
19,org.jfree.chart.ChartColor,<clinit>,103
19,org.jfree.chart.ChartColor,<clinit>,106
19,org.jfree.chart.ChartColor,<clinit>,109
19,org.jfree.chart.ChartColor,<clinit>,112
19,org.jfree.chart.ChartColor,<clinit>,115
19,org.jfree.chart.ChartColor,<clinit>,118
19,org.jfree.chart.ChartColor,<clinit>,121
19,org.jfree.chart.ChartColor,<clinit>,124
19,org.jfree.chart.ChartColor,<clinit>,127
19,org.jfree.chart.ChartColor,<clinit>,130
19,org.jfree.chart.ChartColor,createDefaultPaintArray,153
19,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,98
19,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,99
19,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,102
19,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,103
19,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,104
19,org.jfree.chart.annotations.CategoryTextAnnotation,<init>,105
19,org.jfree.chart.annotations.CategoryTextAnnotation,equals,235
19,org.jfree.chart.annotations.CategoryTextAnnotation,equals,238
19,org.jfree.chart.annotations.CategoryTextAnnotation,equals,241
19,org.jfree.chart.annotations.CategoryTextAnnotation,equals,242
19,org.jfree.chart.annotations.CategoryTextAnnotation,equals,245
19,org.jfree.chart.annotations.CategoryTextAnnotation,equals,248
19,org.jfree.chart.annotations.CategoryTextAnnotation,equals,251
19,org.jfree.chart.annotations.CategoryTextAnnotation,equals,254
19,org.jfree.chart.annotations.CategoryTextAnnotation,getCategory,115
19,org.jfree.chart.annotations.CategoryTextAnnotation,getCategoryAnchor,140
