bug,class,method,line
2,org.jfree.data.ComparableObjectItem,<init>,71
2,org.jfree.data.ComparableObjectItem,<init>,72
2,org.jfree.data.ComparableObjectItem,<init>,75
2,org.jfree.data.ComparableObjectItem,<init>,76
2,org.jfree.data.ComparableObjectItem,<init>,77
2,org.jfree.data.ComparableObjectItem,getObject,94
2,org.jfree.data.ComparableObjectSeries,<init>,67
2,org.jfree.data.ComparableObjectSeries,<init>,98
2,org.jfree.data.ComparableObjectSeries,<init>,99
2,org.jfree.data.ComparableObjectSeries,<init>,100
2,org.jfree.data.ComparableObjectSeries,<init>,101
2,org.jfree.data.ComparableObjectSeries,<init>,102
2,org.jfree.data.ComparableObjectSeries,add,216
2,org.jfree.data.ComparableObjectSeries,add,220
2,org.jfree.data.ComparableObjectSeries,add,221
2,org.jfree.data.ComparableObjectSeries,add,222
2,org.jfree.data.ComparableObjectSeries,add,223
2,org.jfree.data.ComparableObjectSeries,add,244
2,org.jfree.data.ComparableObjectSeries,add,256
2,org.jfree.data.ComparableObjectSeries,add,259
2,org.jfree.data.ComparableObjectSeries,add,260
2,org.jfree.data.ComparableObjectSeries,add,262
2,org.jfree.data.ComparableObjectSeries,getDataItem,333
2,org.jfree.data.ComparableObjectSeries,getItemCount,131
2,org.jfree.data.Range,<init>,83
2,org.jfree.data.Range,<init>,84
2,org.jfree.data.Range,<init>,89
2,org.jfree.data.Range,<init>,90
2,org.jfree.data.Range,<init>,91
2,org.jfree.data.Range,getLowerBound,99
2,org.jfree.data.general.AbstractDataset,<init>,94
2,org.jfree.data.general.AbstractDataset,<init>,95
2,org.jfree.data.general.AbstractDataset,<init>,96
2,org.jfree.data.general.AbstractDataset,<init>,97
2,org.jfree.data.general.AbstractDataset,fireDatasetChanged,170
2,org.jfree.data.general.AbstractDataset,fireDatasetChanged,171
2,org.jfree.data.general.AbstractDataset,notifyListeners,184
2,org.jfree.data.general.AbstractDataset,notifyListeners,185
2,org.jfree.data.general.AbstractDataset,notifyListeners,192
2,org.jfree.data.general.AbstractSeriesDataset,<init>,65
2,org.jfree.data.general.AbstractSeriesDataset,<init>,66
2,org.jfree.data.general.DatasetChangeEvent,<init>,71
2,org.jfree.data.general.DatasetChangeEvent,<init>,72
2,org.jfree.data.general.DatasetChangeEvent,<init>,73
2,org.jfree.data.general.DatasetGroup,<init>,63
2,org.jfree.data.general.DatasetGroup,<init>,64
2,org.jfree.data.general.DatasetGroup,<init>,65
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,670
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,686
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,689
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,690
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,691
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,694
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,695
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,696
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,697
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,698
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,699
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,700
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,701
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,702
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,705
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,717
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,721
2,org.jfree.data.general.Series,<init>,102
2,org.jfree.data.general.Series,<init>,103
2,org.jfree.data.general.Series,<init>,111
2,org.jfree.data.general.Series,<init>,112
2,org.jfree.data.general.Series,<init>,115
2,org.jfree.data.general.Series,<init>,116
2,org.jfree.data.general.Series,<init>,117
2,org.jfree.data.general.Series,<init>,118
2,org.jfree.data.general.Series,<init>,119
2,org.jfree.data.general.Series,<init>,120
2,org.jfree.data.general.Series,addChangeListener,296
2,org.jfree.data.general.Series,class$,295
2,org.jfree.data.general.Series,fireSeriesChanged,313
2,org.jfree.data.general.Series,fireSeriesChanged,314
2,org.jfree.data.general.Series,fireSeriesChanged,316
2,org.jfree.data.general.Series,notifyListeners,326
2,org.jfree.data.general.Series,notifyListeners,327
2,org.jfree.data.general.Series,notifyListeners,334
2,org.jfree.data.general.SeriesChangeEvent,<init>,61
2,org.jfree.data.general.SeriesChangeEvent,<init>,62
2,org.jfree.data.xy.AbstractIntervalXYDataset,<init>,51
2,org.jfree.data.xy.AbstractXYDataset,<init>,53
2,org.jfree.data.xy.XYInterval,<init>,78
2,org.jfree.data.xy.XYInterval,<init>,79
2,org.jfree.data.xy.XYInterval,<init>,80
2,org.jfree.data.xy.XYInterval,<init>,81
2,org.jfree.data.xy.XYInterval,<init>,82
2,org.jfree.data.xy.XYInterval,<init>,83
2,org.jfree.data.xy.XYInterval,<init>,84
2,org.jfree.data.xy.XYInterval,getXHigh,101
2,org.jfree.data.xy.XYInterval,getXLow,92
2,org.jfree.data.xy.XYIntervalDataItem,<init>,64
2,org.jfree.data.xy.XYIntervalDataItem,<init>,65
2,org.jfree.data.xy.XYIntervalDataItem,getXHighValue,112
2,org.jfree.data.xy.XYIntervalDataItem,getXHighValue,113
2,org.jfree.data.xy.XYIntervalDataItem,getXHighValue,114
2,org.jfree.data.xy.XYIntervalDataItem,getXLowValue,97
2,org.jfree.data.xy.XYIntervalDataItem,getXLowValue,98
2,org.jfree.data.xy.XYIntervalDataItem,getXLowValue,99
2,org.jfree.data.xy.XYIntervalSeries,<init>,64
2,org.jfree.data.xy.XYIntervalSeries,<init>,65
2,org.jfree.data.xy.XYIntervalSeries,<init>,79
2,org.jfree.data.xy.XYIntervalSeries,<init>,80
2,org.jfree.data.xy.XYIntervalSeries,add,94
2,org.jfree.data.xy.XYIntervalSeries,add,95
2,org.jfree.data.xy.XYIntervalSeries,getDataItem,189
2,org.jfree.data.xy.XYIntervalSeries,getXHighValue,135
2,org.jfree.data.xy.XYIntervalSeries,getXHighValue,136
2,org.jfree.data.xy.XYIntervalSeries,getXLowValue,120
2,org.jfree.data.xy.XYIntervalSeries,getXLowValue,121
