file,method,line
ChangeLog,,1
ChangeLog,,2
ChangeLog,,3
ChangeLog,,4
ChangeLog,,5
ChangeLog,,6
ChangeLog,,7
ChangeLog,,8
ChangeLog,,9
source/org/jfree/data/general/DatasetUtilities.java,,105
source/org/jfree/data/general/DatasetUtilities.java,,106
source/org/jfree/data/general/DatasetUtilities.java,,107
source/org/jfree/data/general/DatasetUtilities.java,,647
source/org/jfree/data/general/DatasetUtilities.java,,648
source/org/jfree/data/general/DatasetUtilities.java,,649
source/org/jfree/data/general/DatasetUtilities.java,,664
source/org/jfree/data/general/DatasetUtilities.java,,665
source/org/jfree/data/general/DatasetUtilities.java,,666
source/org/jfree/data/general/DatasetUtilities.java,findRangeBounds,780
source/org/jfree/data/general/DatasetUtilities.java,,840
source/org/jfree/data/general/DatasetUtilities.java,,841
source/org/jfree/data/general/DatasetUtilities.java,,842
source/org/jfree/data/general/DatasetUtilities.java,iterateRangeBounds,843
source/org/jfree/data/general/DatasetUtilities.java,iterateRangeBounds,844
source/org/jfree/data/general/DatasetUtilities.java,iterateRangeBounds,845
source/org/jfree/data/general/DatasetUtilities.java,,846
source/org/jfree/data/general/DatasetUtilities.java,,847
source/org/jfree/data/general/DatasetUtilities.java,,848
source/org/jfree/data/general/DatasetUtilities.java,,849
source/org/jfree/data/general/DatasetUtilities.java,,850
source/org/jfree/data/general/DatasetUtilities.java,,851
source/org/jfree/data/general/DatasetUtilities.java,,852
source/org/jfree/data/general/DatasetUtilities.java,,853
source/org/jfree/data/general/DatasetUtilities.java,,854
source/org/jfree/data/general/DatasetUtilities.java,,855
source/org/jfree/data/general/DatasetUtilities.java,,856
source/org/jfree/data/general/DatasetUtilities.java,,857
source/org/jfree/data/general/DatasetUtilities.java,,858
source/org/jfree/data/general/DatasetUtilities.java,iterateRangeBounds,860
source/org/jfree/data/general/DatasetUtilities.java,iterateRangeBounds,861
source/org/jfree/data/general/DatasetUtilities.java,iterateRangeBounds,870
source/org/jfree/data/general/DatasetUtilities.java,iterateRangeBounds,876
