bug,class,method,line
2,org.jfree.chart.util.ArrayUtilities,hasDuplicateItems,161
2,org.jfree.chart.util.ArrayUtilities,hasDuplicateItems,162
2,org.jfree.chart.util.ArrayUtilities,hasDuplicateItems,163
2,org.jfree.chart.util.ArrayUtilities,hasDuplicateItems,164
2,org.jfree.chart.util.ArrayUtilities,hasDuplicateItems,165
2,org.jfree.chart.util.ArrayUtilities,hasDuplicateItems,166
2,org.jfree.chart.util.ArrayUtilities,hasDuplicateItems,172
2,org.jfree.data.general.DatasetUtilities,createCategoryDataset,497
2,org.jfree.data.general.DatasetUtilities,createCategoryDataset,500
2,org.jfree.data.general.DatasetUtilities,createCategoryDataset,503
2,org.jfree.data.general.DatasetUtilities,createCategoryDataset,506
2,org.jfree.data.general.DatasetUtilities,createCategoryDataset,511
2,org.jfree.data.general.DatasetUtilities,createCategoryDataset,512
