bug,class,method,line
2,org.jfree.data.Range,<init>,83
2,org.jfree.data.Range,<init>,84
2,org.jfree.data.Range,<init>,89
2,org.jfree.data.Range,<init>,90
2,org.jfree.data.Range,<init>,91
2,org.jfree.data.Range,getLowerBound,99
2,org.jfree.data.Range,getUpperBound,108
2,org.jfree.data.general.AbstractDataset,<init>,94
2,org.jfree.data.general.AbstractDataset,<init>,95
2,org.jfree.data.general.AbstractDataset,<init>,96
2,org.jfree.data.general.AbstractDataset,<init>,97
2,org.jfree.data.general.AbstractDataset,addChangeListener,133
2,org.jfree.data.general.AbstractDataset,class$,132
2,org.jfree.data.general.AbstractDataset,fireDatasetChanged,170
2,org.jfree.data.general.AbstractDataset,fireDatasetChanged,171
2,org.jfree.data.general.AbstractDataset,notifyListeners,184
2,org.jfree.data.general.AbstractDataset,notifyListeners,185
2,org.jfree.data.general.AbstractDataset,notifyListeners,186
2,org.jfree.data.general.AbstractDataset,notifyListeners,187
2,org.jfree.data.general.AbstractDataset,notifyListeners,192
2,org.jfree.data.general.AbstractSeriesDataset,<init>,65
2,org.jfree.data.general.AbstractSeriesDataset,<init>,66
2,org.jfree.data.general.DatasetChangeEvent,<init>,71
2,org.jfree.data.general.DatasetChangeEvent,<init>,72
2,org.jfree.data.general.DatasetChangeEvent,<init>,73
2,org.jfree.data.general.DatasetGroup,<init>,63
2,org.jfree.data.general.DatasetGroup,<init>,64
2,org.jfree.data.general.DatasetGroup,<init>,65
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,741
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,757
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,760
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,761
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,762
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,765
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,766
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,767
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,768
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,769
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,770
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,771
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,772
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,773
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,776
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,788
2,org.jfree.data.general.DatasetUtilities,iterateDomainBounds,792
2,org.jfree.data.general.Series,<init>,102
2,org.jfree.data.general.Series,<init>,103
2,org.jfree.data.general.Series,<init>,111
2,org.jfree.data.general.Series,<init>,112
2,org.jfree.data.general.Series,<init>,115
2,org.jfree.data.general.Series,<init>,116
2,org.jfree.data.general.Series,<init>,117
2,org.jfree.data.general.Series,<init>,118
2,org.jfree.data.general.Series,<init>,119
2,org.jfree.data.general.Series,<init>,120
2,org.jfree.data.general.Series,addChangeListener,296
2,org.jfree.data.general.Series,class$,295
2,org.jfree.data.general.Series,fireSeriesChanged,313
2,org.jfree.data.general.Series,fireSeriesChanged,314
2,org.jfree.data.general.Series,fireSeriesChanged,316
2,org.jfree.data.general.Series,notifyListeners,326
2,org.jfree.data.general.Series,notifyListeners,327
2,org.jfree.data.general.Series,notifyListeners,334
2,org.jfree.data.general.SeriesChangeEvent,<init>,61
2,org.jfree.data.general.SeriesChangeEvent,<init>,62
2,org.jfree.data.xy.AbstractIntervalXYDataset,<init>,51
2,org.jfree.data.xy.AbstractIntervalXYDataset,getEndXValue,82
2,org.jfree.data.xy.AbstractIntervalXYDataset,getEndXValue,83
2,org.jfree.data.xy.AbstractIntervalXYDataset,getEndXValue,84
2,org.jfree.data.xy.AbstractIntervalXYDataset,getEndXValue,85
2,org.jfree.data.xy.AbstractIntervalXYDataset,getEndXValue,87
2,org.jfree.data.xy.AbstractIntervalXYDataset,getStartXValue,64
