bug,class,method,line
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,62
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,66
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,70
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,74
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,78
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,82
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,86
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,90
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,94
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,98
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,102
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,106
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,110
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,114
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,118
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,122
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,126
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,130
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,134
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,138
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,142
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,146
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,150
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,154
26,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,158
26,org.jfree.chart.labels.ItemLabelAnchor,<init>,169
26,org.jfree.chart.labels.ItemLabelAnchor,<init>,170
26,org.jfree.chart.labels.ItemLabelAnchor,<init>,171
26,org.jfree.chart.labels.ItemLabelAnchor,equals,192
26,org.jfree.chart.labels.ItemLabelAnchor,equals,193
26,org.jfree.chart.labels.ItemLabelAnchor,equals,195
26,org.jfree.chart.labels.ItemLabelAnchor,equals,199
26,org.jfree.chart.labels.ItemLabelAnchor,equals,200
26,org.jfree.chart.labels.ItemLabelAnchor,equals,201
26,org.jfree.chart.labels.ItemLabelAnchor,equals,204
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,216
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,217
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,220
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,223
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,226
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,229
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,232
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,235
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,238
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,241
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,244
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,247
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,250
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,253
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,256
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,259
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,262
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,265
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,268
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,271
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,272
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,274
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,277
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,280
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,283
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,286
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,289
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,290
26,org.jfree.chart.labels.ItemLabelAnchor,readResolve,292
26,org.jfree.chart.labels.ItemLabelAnchor,toString,179
26,org.jfree.chart.labels.ItemLabelPosition,<init>,92
26,org.jfree.chart.labels.ItemLabelPosition,<init>,93
26,org.jfree.chart.labels.ItemLabelPosition,<init>,111
26,org.jfree.chart.labels.ItemLabelPosition,<init>,113
26,org.jfree.chart.labels.ItemLabelPosition,<init>,117
26,org.jfree.chart.labels.ItemLabelPosition,<init>,120
26,org.jfree.chart.labels.ItemLabelPosition,<init>,125
26,org.jfree.chart.labels.ItemLabelPosition,<init>,126
26,org.jfree.chart.labels.ItemLabelPosition,<init>,127
26,org.jfree.chart.labels.ItemLabelPosition,<init>,128
26,org.jfree.chart.labels.ItemLabelPosition,<init>,130
26,org.jfree.chart.labels.ItemLabelPosition,equals,176
26,org.jfree.chart.labels.ItemLabelPosition,equals,179
26,org.jfree.chart.labels.ItemLabelPosition,equals,182
26,org.jfree.chart.labels.ItemLabelPosition,equals,183
26,org.jfree.chart.labels.ItemLabelPosition,equals,186
26,org.jfree.chart.labels.ItemLabelPosition,equals,189
26,org.jfree.chart.labels.ItemLabelPosition,equals,192
26,org.jfree.chart.labels.ItemLabelPosition,equals,195
26,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,75
26,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,76
26,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,83
26,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,84
26,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,87
26,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,<init>,88
26,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,equals,141
26,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,equals,144
26,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,equals,147
26,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,equals,149
26,org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,equals,152
26,org.jfree.chart.renderer.AbstractRenderer,<clinit>,135
26,org.jfree.chart.renderer.AbstractRenderer,<clinit>,138
26,org.jfree.chart.renderer.AbstractRenderer,<clinit>,141
26,org.jfree.chart.renderer.AbstractRenderer,<clinit>,144
26,org.jfree.chart.renderer.AbstractRenderer,<clinit>,147
26,org.jfree.chart.renderer.AbstractRenderer,<clinit>,150
26,org.jfree.chart.renderer.AbstractRenderer,<clinit>,154
26,org.jfree.chart.renderer.AbstractRenderer,<clinit>,158
26,org.jfree.chart.renderer.AbstractRenderer,<clinit>,2151
26,org.jfree.chart.renderer.AbstractRenderer,<clinit>,2154
26,org.jfree.chart.renderer.AbstractRenderer,<init>,290
26,org.jfree.chart.renderer.AbstractRenderer,<init>,313
26,org.jfree.chart.renderer.AbstractRenderer,<init>,315
26,org.jfree.chart.renderer.AbstractRenderer,<init>,316
26,org.jfree.chart.renderer.AbstractRenderer,<init>,318
26,org.jfree.chart.renderer.AbstractRenderer,<init>,319
26,org.jfree.chart.renderer.AbstractRenderer,<init>,321
26,org.jfree.chart.renderer.AbstractRenderer,<init>,322
26,org.jfree.chart.renderer.AbstractRenderer,<init>,323
26,org.jfree.chart.renderer.AbstractRenderer,<init>,325
26,org.jfree.chart.renderer.AbstractRenderer,<init>,326
26,org.jfree.chart.renderer.AbstractRenderer,<init>,327
26,org.jfree.chart.renderer.AbstractRenderer,<init>,329
26,org.jfree.chart.renderer.AbstractRenderer,<init>,330
26,org.jfree.chart.renderer.AbstractRenderer,<init>,331
26,org.jfree.chart.renderer.AbstractRenderer,<init>,333
26,org.jfree.chart.renderer.AbstractRenderer,<init>,334
26,org.jfree.chart.renderer.AbstractRenderer,<init>,335
26,org.jfree.chart.renderer.AbstractRenderer,<init>,337
26,org.jfree.chart.renderer.AbstractRenderer,<init>,338
26,org.jfree.chart.renderer.AbstractRenderer,<init>,339
26,org.jfree.chart.renderer.AbstractRenderer,<init>,341
26,org.jfree.chart.renderer.AbstractRenderer,<init>,342
26,org.jfree.chart.renderer.AbstractRenderer,<init>,343
26,org.jfree.chart.renderer.AbstractRenderer,<init>,345
26,org.jfree.chart.renderer.AbstractRenderer,<init>,346
26,org.jfree.chart.renderer.AbstractRenderer,<init>,348
26,org.jfree.chart.renderer.AbstractRenderer,<init>,349
26,org.jfree.chart.renderer.AbstractRenderer,<init>,351
26,org.jfree.chart.renderer.AbstractRenderer,<init>,352
26,org.jfree.chart.renderer.AbstractRenderer,<init>,354
26,org.jfree.chart.renderer.AbstractRenderer,<init>,355
26,org.jfree.chart.renderer.AbstractRenderer,<init>,358
26,org.jfree.chart.renderer.AbstractRenderer,<init>,359
26,org.jfree.chart.renderer.AbstractRenderer,<init>,362
26,org.jfree.chart.renderer.AbstractRenderer,<init>,363
26,org.jfree.chart.renderer.AbstractRenderer,<init>,365
26,org.jfree.chart.renderer.AbstractRenderer,<init>,367
26,org.jfree.chart.renderer.AbstractRenderer,equals,2355
