bug,class,method,line
26,org.jfree.chart.ChartColor,<clinit>,61
26,org.jfree.chart.ChartColor,<clinit>,64
26,org.jfree.chart.ChartColor,<clinit>,67
26,org.jfree.chart.ChartColor,<clinit>,70
26,org.jfree.chart.ChartColor,<clinit>,73
26,org.jfree.chart.ChartColor,<clinit>,76
26,org.jfree.chart.ChartColor,<clinit>,79
26,org.jfree.chart.ChartColor,<clinit>,82
26,org.jfree.chart.ChartColor,<clinit>,85
26,org.jfree.chart.ChartColor,<clinit>,88
26,org.jfree.chart.ChartColor,<clinit>,91
26,org.jfree.chart.ChartColor,<clinit>,94
26,org.jfree.chart.ChartColor,<clinit>,97
26,org.jfree.chart.ChartColor,<clinit>,100
26,org.jfree.chart.ChartColor,<clinit>,103
26,org.jfree.chart.ChartColor,<clinit>,106
26,org.jfree.chart.ChartColor,<clinit>,109
26,org.jfree.chart.ChartColor,<clinit>,112
26,org.jfree.chart.ChartColor,<clinit>,115
26,org.jfree.chart.ChartColor,<clinit>,118
26,org.jfree.chart.ChartColor,<clinit>,121
26,org.jfree.chart.ChartColor,<clinit>,124
26,org.jfree.chart.ChartColor,<clinit>,127
26,org.jfree.chart.ChartColor,<clinit>,130
26,org.jfree.chart.ChartColor,createDefaultPaintArray,153
26,org.jfree.chart.JFreeChart,<clinit>,242
26,org.jfree.chart.JFreeChart,<clinit>,245
26,org.jfree.chart.JFreeChart,<clinit>,249
26,org.jfree.chart.JFreeChart,<clinit>,253
26,org.jfree.chart.JFreeChart,<init>,298
26,org.jfree.chart.JFreeChart,<init>,301
26,org.jfree.chart.JFreeChart,<init>,364
26,org.jfree.chart.JFreeChart,<init>,366
26,org.jfree.chart.JFreeChart,<init>,371
26,org.jfree.chart.JFreeChart,<init>,372
26,org.jfree.chart.JFreeChart,<init>,373
26,org.jfree.chart.JFreeChart,<init>,376
26,org.jfree.chart.JFreeChart,<init>,380
26,org.jfree.chart.JFreeChart,<init>,381
26,org.jfree.chart.JFreeChart,<init>,382
26,org.jfree.chart.JFreeChart,<init>,384
26,org.jfree.chart.JFreeChart,<init>,386
26,org.jfree.chart.JFreeChart,<init>,387
26,org.jfree.chart.JFreeChart,<init>,389
26,org.jfree.chart.JFreeChart,<init>,392
26,org.jfree.chart.JFreeChart,<init>,393
26,org.jfree.chart.JFreeChart,<init>,394
26,org.jfree.chart.JFreeChart,<init>,395
26,org.jfree.chart.JFreeChart,<init>,396
26,org.jfree.chart.JFreeChart,<init>,397
26,org.jfree.chart.JFreeChart,<init>,398
26,org.jfree.chart.JFreeChart,<init>,399
26,org.jfree.chart.JFreeChart,<init>,403
26,org.jfree.chart.JFreeChart,<init>,411
26,org.jfree.chart.JFreeChart,<init>,413
26,org.jfree.chart.JFreeChart,<init>,414
26,org.jfree.chart.JFreeChart,<init>,415
26,org.jfree.chart.JFreeChart,<init>,417
26,org.jfree.chart.JFreeChart,<init>,327
26,org.jfree.chart.JFreeChart,<init>,328
26,org.jfree.chart.JFreeChart,createAlignedRectangle2D,1234
26,org.jfree.chart.JFreeChart,createAlignedRectangle2D,1235
26,org.jfree.chart.JFreeChart,createAlignedRectangle2D,1236
26,org.jfree.chart.JFreeChart,createAlignedRectangle2D,1239
26,org.jfree.chart.JFreeChart,createAlignedRectangle2D,1240
26,org.jfree.chart.JFreeChart,createAlignedRectangle2D,1245
26,org.jfree.chart.JFreeChart,createAlignedRectangle2D,1248
26,org.jfree.chart.JFreeChart,createAlignedRectangle2D,1251
26,org.jfree.chart.JFreeChart,createAlignedRectangle2D,1252
26,org.jfree.chart.JFreeChart,createAlignedRectangle2D,1255
26,org.jfree.chart.JFreeChart,createBufferedImage,1385
26,org.jfree.chart.JFreeChart,createBufferedImage,1386
26,org.jfree.chart.JFreeChart,createBufferedImage,1387
26,org.jfree.chart.JFreeChart,createBufferedImage,1388
26,org.jfree.chart.JFreeChart,createBufferedImage,1389
26,org.jfree.chart.JFreeChart,createBufferedImage,1367
26,org.jfree.chart.JFreeChart,draw,1130
26,org.jfree.chart.JFreeChart,draw,1134
26,org.jfree.chart.JFreeChart,draw,1140
26,org.jfree.chart.JFreeChart,draw,1141
26,org.jfree.chart.JFreeChart,draw,1143
26,org.jfree.chart.JFreeChart,draw,1146
26,org.jfree.chart.JFreeChart,draw,1147
26,org.jfree.chart.JFreeChart,draw,1148
26,org.jfree.chart.JFreeChart,draw,1151
26,org.jfree.chart.JFreeChart,draw,1165
26,org.jfree.chart.JFreeChart,draw,1180
26,org.jfree.chart.JFreeChart,draw,1181
26,org.jfree.chart.JFreeChart,draw,1182
26,org.jfree.chart.JFreeChart,draw,1184
26,org.jfree.chart.JFreeChart,draw,1185
26,org.jfree.chart.JFreeChart,draw,1188
26,org.jfree.chart.JFreeChart,draw,1196
26,org.jfree.chart.JFreeChart,draw,1197
26,org.jfree.chart.JFreeChart,draw,1198
26,org.jfree.chart.JFreeChart,draw,1199
26,org.jfree.chart.JFreeChart,draw,1201
26,org.jfree.chart.JFreeChart,draw,1204
26,org.jfree.chart.JFreeChart,draw,1206
26,org.jfree.chart.JFreeChart,draw,1209
26,org.jfree.chart.JFreeChart,draw,1210
26,org.jfree.chart.JFreeChart,draw,1213
26,org.jfree.chart.JFreeChart,draw,1215
26,org.jfree.chart.JFreeChart,draw,1217
26,org.jfree.chart.JFreeChart,draw,1219
26,org.jfree.chart.JFreeChart,drawTitle,1276
26,org.jfree.chart.JFreeChart,drawTitle,1279
26,org.jfree.chart.JFreeChart,drawTitle,1282
26,org.jfree.chart.JFreeChart,drawTitle,1283
26,org.jfree.chart.JFreeChart,drawTitle,1284
26,org.jfree.chart.JFreeChart,drawTitle,1285
26,org.jfree.chart.JFreeChart,drawTitle,1288
26,org.jfree.chart.JFreeChart,drawTitle,1289
26,org.jfree.chart.JFreeChart,drawTitle,1292
26,org.jfree.chart.JFreeChart,drawTitle,1295
26,org.jfree.chart.JFreeChart,drawTitle,1296
26,org.jfree.chart.JFreeChart,drawTitle,1297
26,org.jfree.chart.JFreeChart,drawTitle,1298
26,org.jfree.chart.JFreeChart,drawTitle,1307
26,org.jfree.chart.JFreeChart,drawTitle,1308
26,org.jfree.chart.JFreeChart,drawTitle,1309
26,org.jfree.chart.JFreeChart,drawTitle,1311
26,org.jfree.chart.JFreeChart,drawTitle,1312
26,org.jfree.chart.JFreeChart,drawTitle,1314
26,org.jfree.chart.JFreeChart,drawTitle,1335
26,org.jfree.chart.JFreeChart,drawTitle,1336
26,org.jfree.chart.JFreeChart,drawTitle,1340
26,org.jfree.chart.JFreeChart,isBorderVisible,457
26,org.jfree.chart.JFreeChart,notifyListeners,1533
26,org.jfree.chart.JFreeChart,notifyListeners,1534
26,org.jfree.chart.JFreeChart,notifyListeners,1540
26,org.jfree.chart.JFreeChartInfo,<init>,1727
26,org.jfree.chart.JFreeChartInfo,<init>,1730
26,org.jfree.chart.JFreeChartInfo,<init>,1732
26,org.jfree.chart.JFreeChartInfo,<init>,1734
26,org.jfree.chart.JFreeChartInfo,<init>,1735
26,org.jfree.chart.JFreeChartInfo,<init>,1736
26,org.jfree.chart.JFreeChartInfo,<init>,1737
26,org.jfree.chart.JFreeChartInfo,<init>,1738
26,org.jfree.chart.JFreeChartInfo,<init>,1739
26,org.jfree.chart.JFreeChartInfo,<init>,1740
26,org.jfree.chart.JFreeChartInfo,<init>,1742
26,org.jfree.chart.JFreeChartInfo,<init>,1834
26,org.jfree.chart.LegendItem,<clinit>,175
26,org.jfree.chart.LegendItem,<clinit>,181
26,org.jfree.chart.LegendItem,<init>,228
26,org.jfree.chart.LegendItem,<init>,235
26,org.jfree.chart.LegendItem,<init>,291
26,org.jfree.chart.LegendItem,<init>,293
26,org.jfree.chart.LegendItem,<init>,296
26,org.jfree.chart.LegendItem,<init>,299
26,org.jfree.chart.LegendItem,<init>,302
26,org.jfree.chart.LegendItem,<init>,305
26,org.jfree.chart.LegendItem,<init>,309
26,org.jfree.chart.LegendItem,<init>,310
26,org.jfree.chart.LegendItem,<init>,311
26,org.jfree.chart.LegendItem,<init>,312
26,org.jfree.chart.LegendItem,<init>,313
26,org.jfree.chart.LegendItem,<init>,314
26,org.jfree.chart.LegendItem,<init>,315
26,org.jfree.chart.LegendItem,<init>,316
26,org.jfree.chart.LegendItem,<init>,317
26,org.jfree.chart.LegendItem,<init>,318
26,org.jfree.chart.LegendItem,<init>,319
26,org.jfree.chart.LegendItem,<init>,320
26,org.jfree.chart.LegendItem,<init>,321
26,org.jfree.chart.LegendItem,<init>,322
26,org.jfree.chart.LegendItem,<init>,323
26,org.jfree.chart.LegendItem,<init>,324
26,org.jfree.chart.LegendItem,<init>,325
26,org.jfree.chart.LegendItem,<init>,326
26,org.jfree.chart.LegendItem,getDataset,507
26,org.jfree.chart.LegendItem,getFillPaint,673
26,org.jfree.chart.LegendItem,getFillPaintTransformer,751
26,org.jfree.chart.LegendItem,getLabel,600
26,org.jfree.chart.LegendItem,getLine,737
26,org.jfree.chart.LegendItem,getLinePaint,701
26,org.jfree.chart.LegendItem,getLineStroke,692
26,org.jfree.chart.LegendItem,getOutlinePaint,710
26,org.jfree.chart.LegendItem,getOutlineStroke,719
26,org.jfree.chart.LegendItem,getSeriesKey,558
26,org.jfree.chart.LegendItem,getShape,655
26,org.jfree.chart.LegendItem,getToolTipText,627
26,org.jfree.chart.LegendItem,getURLText,636
26,org.jfree.chart.LegendItem,isLineVisible,728
26,org.jfree.chart.LegendItem,isShapeFilled,664
26,org.jfree.chart.LegendItem,isShapeOutlineVisible,683
26,org.jfree.chart.LegendItem,isShapeVisible,645
26,org.jfree.chart.LegendItem,setDataset,518
26,org.jfree.chart.LegendItem,setDataset,519
26,org.jfree.chart.LegendItem,setDatasetIndex,545
26,org.jfree.chart.LegendItem,setDatasetIndex,546
26,org.jfree.chart.LegendItem,setSeriesIndex,591
26,org.jfree.chart.LegendItem,setSeriesIndex,592
26,org.jfree.chart.LegendItem,setSeriesKey,569
26,org.jfree.chart.LegendItem,setSeriesKey,570
26,org.jfree.chart.LegendItemCollection,<init>,67
26,org.jfree.chart.LegendItemCollection,<init>,68
26,org.jfree.chart.LegendItemCollection,<init>,69
26,org.jfree.chart.LegendItemCollection,add,77
26,org.jfree.chart.LegendItemCollection,add,78
26,org.jfree.chart.LegendItemCollection,get,97
26,org.jfree.chart.LegendItemCollection,getItemCount,106
