bug,class,method,line
4,org.jfree.chart.ChartColor,<clinit>,59
4,org.jfree.chart.ChartColor,<clinit>,62
4,org.jfree.chart.ChartColor,<clinit>,65
4,org.jfree.chart.ChartColor,<clinit>,68
4,org.jfree.chart.ChartColor,<clinit>,71
4,org.jfree.chart.ChartColor,<clinit>,74
4,org.jfree.chart.ChartColor,<clinit>,77
4,org.jfree.chart.ChartColor,<clinit>,80
4,org.jfree.chart.ChartColor,<clinit>,83
4,org.jfree.chart.ChartColor,<clinit>,86
4,org.jfree.chart.ChartColor,<clinit>,89
4,org.jfree.chart.ChartColor,<clinit>,92
4,org.jfree.chart.ChartColor,<clinit>,95
4,org.jfree.chart.ChartColor,<clinit>,98
4,org.jfree.chart.ChartColor,<clinit>,101
4,org.jfree.chart.ChartColor,<clinit>,104
4,org.jfree.chart.ChartColor,<clinit>,107
4,org.jfree.chart.ChartColor,<clinit>,110
4,org.jfree.chart.ChartColor,<clinit>,113
4,org.jfree.chart.ChartColor,<clinit>,116
4,org.jfree.chart.ChartColor,<clinit>,119
4,org.jfree.chart.ChartColor,<clinit>,122
4,org.jfree.chart.ChartColor,<clinit>,125
4,org.jfree.chart.ChartColor,<clinit>,128
4,org.jfree.chart.ChartColor,createDefaultPaintArray,151
4,org.jfree.chart.axis.AxisLocation,<clinit>,61
4,org.jfree.chart.axis.AxisLocation,<clinit>,65
4,org.jfree.chart.axis.AxisLocation,<clinit>,69
4,org.jfree.chart.axis.AxisLocation,<clinit>,73
4,org.jfree.chart.axis.AxisLocation,<init>,84
4,org.jfree.chart.axis.AxisLocation,<init>,85
4,org.jfree.chart.axis.AxisLocation,<init>,86
4,org.jfree.chart.event.ChartChangeEvent,<init>,69
4,org.jfree.chart.event.ChartChangeEvent,<init>,70
4,org.jfree.chart.event.ChartChangeEvent,<init>,93
4,org.jfree.chart.event.ChartChangeEvent,<init>,94
4,org.jfree.chart.event.ChartChangeEvent,<init>,95
4,org.jfree.chart.event.ChartChangeEvent,<init>,96
4,org.jfree.chart.event.ChartChangeEvent,setType,131
4,org.jfree.chart.event.ChartChangeEvent,setType,132
4,org.jfree.chart.event.ChartChangeEventType,<clinit>,55
4,org.jfree.chart.event.ChartChangeEventType,<clinit>,59
4,org.jfree.chart.event.ChartChangeEventType,<clinit>,63
4,org.jfree.chart.event.ChartChangeEventType,<init>,74
4,org.jfree.chart.event.ChartChangeEventType,<init>,75
4,org.jfree.chart.event.ChartChangeEventType,<init>,76
4,org.jfree.chart.event.PlotChangeEvent,<init>,64
4,org.jfree.chart.event.PlotChangeEvent,<init>,65
4,org.jfree.chart.event.PlotChangeEvent,<init>,66
4,org.jfree.chart.event.RendererChangeEvent,<init>,70
4,org.jfree.chart.event.RendererChangeEvent,<init>,71
4,org.jfree.chart.event.RendererChangeEvent,<init>,82
4,org.jfree.chart.event.RendererChangeEvent,<init>,83
4,org.jfree.chart.event.RendererChangeEvent,<init>,84
4,org.jfree.chart.event.RendererChangeEvent,<init>,85
4,org.jfree.chart.event.RendererChangeEvent,getSeriesVisibilityChanged,105
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,60
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,64
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,68
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,72
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,76
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,80
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,84
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,88
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,92
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,96
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,100
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,104
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,108
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,112
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,116
4,org.jfree.chart.labels.ItemLabelAnchor,<clinit>,120
