bug,class,method,line
4,org.jfree.chart.ChartColor,<clinit>,59
4,org.jfree.chart.ChartColor,<clinit>,62
4,org.jfree.chart.ChartColor,<clinit>,65
4,org.jfree.chart.ChartColor,<clinit>,68
4,org.jfree.chart.ChartColor,<clinit>,71
4,org.jfree.chart.ChartColor,<clinit>,74
4,org.jfree.chart.ChartColor,<clinit>,77
4,org.jfree.chart.ChartColor,<clinit>,80
4,org.jfree.chart.ChartColor,<clinit>,83
4,org.jfree.chart.ChartColor,<clinit>,86
4,org.jfree.chart.ChartColor,<clinit>,89
4,org.jfree.chart.ChartColor,<clinit>,92
4,org.jfree.chart.ChartColor,<clinit>,95
4,org.jfree.chart.ChartColor,<clinit>,98
4,org.jfree.chart.ChartColor,<clinit>,101
4,org.jfree.chart.ChartColor,<clinit>,104
4,org.jfree.chart.ChartColor,<clinit>,107
4,org.jfree.chart.ChartColor,<clinit>,110
4,org.jfree.chart.ChartColor,<clinit>,113
4,org.jfree.chart.ChartColor,<clinit>,116
4,org.jfree.chart.ChartColor,<clinit>,119
4,org.jfree.chart.ChartColor,<clinit>,122
4,org.jfree.chart.ChartColor,<clinit>,125
4,org.jfree.chart.ChartColor,<clinit>,128
4,org.jfree.chart.ChartColor,createDefaultPaintArray,151
4,org.jfree.chart.ChartFactory,<clinit>,233
4,org.jfree.chart.ChartFactory,createPieChart,333
4,org.jfree.chart.ChartFactory,createPieChart,334
4,org.jfree.chart.ChartFactory,createPieChart,335
4,org.jfree.chart.ChartFactory,createPieChart,336
4,org.jfree.chart.ChartFactory,createPieChart,337
4,org.jfree.chart.ChartFactory,createPieChart,339
4,org.jfree.chart.ChartFactory,createPieChart,342
4,org.jfree.chart.ChartFactory,createPieChart,344
4,org.jfree.chart.ChartFactory,createPieChart,345
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1888
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1889
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1890
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1891
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1892
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1893
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1895
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1896
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1897
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1901
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1902
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1903
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1906
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1908
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1909
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1910
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1912
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1914
4,org.jfree.chart.ChartFactory,createTimeSeriesChart,1915
4,org.jfree.chart.JFreeChart,<clinit>,256
4,org.jfree.chart.JFreeChart,<clinit>,259
4,org.jfree.chart.JFreeChart,<clinit>,263
4,org.jfree.chart.JFreeChart,<clinit>,266
4,org.jfree.chart.JFreeChart,<init>,311
4,org.jfree.chart.JFreeChart,<init>,314
4,org.jfree.chart.JFreeChart,<init>,377
4,org.jfree.chart.JFreeChart,<init>,379
4,org.jfree.chart.JFreeChart,<init>,384
4,org.jfree.chart.JFreeChart,<init>,385
4,org.jfree.chart.JFreeChart,<init>,386
4,org.jfree.chart.JFreeChart,<init>,389
4,org.jfree.chart.JFreeChart,<init>,393
4,org.jfree.chart.JFreeChart,<init>,394
4,org.jfree.chart.JFreeChart,<init>,395
4,org.jfree.chart.JFreeChart,<init>,397
4,org.jfree.chart.JFreeChart,<init>,399
4,org.jfree.chart.JFreeChart,<init>,400
4,org.jfree.chart.JFreeChart,<init>,402
4,org.jfree.chart.JFreeChart,<init>,405
4,org.jfree.chart.JFreeChart,<init>,406
4,org.jfree.chart.JFreeChart,<init>,407
4,org.jfree.chart.JFreeChart,<init>,408
4,org.jfree.chart.JFreeChart,<init>,409
