bug,class,method,line
4,org.jfree.chart.ChartColor,<clinit>,59
4,org.jfree.chart.ChartColor,<clinit>,62
4,org.jfree.chart.ChartColor,<clinit>,65
4,org.jfree.chart.ChartColor,<clinit>,68
4,org.jfree.chart.ChartColor,<clinit>,71
4,org.jfree.chart.ChartColor,<clinit>,74
4,org.jfree.chart.ChartColor,<clinit>,77
4,org.jfree.chart.ChartColor,<clinit>,80
4,org.jfree.chart.ChartColor,<clinit>,83
4,org.jfree.chart.ChartColor,<clinit>,86
4,org.jfree.chart.ChartColor,<clinit>,89
4,org.jfree.chart.ChartColor,<clinit>,92
4,org.jfree.chart.ChartColor,<clinit>,95
4,org.jfree.chart.ChartColor,<clinit>,98
4,org.jfree.chart.ChartColor,<clinit>,101
4,org.jfree.chart.ChartColor,<clinit>,104
4,org.jfree.chart.ChartColor,<clinit>,107
4,org.jfree.chart.ChartColor,<clinit>,110
4,org.jfree.chart.ChartColor,<clinit>,113
4,org.jfree.chart.ChartColor,<clinit>,116
4,org.jfree.chart.ChartColor,<clinit>,119
4,org.jfree.chart.ChartColor,<clinit>,122
4,org.jfree.chart.ChartColor,<clinit>,125
4,org.jfree.chart.ChartColor,<clinit>,128
4,org.jfree.chart.ChartColor,createDefaultPaintArray,151
4,org.jfree.chart.LegendItem,<clinit>,196
4,org.jfree.chart.LegendItem,<clinit>,202
4,org.jfree.chart.LegendItem,<init>,338
4,org.jfree.chart.LegendItem,<init>,340
4,org.jfree.chart.LegendItem,<init>,343
4,org.jfree.chart.LegendItem,<init>,346
4,org.jfree.chart.LegendItem,<init>,349
4,org.jfree.chart.LegendItem,<init>,352
4,org.jfree.chart.LegendItem,<init>,356
4,org.jfree.chart.LegendItem,<init>,357
4,org.jfree.chart.LegendItem,<init>,358
4,org.jfree.chart.LegendItem,<init>,359
4,org.jfree.chart.LegendItem,<init>,360
4,org.jfree.chart.LegendItem,<init>,361
4,org.jfree.chart.LegendItem,<init>,362
4,org.jfree.chart.LegendItem,<init>,363
4,org.jfree.chart.LegendItem,<init>,364
4,org.jfree.chart.LegendItem,<init>,365
4,org.jfree.chart.LegendItem,<init>,366
4,org.jfree.chart.LegendItem,<init>,367
4,org.jfree.chart.LegendItem,<init>,368
4,org.jfree.chart.LegendItem,<init>,369
4,org.jfree.chart.LegendItem,<init>,370
4,org.jfree.chart.LegendItem,<init>,371
4,org.jfree.chart.LegendItem,<init>,372
4,org.jfree.chart.LegendItem,<init>,373
4,org.jfree.chart.LegendItem,<init>,374
4,org.jfree.chart.LegendItem,setDataset,572
4,org.jfree.chart.LegendItem,setDataset,573
4,org.jfree.chart.LegendItem,setDatasetIndex,599
4,org.jfree.chart.LegendItem,setDatasetIndex,600
4,org.jfree.chart.LegendItem,setLabelFont,676
4,org.jfree.chart.LegendItem,setLabelFont,677
4,org.jfree.chart.LegendItem,setSeriesIndex,645
4,org.jfree.chart.LegendItem,setSeriesIndex,646
4,org.jfree.chart.LegendItem,setSeriesKey,623
4,org.jfree.chart.LegendItem,setSeriesKey,624
4,org.jfree.chart.LegendItemCollection,<init>,68
4,org.jfree.chart.LegendItemCollection,<init>,69
4,org.jfree.chart.LegendItemCollection,<init>,70
4,org.jfree.chart.LegendItemCollection,add,78
4,org.jfree.chart.LegendItemCollection,add,79
4,org.jfree.chart.LegendItemCollection,getItemCount,107
4,org.jfree.chart.axis.AxisLocation,<clinit>,61
4,org.jfree.chart.axis.AxisLocation,<clinit>,65
4,org.jfree.chart.axis.AxisLocation,<clinit>,69
4,org.jfree.chart.axis.AxisLocation,<clinit>,73
4,org.jfree.chart.axis.AxisLocation,<init>,84
4,org.jfree.chart.axis.AxisLocation,<init>,85
4,org.jfree.chart.axis.AxisLocation,<init>,86
4,org.jfree.chart.event.ChartChangeEvent,<init>,69
4,org.jfree.chart.event.ChartChangeEvent,<init>,70
4,org.jfree.chart.event.ChartChangeEvent,<init>,93
4,org.jfree.chart.event.ChartChangeEvent,<init>,94
4,org.jfree.chart.event.ChartChangeEvent,<init>,95
4,org.jfree.chart.event.ChartChangeEvent,<init>,96
4,org.jfree.chart.event.ChartChangeEvent,setType,131
