bug,class,method,line
5,org.jfree.data.general.Series,<init>,102
5,org.jfree.data.general.Series,<init>,103
5,org.jfree.data.general.Series,<init>,111
5,org.jfree.data.general.Series,<init>,112
5,org.jfree.data.general.Series,<init>,115
5,org.jfree.data.general.Series,<init>,116
5,org.jfree.data.general.Series,<init>,117
5,org.jfree.data.general.Series,<init>,118
5,org.jfree.data.general.Series,<init>,119
5,org.jfree.data.general.Series,<init>,120
5,org.jfree.data.general.Series,fireSeriesChanged,313
5,org.jfree.data.general.Series,fireSeriesChanged,314
5,org.jfree.data.general.Series,fireSeriesChanged,316
5,org.jfree.data.general.Series,notifyListeners,326
5,org.jfree.data.general.Series,notifyListeners,327
5,org.jfree.data.general.Series,notifyListeners,334
5,org.jfree.data.general.SeriesChangeEvent,<init>,61
5,org.jfree.data.general.SeriesChangeEvent,<init>,62
5,org.jfree.data.xy.XYDataItem,<init>,72
5,org.jfree.data.xy.XYDataItem,<init>,73
5,org.jfree.data.xy.XYDataItem,<init>,76
5,org.jfree.data.xy.XYDataItem,<init>,77
5,org.jfree.data.xy.XYDataItem,<init>,78
5,org.jfree.data.xy.XYDataItem,compareTo,179
5,org.jfree.data.xy.XYDataItem,compareTo,180
5,org.jfree.data.xy.XYDataItem,compareTo,181
5,org.jfree.data.xy.XYDataItem,compareTo,183
5,org.jfree.data.xy.XYDataItem,compareTo,187
5,org.jfree.data.xy.XYDataItem,compareTo,188
5,org.jfree.data.xy.XYDataItem,compareTo,194
5,org.jfree.data.xy.XYDataItem,compareTo,203
5,org.jfree.data.xy.XYDataItem,getX,96
5,org.jfree.data.xy.XYSeries,<init>,121
5,org.jfree.data.xy.XYSeries,<init>,122
5,org.jfree.data.xy.XYSeries,<init>,105
5,org.jfree.data.xy.XYSeries,<init>,149
5,org.jfree.data.xy.XYSeries,<init>,150
5,org.jfree.data.xy.XYSeries,<init>,151
5,org.jfree.data.xy.XYSeries,<init>,152
5,org.jfree.data.xy.XYSeries,<init>,153
5,org.jfree.data.xy.XYSeries,add,266
5,org.jfree.data.xy.XYSeries,add,267
5,org.jfree.data.xy.XYSeries,add,340
5,org.jfree.data.xy.XYSeries,add,341
5,org.jfree.data.xy.XYSeries,add,342
5,org.jfree.data.xy.XYSeries,add,355
5,org.jfree.data.xy.XYSeries,add,359
5,org.jfree.data.xy.XYSeries,add,360
5,org.jfree.data.xy.XYSeries,add,361
5,org.jfree.data.xy.XYSeries,add,362
5,org.jfree.data.xy.XYSeries,add,383
5,org.jfree.data.xy.XYSeries,add,395
5,org.jfree.data.xy.XYSeries,add,396
5,org.jfree.data.xy.XYSeries,add,398
5,org.jfree.data.xy.XYSeries,add,399
5,org.jfree.data.xy.XYSeries,add,401
5,org.jfree.data.xy.XYSeries,getDataItem,461
5,org.jfree.data.xy.XYSeries,getItemCount,197
5,org.jfree.data.xy.XYSeries,getMaximumItemCount,218
5,org.jfree.data.xy.XYSeries,getX,472
5,org.jfree.data.xy.XYSeries,setMaximumItemCount,236
5,org.jfree.data.xy.XYSeries,setMaximumItemCount,237
5,org.jfree.data.xy.XYSeries,setMaximumItemCount,238
5,org.jfree.data.xy.XYSeries,setMaximumItemCount,242
5,org.jfree.data.xy.XYSeries,setMaximumItemCount,245
