bug,class,method,line
8,org.jfree.data.time.RegularTimePeriod,<clinit>,163
8,org.jfree.data.time.RegularTimePeriod,<init>,72
8,org.jfree.data.time.Week,<init>,126
8,org.jfree.data.time.Week,<init>,127
8,org.jfree.data.time.Week,<init>,131
8,org.jfree.data.time.Week,<init>,132
8,org.jfree.data.time.Week,<init>,133
8,org.jfree.data.time.Week,<init>,134
8,org.jfree.data.time.Week,<init>,170
8,org.jfree.data.time.Week,<init>,171
8,org.jfree.data.time.Week,<init>,174
8,org.jfree.data.time.Week,<init>,177
8,org.jfree.data.time.Week,<init>,178
8,org.jfree.data.time.Week,<init>,183
8,org.jfree.data.time.Week,<init>,184
8,org.jfree.data.time.Week,<init>,190
8,org.jfree.data.time.Week,<init>,191
8,org.jfree.data.time.Week,<init>,194
8,org.jfree.data.time.Week,<init>,198
8,org.jfree.data.time.Week,<init>,200
8,org.jfree.data.time.Week,<init>,202
8,org.jfree.data.time.Week,<init>,214
8,org.jfree.data.time.Week,<init>,215
8,org.jfree.data.time.Week,<init>,218
8,org.jfree.data.time.Week,<init>,221
8,org.jfree.data.time.Week,<init>,224
8,org.jfree.data.time.Week,<init>,225
8,org.jfree.data.time.Week,<init>,230
8,org.jfree.data.time.Week,<init>,231
8,org.jfree.data.time.Week,<init>,237
8,org.jfree.data.time.Week,<init>,238
8,org.jfree.data.time.Week,<init>,241
8,org.jfree.data.time.Week,<init>,245
8,org.jfree.data.time.Week,<init>,247
8,org.jfree.data.time.Week,<init>,248
8,org.jfree.data.time.Week,getFirstMillisecond,406
8,org.jfree.data.time.Week,getFirstMillisecond,407
8,org.jfree.data.time.Week,getFirstMillisecond,408
8,org.jfree.data.time.Week,getFirstMillisecond,409
8,org.jfree.data.time.Week,getFirstMillisecond,410
8,org.jfree.data.time.Week,getFirstMillisecond,411
8,org.jfree.data.time.Week,getFirstMillisecond,412
8,org.jfree.data.time.Week,getFirstMillisecond,413
8,org.jfree.data.time.Week,getFirstMillisecond,414
8,org.jfree.data.time.Week,getFirstMillisecond,416
8,org.jfree.data.time.Week,getLastMillisecond,431
8,org.jfree.data.time.Week,getLastMillisecond,432
8,org.jfree.data.time.Week,getLastMillisecond,433
8,org.jfree.data.time.Week,getLastMillisecond,434
8,org.jfree.data.time.Week,getLastMillisecond,435
8,org.jfree.data.time.Week,getLastMillisecond,436
8,org.jfree.data.time.Week,getLastMillisecond,437
8,org.jfree.data.time.Week,getLastMillisecond,438
8,org.jfree.data.time.Week,getLastMillisecond,439
8,org.jfree.data.time.Week,getLastMillisecond,441
8,org.jfree.data.time.Week,getWeek,274
8,org.jfree.data.time.Week,peg,314
8,org.jfree.data.time.Week,peg,315
8,org.jfree.data.time.Week,peg,316
