bug,class,method,line
113,com.google.javascript.jscomp.AbstractCompiler,<clinit>,44
113,com.google.javascript.jscomp.AbstractCompiler,<init>,43
113,com.google.javascript.jscomp.AbstractCompiler,<init>,47
113,com.google.javascript.jscomp.AbstractCompiler,<init>,53
113,com.google.javascript.jscomp.AbstractCompiler,<init>,299
113,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,299
113,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,300
113,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,303
113,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,308
113,com.google.javascript.jscomp.AbstractMessageFormatter,<clinit>,46
113,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,31
113,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,32
113,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,33
113,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,36
113,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,37
113,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,23
113,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,26
113,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,34
113,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,42
113,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,47
113,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,48
113,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,49
113,com.google.javascript.jscomp.AstValidator,<init>,48
113,com.google.javascript.jscomp.AstValidator,<init>,49
113,com.google.javascript.jscomp.AstValidator,<init>,56
113,com.google.javascript.jscomp.AstValidator,validateAssignmentExpression,602
113,com.google.javascript.jscomp.AstValidator,validateAssignmentExpression,603
113,com.google.javascript.jscomp.AstValidator,validateAssignmentExpression,604
113,com.google.javascript.jscomp.AstValidator,validateAssignmentExpression,605
113,com.google.javascript.jscomp.AstValidator,validateAssignmentTarget,608
113,com.google.javascript.jscomp.AstValidator,validateAssignmentTarget,612
113,com.google.javascript.jscomp.AstValidator,validateAssignmentTarget,613
113,com.google.javascript.jscomp.AstValidator,validateBlock,279
113,com.google.javascript.jscomp.AstValidator,validateBlock,280
113,com.google.javascript.jscomp.AstValidator,validateBlock,283
113,com.google.javascript.jscomp.AstValidator,validateChildCount,776
113,com.google.javascript.jscomp.AstValidator,validateChildCount,777
113,com.google.javascript.jscomp.AstValidator,validateChildCount,778
113,com.google.javascript.jscomp.AstValidator,validateChildCount,779
113,com.google.javascript.jscomp.AstValidator,validateChildCount,780
113,com.google.javascript.jscomp.AstValidator,validateChildCount,782
113,com.google.javascript.jscomp.AstValidator,validateChildCount,784
113,com.google.javascript.jscomp.AstValidator,validateChildCount,789
113,com.google.javascript.jscomp.AstValidator,validateCodeRoot,77
113,com.google.javascript.jscomp.AstValidator,validateCodeRoot,78
113,com.google.javascript.jscomp.AstValidator,validateCodeRoot,79
113,com.google.javascript.jscomp.AstValidator,validateCodeRoot,80
113,com.google.javascript.jscomp.AstValidator,validateCodeRoot,82
113,com.google.javascript.jscomp.AstValidator,validateExprStmt,475
113,com.google.javascript.jscomp.AstValidator,validateExprStmt,476
113,com.google.javascript.jscomp.AstValidator,validateExprStmt,477
113,com.google.javascript.jscomp.AstValidator,validateExprStmt,478
113,com.google.javascript.jscomp.AstValidator,validateExpression,156
113,com.google.javascript.jscomp.AstValidator,validateExpression,220
113,com.google.javascript.jscomp.AstValidator,validateExpression,221
113,com.google.javascript.jscomp.AstValidator,validateExpression,233
113,com.google.javascript.jscomp.AstValidator,validateExpression,234
113,com.google.javascript.jscomp.AstValidator,validateExpression,237
113,com.google.javascript.jscomp.AstValidator,validateExpression,238
113,com.google.javascript.jscomp.AstValidator,validateFunctionStatement,352
113,com.google.javascript.jscomp.AstValidator,validateFunctionStatement,353
113,com.google.javascript.jscomp.AstValidator,validateFunctionStatement,354
113,com.google.javascript.jscomp.AstValidator,validateFunctionStatement,355
113,com.google.javascript.jscomp.AstValidator,validateFunctionStatement,356
113,com.google.javascript.jscomp.AstValidator,validateFunctionStatement,357
113,com.google.javascript.jscomp.AstValidator,validateHasInputId,307
113,com.google.javascript.jscomp.AstValidator,validateHasInputId,308
113,com.google.javascript.jscomp.AstValidator,validateHasInputId,311
113,com.google.javascript.jscomp.AstValidator,validateHasSourceName,300
113,com.google.javascript.jscomp.AstValidator,validateHasSourceName,301
113,com.google.javascript.jscomp.AstValidator,validateHasSourceName,304
113,com.google.javascript.jscomp.AstValidator,validateIsSynthetic,294
113,com.google.javascript.jscomp.AstValidator,validateIsSynthetic,297
113,com.google.javascript.jscomp.AstValidator,validateMaximumChildCount,809
113,com.google.javascript.jscomp.AstValidator,validateMaximumChildCount,810
113,com.google.javascript.jscomp.AstValidator,validateMaximumChildCount,811
113,com.google.javascript.jscomp.AstValidator,validateMaximumChildCount,815
113,com.google.javascript.jscomp.AstValidator,validateMaximumChildCount,820
113,com.google.javascript.jscomp.AstValidator,validateMinimumChildCount,792
113,com.google.javascript.jscomp.AstValidator,validateMinimumChildCount,793
113,com.google.javascript.jscomp.AstValidator,validateMinimumChildCount,794
113,com.google.javascript.jscomp.AstValidator,validateMinimumChildCount,801
113,com.google.javascript.jscomp.AstValidator,validateMinimumChildCount,806
113,com.google.javascript.jscomp.AstValidator,validateName,340
113,com.google.javascript.jscomp.AstValidator,validateName,341
113,com.google.javascript.jscomp.AstValidator,validateName,342
113,com.google.javascript.jscomp.AstValidator,validateName,343
113,com.google.javascript.jscomp.AstValidator,validateNodeType,768
113,com.google.javascript.jscomp.AstValidator,validateNodeType,773
113,com.google.javascript.jscomp.AstValidator,validateNonEmptyString,327
113,com.google.javascript.jscomp.AstValidator,validateNonEmptyString,328
113,com.google.javascript.jscomp.AstValidator,validateNonEmptyString,331
113,com.google.javascript.jscomp.AstValidator,validateNonNullString,334
113,com.google.javascript.jscomp.AstValidator,validateNonNullString,337
113,com.google.javascript.jscomp.AstValidator,validateNumber,650
113,com.google.javascript.jscomp.AstValidator,validateNumber,651
113,com.google.javascript.jscomp.AstValidator,validateNumber,654
113,com.google.javascript.jscomp.AstValidator,validateNumber,657
113,com.google.javascript.jscomp.AstValidator,validateNumber,658
113,com.google.javascript.jscomp.AstValidator,validateParameters,368
113,com.google.javascript.jscomp.AstValidator,validateParameters,369
113,com.google.javascript.jscomp.AstValidator,validateParameters,372
113,com.google.javascript.jscomp.AstValidator,validateRoot,69
113,com.google.javascript.jscomp.AstValidator,validateRoot,70
113,com.google.javascript.jscomp.AstValidator,validateRoot,71
113,com.google.javascript.jscomp.AstValidator,validateRoot,72
113,com.google.javascript.jscomp.AstValidator,validateRoot,73
113,com.google.javascript.jscomp.AstValidator,validateRoot,74
113,com.google.javascript.jscomp.AstValidator,validateScript,85
113,com.google.javascript.jscomp.AstValidator,validateScript,86
113,com.google.javascript.jscomp.AstValidator,validateScript,87
113,com.google.javascript.jscomp.AstValidator,validateScript,88
113,com.google.javascript.jscomp.AstValidator,validateScript,89
113,com.google.javascript.jscomp.AstValidator,validateScript,91
113,com.google.javascript.jscomp.AstValidator,validateStatement,94
