bug,class,method,line
12,com.google.javascript.jscomp.AbstractCompiler,<clinit>,36
12,com.google.javascript.jscomp.AbstractCompiler,<init>,35
12,com.google.javascript.jscomp.AbstractMessageFormatter,<clinit>,47
12,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,32
12,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,33
12,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,34
12,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,37
12,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,38
12,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,23
12,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,26
12,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,34
12,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,42
12,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,47
12,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,48
12,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,49
12,com.google.javascript.jscomp.BasicErrorManager,<init>,37
12,com.google.javascript.jscomp.BasicErrorManager,<init>,38
12,com.google.javascript.jscomp.BasicErrorManager,<init>,40
12,com.google.javascript.jscomp.BasicErrorManager,<init>,41
12,com.google.javascript.jscomp.BasicErrorManager,<init>,42
12,com.google.javascript.jscomp.BasicErrorManager,<init>,173
12,com.google.javascript.jscomp.BasicErrorManager,getErrorCount,73
12,com.google.javascript.jscomp.BasicErrorManager,getErrors,81
12,com.google.javascript.jscomp.BasicErrorManager,getWarningCount,77
12,com.google.javascript.jscomp.BasicErrorManager,getWarnings,85
12,com.google.javascript.jscomp.BasicErrorManager,toArray,97
12,com.google.javascript.jscomp.BasicErrorManager,toArray,98
12,com.google.javascript.jscomp.BasicErrorManager,toArray,103
12,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,115
12,com.google.javascript.jscomp.CheckAccessControls,<clinit>,50
12,com.google.javascript.jscomp.CheckAccessControls,<clinit>,54
12,com.google.javascript.jscomp.CheckAccessControls,<clinit>,58
12,com.google.javascript.jscomp.CheckAccessControls,<clinit>,62
12,com.google.javascript.jscomp.CheckAccessControls,<clinit>,66
12,com.google.javascript.jscomp.CheckAccessControls,<clinit>,70
12,com.google.javascript.jscomp.CheckAccessControls,<clinit>,74
12,com.google.javascript.jscomp.CheckAccessControls,<clinit>,79
12,com.google.javascript.jscomp.CheckAccessControls,<clinit>,84
12,com.google.javascript.jscomp.CheckAccessControls,<clinit>,89
12,com.google.javascript.jscomp.CheckAccessControls,<clinit>,94
12,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,39
12,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,43
12,com.google.javascript.jscomp.CheckLevel,<clinit>,24
12,com.google.javascript.jscomp.CheckLevel,<clinit>,25
12,com.google.javascript.jscomp.CheckLevel,<clinit>,26
12,com.google.javascript.jscomp.CheckLevel,<clinit>,27
12,com.google.javascript.jscomp.CheckPathsBetweenNodes,<clinit>,55
12,com.google.javascript.jscomp.CheckPathsBetweenNodes,<clinit>,57
12,com.google.javascript.jscomp.CheckPathsBetweenNodes,<clinit>,59
12,com.google.javascript.jscomp.CheckPathsBetweenNodes,<clinit>,61
12,com.google.javascript.jscomp.CheckPathsBetweenNodes,<init>,85
12,com.google.javascript.jscomp.CheckPathsBetweenNodes,<init>,86
12,com.google.javascript.jscomp.CheckPathsBetweenNodes,<init>,87
12,com.google.javascript.jscomp.CheckPathsBetweenNodes,<init>,88
