bug,class,method,line
125,com.google.javascript.jscomp.AbstractCompiler,<clinit>,36
125,com.google.javascript.jscomp.AbstractCompiler,<init>,35
125,com.google.javascript.jscomp.AbstractMessageFormatter,<clinit>,47
125,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,32
125,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,33
125,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,34
125,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,37
125,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,38
125,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,23
125,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,26
125,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,34
125,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,42
125,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,47
125,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,48
125,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,49
125,com.google.javascript.jscomp.BasicErrorManager,<init>,37
125,com.google.javascript.jscomp.BasicErrorManager,<init>,38
125,com.google.javascript.jscomp.BasicErrorManager,<init>,40
125,com.google.javascript.jscomp.BasicErrorManager,<init>,41
125,com.google.javascript.jscomp.BasicErrorManager,<init>,42
125,com.google.javascript.jscomp.BasicErrorManager,<init>,173
125,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,115
125,com.google.javascript.jscomp.CheckAccessControls,<clinit>,50
125,com.google.javascript.jscomp.CheckAccessControls,<clinit>,54
125,com.google.javascript.jscomp.CheckAccessControls,<clinit>,58
125,com.google.javascript.jscomp.CheckAccessControls,<clinit>,62
125,com.google.javascript.jscomp.CheckAccessControls,<clinit>,66
125,com.google.javascript.jscomp.CheckAccessControls,<clinit>,70
125,com.google.javascript.jscomp.CheckAccessControls,<clinit>,74
125,com.google.javascript.jscomp.CheckAccessControls,<clinit>,79
125,com.google.javascript.jscomp.CheckAccessControls,<clinit>,84
125,com.google.javascript.jscomp.CheckAccessControls,<clinit>,89
125,com.google.javascript.jscomp.CheckAccessControls,<clinit>,94
125,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,39
125,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,43
125,com.google.javascript.jscomp.CheckLevel,<clinit>,24
125,com.google.javascript.jscomp.CheckLevel,<clinit>,25
125,com.google.javascript.jscomp.CheckLevel,<clinit>,26
125,com.google.javascript.jscomp.CheckLevel,<clinit>,27
125,com.google.javascript.jscomp.CheckLevel,isOn,30
125,com.google.javascript.jscomp.CheckRegExp,<clinit>,30
125,com.google.javascript.jscomp.ClosureCodingConvention,<clinit>,44
125,com.google.javascript.jscomp.ClosureCodingConvention,<init>,38
125,com.google.javascript.jscomp.ClosureCodingConvention,<init>,284
125,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,<init>,35
125,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,<init>,36
125,com.google.javascript.jscomp.Compiler,<init>,171
125,com.google.javascript.jscomp.Compiler,<init>,172
125,com.google.javascript.jscomp.Compiler,<init>,64
125,com.google.javascript.jscomp.Compiler,<init>,66
125,com.google.javascript.jscomp.Compiler,<init>,98
125,com.google.javascript.jscomp.Compiler,<init>,104
125,com.google.javascript.jscomp.Compiler,<init>,110
125,com.google.javascript.jscomp.Compiler,<init>,113
125,com.google.javascript.jscomp.Compiler,<init>,119
125,com.google.javascript.jscomp.Compiler,<init>,125
125,com.google.javascript.jscomp.Compiler,<init>,128
125,com.google.javascript.jscomp.Compiler,<init>,131
125,com.google.javascript.jscomp.Compiler,<init>,139
125,com.google.javascript.jscomp.Compiler,<init>,143
125,com.google.javascript.jscomp.Compiler,<init>,178
125,com.google.javascript.jscomp.Compiler,<init>,179
125,com.google.javascript.jscomp.Compiler,<init>,180
125,com.google.javascript.jscomp.Compiler,<init>,181
125,com.google.javascript.jscomp.Compiler,<init>,729
125,com.google.javascript.jscomp.Compiler,<init>,788
125,com.google.javascript.jscomp.Compiler,<init>,789
125,com.google.javascript.jscomp.Compiler,<init>,1544
125,com.google.javascript.jscomp.Compiler,<init>,1546
125,com.google.javascript.jscomp.Compiler,createMessageFormatter,207
125,com.google.javascript.jscomp.Compiler,createMessageFormatter,208
125,com.google.javascript.jscomp.Compiler,getTypeRegistry,972
125,com.google.javascript.jscomp.Compiler,getTypeRegistry,973
125,com.google.javascript.jscomp.Compiler,getTypeRegistry,975
125,com.google.javascript.jscomp.Compiler,getTypeValidator,1006
125,com.google.javascript.jscomp.Compiler,getTypeValidator,1007
125,com.google.javascript.jscomp.Compiler,getTypeValidator,1009
125,com.google.javascript.jscomp.Compiler,initOptions,216
125,com.google.javascript.jscomp.Compiler,initOptions,217
125,com.google.javascript.jscomp.Compiler,initOptions,218
125,com.google.javascript.jscomp.Compiler,initOptions,219
125,com.google.javascript.jscomp.Compiler,initOptions,230
125,com.google.javascript.jscomp.Compiler,initOptions,231
125,com.google.javascript.jscomp.Compiler,initOptions,234
125,com.google.javascript.jscomp.Compiler,initOptions,235
125,com.google.javascript.jscomp.Compiler,initOptions,236
125,com.google.javascript.jscomp.Compiler,initOptions,244
125,com.google.javascript.jscomp.Compiler,initOptions,247
125,com.google.javascript.jscomp.Compiler,initOptions,250
125,com.google.javascript.jscomp.Compiler,initOptions,251
125,com.google.javascript.jscomp.Compiler,setErrorManager,197
125,com.google.javascript.jscomp.Compiler,setErrorManager,199
125,com.google.javascript.jscomp.Compiler,setErrorManager,200
125,com.google.javascript.jscomp.Compiler$3,<init>,730
125,com.google.javascript.jscomp.CompilerOptions,<init>,74
125,com.google.javascript.jscomp.CompilerOptions,<init>,78
125,com.google.javascript.jscomp.CompilerOptions,<init>,542
125,com.google.javascript.jscomp.CompilerOptions,<init>,557
125,com.google.javascript.jscomp.CompilerOptions,<init>,586
125,com.google.javascript.jscomp.CompilerOptions,<init>,590
125,com.google.javascript.jscomp.CompilerOptions,<init>,610
125,com.google.javascript.jscomp.CompilerOptions,<init>,612
125,com.google.javascript.jscomp.CompilerOptions,<init>,613
125,com.google.javascript.jscomp.CompilerOptions,<init>,614
125,com.google.javascript.jscomp.CompilerOptions,<init>,615
125,com.google.javascript.jscomp.CompilerOptions,<init>,616
125,com.google.javascript.jscomp.CompilerOptions,<init>,617
125,com.google.javascript.jscomp.CompilerOptions,<init>,618
125,com.google.javascript.jscomp.CompilerOptions,<init>,619
125,com.google.javascript.jscomp.CompilerOptions,<init>,620
125,com.google.javascript.jscomp.CompilerOptions,<init>,621
125,com.google.javascript.jscomp.CompilerOptions,<init>,622
125,com.google.javascript.jscomp.CompilerOptions,<init>,623
125,com.google.javascript.jscomp.CompilerOptions,<init>,624
125,com.google.javascript.jscomp.CompilerOptions,<init>,625
125,com.google.javascript.jscomp.CompilerOptions,<init>,626
125,com.google.javascript.jscomp.CompilerOptions,<init>,627
125,com.google.javascript.jscomp.CompilerOptions,<init>,628
125,com.google.javascript.jscomp.CompilerOptions,<init>,629
125,com.google.javascript.jscomp.CompilerOptions,<init>,630
125,com.google.javascript.jscomp.CompilerOptions,<init>,631
125,com.google.javascript.jscomp.CompilerOptions,<init>,632
125,com.google.javascript.jscomp.CompilerOptions,<init>,633
125,com.google.javascript.jscomp.CompilerOptions,<init>,634
125,com.google.javascript.jscomp.CompilerOptions,<init>,635
125,com.google.javascript.jscomp.CompilerOptions,<init>,636
125,com.google.javascript.jscomp.CompilerOptions,<init>,637
125,com.google.javascript.jscomp.CompilerOptions,<init>,638
125,com.google.javascript.jscomp.CompilerOptions,<init>,639
125,com.google.javascript.jscomp.CompilerOptions,<init>,640
125,com.google.javascript.jscomp.CompilerOptions,<init>,641
125,com.google.javascript.jscomp.CompilerOptions,<init>,642
125,com.google.javascript.jscomp.CompilerOptions,<init>,643
125,com.google.javascript.jscomp.CompilerOptions,<init>,644
125,com.google.javascript.jscomp.CompilerOptions,<init>,645
125,com.google.javascript.jscomp.CompilerOptions,<init>,648
125,com.google.javascript.jscomp.CompilerOptions,<init>,649
125,com.google.javascript.jscomp.CompilerOptions,<init>,650
125,com.google.javascript.jscomp.CompilerOptions,<init>,651
125,com.google.javascript.jscomp.CompilerOptions,<init>,652
125,com.google.javascript.jscomp.CompilerOptions,<init>,653
125,com.google.javascript.jscomp.CompilerOptions,<init>,654
125,com.google.javascript.jscomp.CompilerOptions,<init>,655
125,com.google.javascript.jscomp.CompilerOptions,<init>,656
125,com.google.javascript.jscomp.CompilerOptions,<init>,657
125,com.google.javascript.jscomp.CompilerOptions,<init>,658
125,com.google.javascript.jscomp.CompilerOptions,<init>,659
125,com.google.javascript.jscomp.CompilerOptions,<init>,660
125,com.google.javascript.jscomp.CompilerOptions,<init>,661
125,com.google.javascript.jscomp.CompilerOptions,<init>,662
125,com.google.javascript.jscomp.CompilerOptions,<init>,663
125,com.google.javascript.jscomp.CompilerOptions,<init>,664
125,com.google.javascript.jscomp.CompilerOptions,<init>,665
125,com.google.javascript.jscomp.CompilerOptions,<init>,666
125,com.google.javascript.jscomp.CompilerOptions,<init>,667
125,com.google.javascript.jscomp.CompilerOptions,<init>,668
125,com.google.javascript.jscomp.CompilerOptions,<init>,669
125,com.google.javascript.jscomp.CompilerOptions,<init>,670
125,com.google.javascript.jscomp.CompilerOptions,<init>,671
125,com.google.javascript.jscomp.CompilerOptions,<init>,672
125,com.google.javascript.jscomp.CompilerOptions,<init>,673
125,com.google.javascript.jscomp.CompilerOptions,<init>,674
125,com.google.javascript.jscomp.CompilerOptions,<init>,675
125,com.google.javascript.jscomp.CompilerOptions,<init>,676
125,com.google.javascript.jscomp.CompilerOptions,<init>,677
125,com.google.javascript.jscomp.CompilerOptions,<init>,680
125,com.google.javascript.jscomp.CompilerOptions,<init>,681
125,com.google.javascript.jscomp.CompilerOptions,<init>,682
125,com.google.javascript.jscomp.CompilerOptions,<init>,683
125,com.google.javascript.jscomp.CompilerOptions,<init>,684
125,com.google.javascript.jscomp.CompilerOptions,<init>,685
125,com.google.javascript.jscomp.CompilerOptions,<init>,686
125,com.google.javascript.jscomp.CompilerOptions,<init>,687
