bug,class,method,line
128,com.google.javascript.jscomp.AbstractCompiler,<clinit>,40
128,com.google.javascript.jscomp.AbstractCompiler,<init>,39
128,com.google.javascript.jscomp.AbstractCompiler,<init>,43
128,com.google.javascript.jscomp.AbstractCompiler,<init>,268
128,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,268
128,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,269
128,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,272
128,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,277
128,com.google.javascript.jscomp.AbstractMessageFormatter,<clinit>,47
128,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,32
128,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,33
128,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,34
128,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,37
128,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,38
128,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,23
128,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,26
128,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,34
128,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,42
128,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,47
128,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,48
128,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,49
128,com.google.javascript.jscomp.BasicErrorManager,<init>,37
128,com.google.javascript.jscomp.BasicErrorManager,<init>,38
128,com.google.javascript.jscomp.BasicErrorManager,<init>,40
128,com.google.javascript.jscomp.BasicErrorManager,<init>,41
128,com.google.javascript.jscomp.BasicErrorManager,<init>,42
128,com.google.javascript.jscomp.BasicErrorManager,<init>,182
128,com.google.javascript.jscomp.BasicErrorManager,getErrorCount,76
128,com.google.javascript.jscomp.BasicErrorManager,getErrors,86
128,com.google.javascript.jscomp.BasicErrorManager,getWarnings,91
128,com.google.javascript.jscomp.BasicErrorManager,toArray,105
128,com.google.javascript.jscomp.BasicErrorManager,toArray,106
128,com.google.javascript.jscomp.BasicErrorManager,toArray,111
128,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,123
128,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,61
128,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,62
128,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,63
128,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,64
128,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,65
128,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,66
128,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,67
128,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,179
128,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,257
128,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter$1,caseNoType,180
128,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter$2,caseNoType,258
128,com.google.javascript.jscomp.CheckAccessControls,<clinit>,48
128,com.google.javascript.jscomp.CheckAccessControls,<clinit>,52
128,com.google.javascript.jscomp.CheckAccessControls,<clinit>,56
128,com.google.javascript.jscomp.CheckAccessControls,<clinit>,60
128,com.google.javascript.jscomp.CheckAccessControls,<clinit>,64
