bug,class,method,line
131,com.google.javascript.jscomp.AbstractCompiler,<clinit>,36
131,com.google.javascript.jscomp.AbstractCompiler,<init>,35
131,com.google.javascript.jscomp.AbstractCompiler,<init>,39
131,com.google.javascript.jscomp.AbstractCompiler,<init>,264
131,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,264
131,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,265
131,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,268
131,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,273
131,com.google.javascript.jscomp.AbstractMessageFormatter,<clinit>,47
131,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,32
131,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,33
131,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,34
131,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,37
131,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,38
131,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,23
131,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,26
131,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,34
131,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,42
131,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,47
131,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,48
131,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,49
131,com.google.javascript.jscomp.BasicErrorManager,<init>,37
131,com.google.javascript.jscomp.BasicErrorManager,<init>,38
131,com.google.javascript.jscomp.BasicErrorManager,<init>,40
131,com.google.javascript.jscomp.BasicErrorManager,<init>,41
131,com.google.javascript.jscomp.BasicErrorManager,<init>,42
131,com.google.javascript.jscomp.BasicErrorManager,<init>,173
131,com.google.javascript.jscomp.BasicErrorManager,getErrorCount,73
131,com.google.javascript.jscomp.BasicErrorManager,getErrors,81
131,com.google.javascript.jscomp.BasicErrorManager,getWarningCount,77
131,com.google.javascript.jscomp.BasicErrorManager,getWarnings,85
131,com.google.javascript.jscomp.BasicErrorManager,toArray,97
131,com.google.javascript.jscomp.BasicErrorManager,toArray,98
131,com.google.javascript.jscomp.BasicErrorManager,toArray,103
131,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,115
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,52
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,56
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,60
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,64
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,68
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,72
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,76
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,81
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,86
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,91
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,96
131,com.google.javascript.jscomp.CheckAccessControls,<clinit>,101
131,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,39
131,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,43
131,com.google.javascript.jscomp.CheckLevel,<clinit>,24
131,com.google.javascript.jscomp.CheckLevel,<clinit>,25
131,com.google.javascript.jscomp.CheckLevel,<clinit>,26
131,com.google.javascript.jscomp.CheckLevel,<clinit>,27
131,com.google.javascript.jscomp.CheckLevel,isOn,30
131,com.google.javascript.jscomp.CheckRegExp,<clinit>,30
131,com.google.javascript.jscomp.CheckSideEffects,<clinit>,37
131,com.google.javascript.jscomp.CheckUnreachableCode,<clinit>,36
131,com.google.javascript.jscomp.ClosureCodingConvention,<clinit>,44
131,com.google.javascript.jscomp.ClosureCodingConvention,<init>,38
131,com.google.javascript.jscomp.ClosureCodingConvention,<init>,294
131,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,<init>,35
131,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,<init>,36
131,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,hasCodeChanged,43
131,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,reportChange,39
131,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,reportChange,40
131,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,reset,47
131,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,reset,48
131,com.google.javascript.jscomp.CodeConsumer,<init>,29
131,com.google.javascript.jscomp.CodeConsumer,<init>,30
131,com.google.javascript.jscomp.CodeConsumer,<init>,31
131,com.google.javascript.jscomp.CodeConsumer,<init>,32
131,com.google.javascript.jscomp.CodeConsumer,add,182
131,com.google.javascript.jscomp.CodeConsumer,add,184
131,com.google.javascript.jscomp.CodeConsumer,add,188
131,com.google.javascript.jscomp.CodeConsumer,add,189
131,com.google.javascript.jscomp.CodeConsumer,add,196
131,com.google.javascript.jscomp.CodeConsumer,add,197
131,com.google.javascript.jscomp.CodeConsumer,addIdentifier,62
131,com.google.javascript.jscomp.CodeConsumer,addIdentifier,63
131,com.google.javascript.jscomp.CodeConsumer,addNumber,236
131,com.google.javascript.jscomp.CodeConsumer,addNumber,237
131,com.google.javascript.jscomp.CodeConsumer,addNumber,241
131,com.google.javascript.jscomp.CodeConsumer,addNumber,242
131,com.google.javascript.jscomp.CodeConsumer,addNumber,243
131,com.google.javascript.jscomp.CodeConsumer,addNumber,244
131,com.google.javascript.jscomp.CodeConsumer,addNumber,245
131,com.google.javascript.jscomp.CodeConsumer,addNumber,251
131,com.google.javascript.jscomp.CodeConsumer,addNumber,254
131,com.google.javascript.jscomp.CodeConsumer,addNumber,256
131,com.google.javascript.jscomp.CodeConsumer,addNumber,259
131,com.google.javascript.jscomp.CodeConsumer,addOp,204
131,com.google.javascript.jscomp.CodeConsumer,addOp,206
131,com.google.javascript.jscomp.CodeConsumer,addOp,207
131,com.google.javascript.jscomp.CodeConsumer,addOp,209
131,com.google.javascript.jscomp.CodeConsumer,addOp,213
131,com.google.javascript.jscomp.CodeConsumer,addOp,217
131,com.google.javascript.jscomp.CodeConsumer,addOp,223
131,com.google.javascript.jscomp.CodeConsumer,addOp,228
131,com.google.javascript.jscomp.CodeConsumer,addOp,229
131,com.google.javascript.jscomp.CodeConsumer,addOp,231
131,com.google.javascript.jscomp.CodeConsumer,appendOp,200
131,com.google.javascript.jscomp.CodeConsumer,appendOp,201
131,com.google.javascript.jscomp.CodeConsumer,continueProcessing,53
131,com.google.javascript.jscomp.CodeConsumer,endFile,287
131,com.google.javascript.jscomp.CodeConsumer,endStatement,135
131,com.google.javascript.jscomp.CodeConsumer,endStatement,136
131,com.google.javascript.jscomp.CodeConsumer,endStatement,139
131,com.google.javascript.jscomp.CodeConsumer,endStatement,143
131,com.google.javascript.jscomp.CodeConsumer,endStatement,144
131,com.google.javascript.jscomp.CodeConsumer,endStatement,146
131,com.google.javascript.jscomp.CodeConsumer,isWordChar,262
131,com.google.javascript.jscomp.CodeConsumer,maybeEndStatement,154
131,com.google.javascript.jscomp.CodeConsumer,maybeEndStatement,160
131,com.google.javascript.jscomp.CodeConsumer,maybeEndStatement,161
131,com.google.javascript.jscomp.CodeGenerator,<clinit>,37
131,com.google.javascript.jscomp.CodeGenerator,<init>,46
131,com.google.javascript.jscomp.CodeGenerator,<init>,47
131,com.google.javascript.jscomp.CodeGenerator,<init>,48
131,com.google.javascript.jscomp.CodeGenerator,<init>,53
131,com.google.javascript.jscomp.CodeGenerator,<init>,57
131,com.google.javascript.jscomp.CodeGenerator,add,79
131,com.google.javascript.jscomp.CodeGenerator,add,80
131,com.google.javascript.jscomp.CodeGenerator,add,83
131,com.google.javascript.jscomp.CodeGenerator,add,87
131,com.google.javascript.jscomp.CodeGenerator,add,88
131,com.google.javascript.jscomp.CodeGenerator,add,89
131,com.google.javascript.jscomp.CodeGenerator,add,90
131,com.google.javascript.jscomp.CodeGenerator,add,91
131,com.google.javascript.jscomp.CodeGenerator,add,94
131,com.google.javascript.jscomp.CodeGenerator,add,95
131,com.google.javascript.jscomp.CodeGenerator,add,99
131,com.google.javascript.jscomp.CodeGenerator,add,100
131,com.google.javascript.jscomp.CodeGenerator,add,101
131,com.google.javascript.jscomp.CodeGenerator,add,105
131,com.google.javascript.jscomp.CodeGenerator,add,110
131,com.google.javascript.jscomp.CodeGenerator,add,113
131,com.google.javascript.jscomp.CodeGenerator,add,117
131,com.google.javascript.jscomp.CodeGenerator,add,119
131,com.google.javascript.jscomp.CodeGenerator,add,122
131,com.google.javascript.jscomp.CodeGenerator,add,124
131,com.google.javascript.jscomp.CodeGenerator,add,188
131,com.google.javascript.jscomp.CodeGenerator,add,189
131,com.google.javascript.jscomp.CodeGenerator,add,222
131,com.google.javascript.jscomp.CodeGenerator,add,226
131,com.google.javascript.jscomp.CodeGenerator,add,227
131,com.google.javascript.jscomp.CodeGenerator,add,358
131,com.google.javascript.jscomp.CodeGenerator,add,361
131,com.google.javascript.jscomp.CodeGenerator,add,362
131,com.google.javascript.jscomp.CodeGenerator,add,366
131,com.google.javascript.jscomp.CodeGenerator,add,372
131,com.google.javascript.jscomp.CodeGenerator,add,373
131,com.google.javascript.jscomp.CodeGenerator,add,376
131,com.google.javascript.jscomp.CodeGenerator,add,380
131,com.google.javascript.jscomp.CodeGenerator,add,386
131,com.google.javascript.jscomp.CodeGenerator,add,387
131,com.google.javascript.jscomp.CodeGenerator,add,390
131,com.google.javascript.jscomp.CodeGenerator,add,447
131,com.google.javascript.jscomp.CodeGenerator,add,450
131,com.google.javascript.jscomp.CodeGenerator,add,453
131,com.google.javascript.jscomp.CodeGenerator,add,454
131,com.google.javascript.jscomp.CodeGenerator,add,457
131,com.google.javascript.jscomp.CodeGenerator,add,458
131,com.google.javascript.jscomp.CodeGenerator,add,461
131,com.google.javascript.jscomp.CodeGenerator,add,462
131,com.google.javascript.jscomp.CodeGenerator,add,463
131,com.google.javascript.jscomp.CodeGenerator,add,467
131,com.google.javascript.jscomp.CodeGenerator,add,470
131,com.google.javascript.jscomp.CodeGenerator,add,471
131,com.google.javascript.jscomp.CodeGenerator,add,472
131,com.google.javascript.jscomp.CodeGenerator,add,473
131,com.google.javascript.jscomp.CodeGenerator,add,474
131,com.google.javascript.jscomp.CodeGenerator,add,512
131,com.google.javascript.jscomp.CodeGenerator,add,518
131,com.google.javascript.jscomp.CodeGenerator,add,520
131,com.google.javascript.jscomp.CodeGenerator,add,521
131,com.google.javascript.jscomp.CodeGenerator,add,522
131,com.google.javascript.jscomp.CodeGenerator,add,523
131,com.google.javascript.jscomp.CodeGenerator,add,597
131,com.google.javascript.jscomp.CodeGenerator,add,598
131,com.google.javascript.jscomp.CodeGenerator,add,599
131,com.google.javascript.jscomp.CodeGenerator,add,600
131,com.google.javascript.jscomp.CodeGenerator,add,624
131,com.google.javascript.jscomp.CodeGenerator,add,630
131,com.google.javascript.jscomp.CodeGenerator,add,631
131,com.google.javascript.jscomp.CodeGenerator,add,719
131,com.google.javascript.jscomp.CodeGenerator,add,720
131,com.google.javascript.jscomp.CodeGenerator,add,71
131,com.google.javascript.jscomp.CodeGenerator,add,72
131,com.google.javascript.jscomp.CodeGenerator,addExpr,839
131,com.google.javascript.jscomp.CodeGenerator,addExpr,846
131,com.google.javascript.jscomp.CodeGenerator,addExpr,848
131,com.google.javascript.jscomp.CodeGenerator,addIdentifier,75
131,com.google.javascript.jscomp.CodeGenerator,addIdentifier,76
131,com.google.javascript.jscomp.CodeGenerator,addLeftExpr,831
131,com.google.javascript.jscomp.CodeGenerator,addLeftExpr,832
131,com.google.javascript.jscomp.CodeGenerator,addList,851
131,com.google.javascript.jscomp.CodeGenerator,addList,852
131,com.google.javascript.jscomp.CodeGenerator,addList,860
131,com.google.javascript.jscomp.CodeGenerator,addList,869
131,com.google.javascript.jscomp.CodeGenerator,appendHexJavaScriptRepresentation,1152
131,com.google.javascript.jscomp.CodeGenerator,appendHexJavaScriptRepresentation,1162
131,com.google.javascript.jscomp.CodeGenerator,appendHexJavaScriptRepresentation,1167
131,com.google.javascript.jscomp.CodeGenerator,appendHexJavaScriptRepresentation,1135
131,com.google.javascript.jscomp.CodeGenerator,appendHexJavaScriptRepresentation,1139
131,com.google.javascript.jscomp.CodeGenerator,appendHexJavaScriptRepresentation,1140
131,com.google.javascript.jscomp.CodeGenerator,getContextForNoInOperator,1114
131,com.google.javascript.jscomp.CodeGenerator,identifierEscape,1037
131,com.google.javascript.jscomp.CodeGenerator,identifierEscape,1038
131,com.google.javascript.jscomp.CodeGenerator,isIndirectEval,726
131,com.google.javascript.jscomp.CodeGenerator,jsString,916
131,com.google.javascript.jscomp.CodeGenerator,jsString,919
131,com.google.javascript.jscomp.CodeGenerator,jsString,920
131,com.google.javascript.jscomp.CodeGenerator,jsString,928
131,com.google.javascript.jscomp.CodeGenerator,jsString,935
131,com.google.javascript.jscomp.CodeGenerator,jsString,936
131,com.google.javascript.jscomp.CodeGenerator,jsString,937
131,com.google.javascript.jscomp.CodeGenerator,jsString,940
131,com.google.javascript.jscomp.CodeGenerator,strEscape,969
131,com.google.javascript.jscomp.CodeGenerator,strEscape,970
131,com.google.javascript.jscomp.CodeGenerator,strEscape,971
131,com.google.javascript.jscomp.CodeGenerator,strEscape,972
131,com.google.javascript.jscomp.CodeGenerator,strEscape,973
131,com.google.javascript.jscomp.CodeGenerator,strEscape,1009
131,com.google.javascript.jscomp.CodeGenerator,strEscape,1020
131,com.google.javascript.jscomp.CodeGenerator,strEscape,1021
131,com.google.javascript.jscomp.CodeGenerator,strEscape,1026
131,com.google.javascript.jscomp.CodeGenerator,strEscape,1031
131,com.google.javascript.jscomp.CodeGenerator,strEscape,1032
131,com.google.javascript.jscomp.CodeGenerator$Context,<clinit>,1092
131,com.google.javascript.jscomp.CodeGenerator$Context,<clinit>,1093
131,com.google.javascript.jscomp.CodeGenerator$Context,<clinit>,1094
131,com.google.javascript.jscomp.CodeGenerator$Context,<clinit>,1095
131,com.google.javascript.jscomp.CodeGenerator$Context,<clinit>,1096
131,com.google.javascript.jscomp.CodeGenerator$Context,<clinit>,1100
131,com.google.javascript.jscomp.CodeGenerator$Context,<clinit>,1101
131,com.google.javascript.jscomp.CodePrinter,access$100,35
131,com.google.javascript.jscomp.CodePrinter,toSource,614
131,com.google.javascript.jscomp.CodePrinter,toSource,616
131,com.google.javascript.jscomp.CodePrinter,toSource,617
131,com.google.javascript.jscomp.CodePrinter,toSource,624
131,com.google.javascript.jscomp.CodePrinter,toSource,629
131,com.google.javascript.jscomp.CodePrinter,toSource,633
131,com.google.javascript.jscomp.CodePrinter,toSource,634
131,com.google.javascript.jscomp.CodePrinter,toSource,636
131,com.google.javascript.jscomp.CodePrinter,toSource,638
131,com.google.javascript.jscomp.CodePrinter,toSource,642
131,com.google.javascript.jscomp.CodePrinter$Builder,<init>,484
131,com.google.javascript.jscomp.CodePrinter$Builder,<init>,485
131,com.google.javascript.jscomp.CodePrinter$Builder,<init>,486
131,com.google.javascript.jscomp.CodePrinter$Builder,<init>,487
131,com.google.javascript.jscomp.CodePrinter$Builder,<init>,488
131,com.google.javascript.jscomp.CodePrinter$Builder,<init>,489
131,com.google.javascript.jscomp.CodePrinter$Builder,<init>,493
131,com.google.javascript.jscomp.CodePrinter$Builder,<init>,500
131,com.google.javascript.jscomp.CodePrinter$Builder,<init>,501
131,com.google.javascript.jscomp.CodePrinter$Builder,<init>,502
131,com.google.javascript.jscomp.CodePrinter$Builder,build,583
131,com.google.javascript.jscomp.CodePrinter$Builder,build,588
131,com.google.javascript.jscomp.CodePrinter$Builder,build,594
131,com.google.javascript.jscomp.CodePrinter$Builder,setLineBreak,518
131,com.google.javascript.jscomp.CodePrinter$Builder,setLineBreak,519
131,com.google.javascript.jscomp.CodePrinter$Builder,setOutputCharset,567
131,com.google.javascript.jscomp.CodePrinter$Builder,setOutputCharset,568
131,com.google.javascript.jscomp.CodePrinter$Builder,setPrettyPrint,509
131,com.google.javascript.jscomp.CodePrinter$Builder,setPrettyPrint,510
131,com.google.javascript.jscomp.CodePrinter$Builder,setSourceMap,549
131,com.google.javascript.jscomp.CodePrinter$Builder,setSourceMap,550
131,com.google.javascript.jscomp.CodePrinter$Builder,setSourceMapDetailLevel,557
131,com.google.javascript.jscomp.CodePrinter$Builder,setSourceMapDetailLevel,558
131,com.google.javascript.jscomp.CodePrinter$Builder,setSourceMapDetailLevel,559
131,com.google.javascript.jscomp.CodePrinter$Builder,setTagAsStrict,575
131,com.google.javascript.jscomp.CodePrinter$Builder,setTagAsStrict,576
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,<init>,392
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,<init>,393
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,<init>,406
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,<init>,407
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,<init>,408
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,<init>,378
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,append,415
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,append,416
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,append,417
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,maybeCutLine,460
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,maybeCutLine,474
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,notePreferredLineBreak,478
131,com.google.javascript.jscomp.CodePrinter$CompactCodePrinter,notePreferredLineBreak,479
