bug,class,method,line
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,27
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,28
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,29
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,30
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,31
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,32
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,33
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,34
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,35
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,36
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,37
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,38
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,39
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,40
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,41
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,42
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,43
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,44
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,45
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,46
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,47
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,48
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,49
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,50
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,51
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,52
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,53
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,54
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,55
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,56
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,57
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,58
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,59
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,60
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,61
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,62
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,63
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,64
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,65
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,66
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,67
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,68
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,69
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,70
133,com.google.javascript.jscomp.parsing.Annotation,<clinit>,72
133,com.google.javascript.jscomp.parsing.Config,<init>,75
133,com.google.javascript.jscomp.parsing.Config,<init>,76
