bug,class,method,line
17,com.google.javascript.jscomp.AbstractCompiler,<clinit>,36
17,com.google.javascript.jscomp.AbstractCompiler,<init>,35
17,com.google.javascript.jscomp.AbstractCompiler,<init>,39
17,com.google.javascript.jscomp.AbstractCompiler,<init>,264
17,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,264
17,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,265
17,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,268
17,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,273
17,com.google.javascript.jscomp.AbstractMessageFormatter,<clinit>,47
17,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,32
17,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,33
17,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,34
17,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,37
17,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,38
17,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,23
17,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,26
17,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,34
17,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,42
17,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,47
17,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,48
17,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,49
17,com.google.javascript.jscomp.BasicErrorManager,<init>,37
17,com.google.javascript.jscomp.BasicErrorManager,<init>,38
17,com.google.javascript.jscomp.BasicErrorManager,<init>,40
17,com.google.javascript.jscomp.BasicErrorManager,<init>,41
17,com.google.javascript.jscomp.BasicErrorManager,<init>,42
17,com.google.javascript.jscomp.BasicErrorManager,<init>,173
17,com.google.javascript.jscomp.BasicErrorManager,getErrorCount,73
17,com.google.javascript.jscomp.BasicErrorManager,getErrors,81
17,com.google.javascript.jscomp.BasicErrorManager,getWarnings,85
17,com.google.javascript.jscomp.BasicErrorManager,report,45
17,com.google.javascript.jscomp.BasicErrorManager,report,46
17,com.google.javascript.jscomp.BasicErrorManager,report,48
17,com.google.javascript.jscomp.BasicErrorManager,report,49
17,com.google.javascript.jscomp.BasicErrorManager,report,52
17,com.google.javascript.jscomp.BasicErrorManager,toArray,97
17,com.google.javascript.jscomp.BasicErrorManager,toArray,98
17,com.google.javascript.jscomp.BasicErrorManager,toArray,99
17,com.google.javascript.jscomp.BasicErrorManager,toArray,100
17,com.google.javascript.jscomp.BasicErrorManager,toArray,102
17,com.google.javascript.jscomp.BasicErrorManager,toArray,103
17,com.google.javascript.jscomp.BasicErrorManager$ErrorWithLevel,<init>,177
17,com.google.javascript.jscomp.BasicErrorManager$ErrorWithLevel,<init>,178
17,com.google.javascript.jscomp.BasicErrorManager$ErrorWithLevel,<init>,179
17,com.google.javascript.jscomp.BasicErrorManager$ErrorWithLevel,<init>,180
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,122
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,131
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,136
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,137
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,138
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,139
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,140
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,143
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,149
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,150
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,151
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,153
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,155
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,159
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,160
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,161
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,163
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,165
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,169
17,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,115
17,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,61
17,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,62
17,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,63
17,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,64
17,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,65
17,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,66
17,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,67
17,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,179
17,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,244
17,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter$1,caseNoType,180
17,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter$2,caseNoType,245
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,52
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,56
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,60
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,64
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,68
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,72
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,76
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,81
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,86
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,91
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,96
17,com.google.javascript.jscomp.CheckAccessControls,<clinit>,101
17,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,39
17,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,43
17,com.google.javascript.jscomp.CheckLevel,<clinit>,24
17,com.google.javascript.jscomp.CheckLevel,<clinit>,25
17,com.google.javascript.jscomp.CheckLevel,<clinit>,26
17,com.google.javascript.jscomp.CheckLevel,<clinit>,27
17,com.google.javascript.jscomp.CheckLevel,isOn,30
17,com.google.javascript.jscomp.CheckRegExp,<clinit>,30
17,com.google.javascript.jscomp.CheckSideEffects,<clinit>,37
17,com.google.javascript.jscomp.CheckUnreachableCode,<clinit>,36
17,com.google.javascript.jscomp.ClosureCodingConvention,<clinit>,44
17,com.google.javascript.jscomp.ClosureCodingConvention,<init>,38
17,com.google.javascript.jscomp.ClosureCodingConvention,<init>,294
17,com.google.javascript.jscomp.ClosureCodingConvention,getAssertionFunctions,349
17,com.google.javascript.jscomp.ClosureCodingConvention,getClassesDefinedByCall,71
17,com.google.javascript.jscomp.ClosureCodingConvention,getClassesDefinedByCall,72
17,com.google.javascript.jscomp.ClosureCodingConvention,getClassesDefinedByCall,73
17,com.google.javascript.jscomp.ClosureCodingConvention,getClassesDefinedByCall,121
17,com.google.javascript.jscomp.ClosureCodingConvention,getObjectLiteralCast,309
17,com.google.javascript.jscomp.ClosureCodingConvention,getObjectLiteralCast,310
17,com.google.javascript.jscomp.ClosureCodingConvention,getObjectLiteralCast,311
17,com.google.javascript.jscomp.ClosureCodingConvention,getObjectLiteralCast,313
