bug,class,method,line
48,com.google.javascript.jscomp.AbstractCompiler,<clinit>,36
48,com.google.javascript.jscomp.AbstractCompiler,<init>,35
48,com.google.javascript.jscomp.AbstractMessageFormatter,<clinit>,47
48,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,32
48,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,33
48,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,34
48,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,37
48,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,38
48,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,23
48,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,26
48,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,34
48,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,42
48,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,47
48,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,48
48,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,49
48,com.google.javascript.jscomp.BasicErrorManager,<init>,37
48,com.google.javascript.jscomp.BasicErrorManager,<init>,38
48,com.google.javascript.jscomp.BasicErrorManager,<init>,40
48,com.google.javascript.jscomp.BasicErrorManager,<init>,41
48,com.google.javascript.jscomp.BasicErrorManager,<init>,42
48,com.google.javascript.jscomp.BasicErrorManager,<init>,173
48,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,115
48,com.google.javascript.jscomp.CheckAccessControls,<clinit>,50
48,com.google.javascript.jscomp.CheckAccessControls,<clinit>,54
48,com.google.javascript.jscomp.CheckAccessControls,<clinit>,58
48,com.google.javascript.jscomp.CheckAccessControls,<clinit>,62
48,com.google.javascript.jscomp.CheckAccessControls,<clinit>,66
48,com.google.javascript.jscomp.CheckAccessControls,<clinit>,70
48,com.google.javascript.jscomp.CheckAccessControls,<clinit>,74
48,com.google.javascript.jscomp.CheckAccessControls,<clinit>,79
48,com.google.javascript.jscomp.CheckAccessControls,<clinit>,84
48,com.google.javascript.jscomp.CheckAccessControls,<clinit>,89
48,com.google.javascript.jscomp.CheckAccessControls,<clinit>,94
48,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,39
48,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,43
48,com.google.javascript.jscomp.CheckLevel,<clinit>,24
48,com.google.javascript.jscomp.CheckLevel,<clinit>,25
48,com.google.javascript.jscomp.CheckLevel,<clinit>,26
48,com.google.javascript.jscomp.CheckLevel,<clinit>,27
48,com.google.javascript.jscomp.CheckLevel,isOn,30
48,com.google.javascript.jscomp.CheckRegExp,<clinit>,30
48,com.google.javascript.jscomp.ClosureCodingConvention,<clinit>,44
48,com.google.javascript.jscomp.ClosureCodingConvention,<init>,38
48,com.google.javascript.jscomp.ClosureCodingConvention,<init>,284
48,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,<init>,35
48,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,<init>,36
48,com.google.javascript.jscomp.Compiler,<init>,171
48,com.google.javascript.jscomp.Compiler,<init>,172
48,com.google.javascript.jscomp.Compiler,<init>,64
48,com.google.javascript.jscomp.Compiler,<init>,66
48,com.google.javascript.jscomp.Compiler,<init>,98
48,com.google.javascript.jscomp.Compiler,<init>,104
48,com.google.javascript.jscomp.Compiler,<init>,110
48,com.google.javascript.jscomp.Compiler,<init>,113
48,com.google.javascript.jscomp.Compiler,<init>,119
48,com.google.javascript.jscomp.Compiler,<init>,125
48,com.google.javascript.jscomp.Compiler,<init>,128
48,com.google.javascript.jscomp.Compiler,<init>,131
48,com.google.javascript.jscomp.Compiler,<init>,139
48,com.google.javascript.jscomp.Compiler,<init>,143
48,com.google.javascript.jscomp.Compiler,<init>,178
48,com.google.javascript.jscomp.Compiler,<init>,179
48,com.google.javascript.jscomp.Compiler,<init>,180
48,com.google.javascript.jscomp.Compiler,<init>,181
48,com.google.javascript.jscomp.Compiler,<init>,729
48,com.google.javascript.jscomp.Compiler,<init>,788
48,com.google.javascript.jscomp.Compiler,<init>,789
48,com.google.javascript.jscomp.Compiler,<init>,1544
48,com.google.javascript.jscomp.Compiler,<init>,1546
48,com.google.javascript.jscomp.Compiler,createMessageFormatter,207
48,com.google.javascript.jscomp.Compiler,createMessageFormatter,208
48,com.google.javascript.jscomp.Compiler,getTypeRegistry,972
48,com.google.javascript.jscomp.Compiler,getTypeRegistry,973
48,com.google.javascript.jscomp.Compiler,getTypeRegistry,975
48,com.google.javascript.jscomp.Compiler,getTypeValidator,1006
48,com.google.javascript.jscomp.Compiler,getTypeValidator,1007
48,com.google.javascript.jscomp.Compiler,getTypeValidator,1009
48,com.google.javascript.jscomp.Compiler,initOptions,216
48,com.google.javascript.jscomp.Compiler,initOptions,217
48,com.google.javascript.jscomp.Compiler,initOptions,218
48,com.google.javascript.jscomp.Compiler,initOptions,219
48,com.google.javascript.jscomp.Compiler,initOptions,230
48,com.google.javascript.jscomp.Compiler,initOptions,231
48,com.google.javascript.jscomp.Compiler,initOptions,234
48,com.google.javascript.jscomp.Compiler,initOptions,235
48,com.google.javascript.jscomp.Compiler,initOptions,236
48,com.google.javascript.jscomp.Compiler,initOptions,244
48,com.google.javascript.jscomp.Compiler,initOptions,247
48,com.google.javascript.jscomp.Compiler,initOptions,250
48,com.google.javascript.jscomp.Compiler,initOptions,251
48,com.google.javascript.jscomp.Compiler,setErrorManager,197
48,com.google.javascript.jscomp.Compiler,setErrorManager,199
48,com.google.javascript.jscomp.Compiler,setErrorManager,200
48,com.google.javascript.jscomp.Compiler$3,<init>,730
48,com.google.javascript.jscomp.CompilerOptions,<init>,74
48,com.google.javascript.jscomp.CompilerOptions,<init>,78
48,com.google.javascript.jscomp.CompilerOptions,<init>,542
48,com.google.javascript.jscomp.CompilerOptions,<init>,557
48,com.google.javascript.jscomp.CompilerOptions,<init>,586
48,com.google.javascript.jscomp.CompilerOptions,<init>,590
48,com.google.javascript.jscomp.CompilerOptions,<init>,610
48,com.google.javascript.jscomp.CompilerOptions,<init>,612
48,com.google.javascript.jscomp.CompilerOptions,<init>,613
48,com.google.javascript.jscomp.CompilerOptions,<init>,614
48,com.google.javascript.jscomp.CompilerOptions,<init>,615
48,com.google.javascript.jscomp.CompilerOptions,<init>,616
48,com.google.javascript.jscomp.CompilerOptions,<init>,617
48,com.google.javascript.jscomp.CompilerOptions,<init>,618
48,com.google.javascript.jscomp.CompilerOptions,<init>,619
48,com.google.javascript.jscomp.CompilerOptions,<init>,620
48,com.google.javascript.jscomp.CompilerOptions,<init>,621
48,com.google.javascript.jscomp.CompilerOptions,<init>,622
48,com.google.javascript.jscomp.CompilerOptions,<init>,623
48,com.google.javascript.jscomp.CompilerOptions,<init>,624
48,com.google.javascript.jscomp.CompilerOptions,<init>,625
48,com.google.javascript.jscomp.CompilerOptions,<init>,626
48,com.google.javascript.jscomp.CompilerOptions,<init>,627
48,com.google.javascript.jscomp.CompilerOptions,<init>,628
48,com.google.javascript.jscomp.CompilerOptions,<init>,629
48,com.google.javascript.jscomp.CompilerOptions,<init>,630
48,com.google.javascript.jscomp.CompilerOptions,<init>,631
48,com.google.javascript.jscomp.CompilerOptions,<init>,632
48,com.google.javascript.jscomp.CompilerOptions,<init>,633
48,com.google.javascript.jscomp.CompilerOptions,<init>,634
48,com.google.javascript.jscomp.CompilerOptions,<init>,635
48,com.google.javascript.jscomp.CompilerOptions,<init>,636
48,com.google.javascript.jscomp.CompilerOptions,<init>,637
48,com.google.javascript.jscomp.CompilerOptions,<init>,638
48,com.google.javascript.jscomp.CompilerOptions,<init>,639
48,com.google.javascript.jscomp.CompilerOptions,<init>,640
48,com.google.javascript.jscomp.CompilerOptions,<init>,641
48,com.google.javascript.jscomp.CompilerOptions,<init>,642
48,com.google.javascript.jscomp.CompilerOptions,<init>,643
48,com.google.javascript.jscomp.CompilerOptions,<init>,644
48,com.google.javascript.jscomp.CompilerOptions,<init>,645
48,com.google.javascript.jscomp.CompilerOptions,<init>,648
48,com.google.javascript.jscomp.CompilerOptions,<init>,649
48,com.google.javascript.jscomp.CompilerOptions,<init>,650
48,com.google.javascript.jscomp.CompilerOptions,<init>,651
48,com.google.javascript.jscomp.CompilerOptions,<init>,652
48,com.google.javascript.jscomp.CompilerOptions,<init>,653
48,com.google.javascript.jscomp.CompilerOptions,<init>,654
48,com.google.javascript.jscomp.CompilerOptions,<init>,655
48,com.google.javascript.jscomp.CompilerOptions,<init>,656
48,com.google.javascript.jscomp.CompilerOptions,<init>,657
48,com.google.javascript.jscomp.CompilerOptions,<init>,658
48,com.google.javascript.jscomp.CompilerOptions,<init>,659
48,com.google.javascript.jscomp.CompilerOptions,<init>,660
48,com.google.javascript.jscomp.CompilerOptions,<init>,661
48,com.google.javascript.jscomp.CompilerOptions,<init>,662
48,com.google.javascript.jscomp.CompilerOptions,<init>,663
48,com.google.javascript.jscomp.CompilerOptions,<init>,664
48,com.google.javascript.jscomp.CompilerOptions,<init>,665
48,com.google.javascript.jscomp.CompilerOptions,<init>,666
48,com.google.javascript.jscomp.CompilerOptions,<init>,667
48,com.google.javascript.jscomp.CompilerOptions,<init>,668
48,com.google.javascript.jscomp.CompilerOptions,<init>,669
48,com.google.javascript.jscomp.CompilerOptions,<init>,670
48,com.google.javascript.jscomp.CompilerOptions,<init>,671
48,com.google.javascript.jscomp.CompilerOptions,<init>,672
48,com.google.javascript.jscomp.CompilerOptions,<init>,673
48,com.google.javascript.jscomp.CompilerOptions,<init>,674
48,com.google.javascript.jscomp.CompilerOptions,<init>,675
48,com.google.javascript.jscomp.CompilerOptions,<init>,676
48,com.google.javascript.jscomp.CompilerOptions,<init>,677
48,com.google.javascript.jscomp.CompilerOptions,<init>,680
48,com.google.javascript.jscomp.CompilerOptions,<init>,681
48,com.google.javascript.jscomp.CompilerOptions,<init>,682
48,com.google.javascript.jscomp.CompilerOptions,<init>,683
48,com.google.javascript.jscomp.CompilerOptions,<init>,684
48,com.google.javascript.jscomp.CompilerOptions,<init>,685
48,com.google.javascript.jscomp.CompilerOptions,<init>,686
48,com.google.javascript.jscomp.CompilerOptions,<init>,687
48,com.google.javascript.jscomp.CompilerOptions,<init>,688
48,com.google.javascript.jscomp.CompilerOptions,<init>,689
48,com.google.javascript.jscomp.CompilerOptions,<init>,690
48,com.google.javascript.jscomp.CompilerOptions,<init>,691
48,com.google.javascript.jscomp.CompilerOptions,<init>,692
48,com.google.javascript.jscomp.CompilerOptions,<init>,695
48,com.google.javascript.jscomp.CompilerOptions,<init>,696
48,com.google.javascript.jscomp.CompilerOptions,<init>,697
48,com.google.javascript.jscomp.CompilerOptions,<init>,698
48,com.google.javascript.jscomp.CompilerOptions,<init>,699
48,com.google.javascript.jscomp.CompilerOptions,<init>,700
48,com.google.javascript.jscomp.CompilerOptions,<init>,701
48,com.google.javascript.jscomp.CompilerOptions,<init>,702
48,com.google.javascript.jscomp.CompilerOptions,<init>,703
