bug,class,method,line
52,com.google.javascript.jscomp.CodeConsumer,<init>,29
52,com.google.javascript.jscomp.CodeConsumer,<init>,30
52,com.google.javascript.jscomp.CodeConsumer,<init>,31
52,com.google.javascript.jscomp.CodeConsumer,<init>,32
52,com.google.javascript.jscomp.CodeConsumer,add,182
52,com.google.javascript.jscomp.CodeConsumer,add,184
52,com.google.javascript.jscomp.CodeConsumer,add,188
52,com.google.javascript.jscomp.CodeConsumer,add,189
52,com.google.javascript.jscomp.CodeConsumer,add,196
52,com.google.javascript.jscomp.CodeConsumer,add,197
52,com.google.javascript.jscomp.CodeConsumer,addIdentifier,62
52,com.google.javascript.jscomp.CodeConsumer,addIdentifier,63
52,com.google.javascript.jscomp.CodeConsumer,appendBlockEnd,81
52,com.google.javascript.jscomp.CodeConsumer,appendBlockEnd,82
52,com.google.javascript.jscomp.CodeConsumer,appendBlockStart,77
52,com.google.javascript.jscomp.CodeConsumer,appendBlockStart,78
52,com.google.javascript.jscomp.CodeConsumer,beginBlock,101
52,com.google.javascript.jscomp.CodeConsumer,beginBlock,105
52,com.google.javascript.jscomp.CodeConsumer,beginBlock,107
52,com.google.javascript.jscomp.CodeConsumer,beginBlock,108
52,com.google.javascript.jscomp.CodeConsumer,beginBlock,109
52,com.google.javascript.jscomp.CodeConsumer,continueProcessing,53
52,com.google.javascript.jscomp.CodeConsumer,endBlock,112
52,com.google.javascript.jscomp.CodeConsumer,endBlock,113
52,com.google.javascript.jscomp.CodeConsumer,endBlock,116
52,com.google.javascript.jscomp.CodeConsumer,endBlock,117
52,com.google.javascript.jscomp.CodeConsumer,endBlock,120
52,com.google.javascript.jscomp.CodeConsumer,endBlock,121
52,com.google.javascript.jscomp.CodeConsumer,endFile,287
52,com.google.javascript.jscomp.CodeConsumer,endLine,95
52,com.google.javascript.jscomp.CodeConsumer,endStatement,139
52,com.google.javascript.jscomp.CodeConsumer,endStatement,140
52,com.google.javascript.jscomp.CodeConsumer,endStatement,141
52,com.google.javascript.jscomp.CodeConsumer,endStatement,142
52,com.google.javascript.jscomp.CodeConsumer,endStatement,146
52,com.google.javascript.jscomp.CodeConsumer,isWordChar,262
52,com.google.javascript.jscomp.CodeConsumer,maybeEndStatement,154
52,com.google.javascript.jscomp.CodeConsumer,maybeEndStatement,160
52,com.google.javascript.jscomp.CodeConsumer,maybeEndStatement,161
52,com.google.javascript.jscomp.CodeConsumer,shouldPreserveExtraBlocks,276
52,com.google.javascript.jscomp.CodeGenerator,<clinit>,37
52,com.google.javascript.jscomp.CodeGenerator,<init>,46
52,com.google.javascript.jscomp.CodeGenerator,<init>,47
52,com.google.javascript.jscomp.CodeGenerator,<init>,48
52,com.google.javascript.jscomp.CodeGenerator,<init>,53
52,com.google.javascript.jscomp.CodeGenerator,<init>,57
52,com.google.javascript.jscomp.CodeGenerator,add,79
52,com.google.javascript.jscomp.CodeGenerator,add,80
52,com.google.javascript.jscomp.CodeGenerator,add,83
52,com.google.javascript.jscomp.CodeGenerator,add,87
52,com.google.javascript.jscomp.CodeGenerator,add,88
52,com.google.javascript.jscomp.CodeGenerator,add,89
52,com.google.javascript.jscomp.CodeGenerator,add,90
52,com.google.javascript.jscomp.CodeGenerator,add,91
52,com.google.javascript.jscomp.CodeGenerator,add,94
52,com.google.javascript.jscomp.CodeGenerator,add,122
52,com.google.javascript.jscomp.CodeGenerator,add,124
52,com.google.javascript.jscomp.CodeGenerator,add,188
52,com.google.javascript.jscomp.CodeGenerator,add,189
52,com.google.javascript.jscomp.CodeGenerator,add,526
52,com.google.javascript.jscomp.CodeGenerator,add,527
52,com.google.javascript.jscomp.CodeGenerator,add,529
52,com.google.javascript.jscomp.CodeGenerator,add,530
52,com.google.javascript.jscomp.CodeGenerator,add,533
52,com.google.javascript.jscomp.CodeGenerator,add,534
52,com.google.javascript.jscomp.CodeGenerator,add,535
52,com.google.javascript.jscomp.CodeGenerator,add,537
52,com.google.javascript.jscomp.CodeGenerator,add,538
52,com.google.javascript.jscomp.CodeGenerator,add,540
52,com.google.javascript.jscomp.CodeGenerator,add,541
52,com.google.javascript.jscomp.CodeGenerator,add,544
52,com.google.javascript.jscomp.CodeGenerator,add,545
52,com.google.javascript.jscomp.CodeGenerator,add,548
52,com.google.javascript.jscomp.CodeGenerator,add,549
52,com.google.javascript.jscomp.CodeGenerator,add,719
52,com.google.javascript.jscomp.CodeGenerator,add,720
52,com.google.javascript.jscomp.CodeGenerator,add,71
52,com.google.javascript.jscomp.CodeGenerator,add,72
