bug,class,method,line
52,com.google.javascript.jscomp.AbstractCompiler,<clinit>,36
52,com.google.javascript.jscomp.AbstractCompiler,<init>,35
52,com.google.javascript.jscomp.AbstractCompiler,<init>,39
52,com.google.javascript.jscomp.AbstractCompiler,<init>,264
52,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,264
52,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,265
52,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,268
52,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,273
52,com.google.javascript.jscomp.AbstractMessageFormatter,<clinit>,47
52,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,32
52,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,33
52,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,34
52,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,37
52,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,38
52,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,23
52,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,26
52,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,34
52,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,42
52,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,47
52,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,48
52,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,49
52,com.google.javascript.jscomp.BasicErrorManager,<init>,37
52,com.google.javascript.jscomp.BasicErrorManager,<init>,38
52,com.google.javascript.jscomp.BasicErrorManager,<init>,40
52,com.google.javascript.jscomp.BasicErrorManager,<init>,41
52,com.google.javascript.jscomp.BasicErrorManager,<init>,42
52,com.google.javascript.jscomp.BasicErrorManager,<init>,173
52,com.google.javascript.jscomp.BasicErrorManager,getErrorCount,73
52,com.google.javascript.jscomp.BasicErrorManager,getErrors,81
52,com.google.javascript.jscomp.BasicErrorManager,getWarnings,85
52,com.google.javascript.jscomp.BasicErrorManager,toArray,97
52,com.google.javascript.jscomp.BasicErrorManager,toArray,98
52,com.google.javascript.jscomp.BasicErrorManager,toArray,103
52,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,115
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,52
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,56
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,60
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,64
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,68
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,72
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,76
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,81
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,86
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,91
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,96
52,com.google.javascript.jscomp.CheckAccessControls,<clinit>,101
52,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,39
52,com.google.javascript.jscomp.CheckGlobalNames,<clinit>,43
52,com.google.javascript.jscomp.CheckGlobalThis,<clinit>,58
52,com.google.javascript.jscomp.CheckLevel,<clinit>,24
52,com.google.javascript.jscomp.CheckLevel,<clinit>,25
52,com.google.javascript.jscomp.CheckLevel,<clinit>,26
52,com.google.javascript.jscomp.CheckLevel,<clinit>,27
52,com.google.javascript.jscomp.CheckLevel,isOn,30
52,com.google.javascript.jscomp.CheckRegExp,<clinit>,30
52,com.google.javascript.jscomp.CheckSideEffects,<clinit>,37
52,com.google.javascript.jscomp.CheckUnreachableCode,<clinit>,36
52,com.google.javascript.jscomp.ClosureCodingConvention,<clinit>,44
52,com.google.javascript.jscomp.ClosureCodingConvention,<init>,38
52,com.google.javascript.jscomp.ClosureCodingConvention,<init>,293
52,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,<init>,35
52,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,<init>,36
52,com.google.javascript.jscomp.CodeChangeHandler$RecentChange,hasCodeChanged,43
52,com.google.javascript.jscomp.CodeConsumer,<init>,29
52,com.google.javascript.jscomp.CodeConsumer,<init>,30
52,com.google.javascript.jscomp.CodeConsumer,<init>,31
52,com.google.javascript.jscomp.CodeConsumer,<init>,32
52,com.google.javascript.jscomp.CodeConsumer,add,182
52,com.google.javascript.jscomp.CodeConsumer,add,184
52,com.google.javascript.jscomp.CodeConsumer,add,188
52,com.google.javascript.jscomp.CodeConsumer,add,189
52,com.google.javascript.jscomp.CodeConsumer,add,196
52,com.google.javascript.jscomp.CodeConsumer,add,197
52,com.google.javascript.jscomp.CodeConsumer,addIdentifier,62
52,com.google.javascript.jscomp.CodeConsumer,addIdentifier,63
52,com.google.javascript.jscomp.CodeConsumer,addNumber,236
52,com.google.javascript.jscomp.CodeConsumer,addNumber,237
52,com.google.javascript.jscomp.CodeConsumer,addNumber,241
52,com.google.javascript.jscomp.CodeConsumer,addNumber,242
52,com.google.javascript.jscomp.CodeConsumer,addNumber,243
52,com.google.javascript.jscomp.CodeConsumer,addNumber,244
52,com.google.javascript.jscomp.CodeConsumer,addNumber,245
52,com.google.javascript.jscomp.CodeConsumer,addNumber,251
52,com.google.javascript.jscomp.CodeConsumer,addNumber,254
52,com.google.javascript.jscomp.CodeConsumer,addNumber,256
52,com.google.javascript.jscomp.CodeConsumer,addNumber,259
52,com.google.javascript.jscomp.CodeConsumer,addOp,204
52,com.google.javascript.jscomp.CodeConsumer,addOp,206
52,com.google.javascript.jscomp.CodeConsumer,addOp,207
52,com.google.javascript.jscomp.CodeConsumer,addOp,209
52,com.google.javascript.jscomp.CodeConsumer,addOp,213
52,com.google.javascript.jscomp.CodeConsumer,addOp,217
52,com.google.javascript.jscomp.CodeConsumer,addOp,223
52,com.google.javascript.jscomp.CodeConsumer,addOp,228
52,com.google.javascript.jscomp.CodeConsumer,addOp,229
52,com.google.javascript.jscomp.CodeConsumer,addOp,231
52,com.google.javascript.jscomp.CodeConsumer,appendOp,200
52,com.google.javascript.jscomp.CodeConsumer,appendOp,201
52,com.google.javascript.jscomp.CodeConsumer,continueProcessing,53
52,com.google.javascript.jscomp.CodeConsumer,endFile,287
52,com.google.javascript.jscomp.CodeConsumer,endStatement,135
52,com.google.javascript.jscomp.CodeConsumer,endStatement,136
52,com.google.javascript.jscomp.CodeConsumer,endStatement,139
52,com.google.javascript.jscomp.CodeConsumer,endStatement,143
52,com.google.javascript.jscomp.CodeConsumer,endStatement,144
52,com.google.javascript.jscomp.CodeConsumer,endStatement,146
52,com.google.javascript.jscomp.CodeConsumer,isWordChar,262
52,com.google.javascript.jscomp.CodeConsumer,listSeparator,124
52,com.google.javascript.jscomp.CodeConsumer,listSeparator,125
52,com.google.javascript.jscomp.CodeConsumer,listSeparator,126
52,com.google.javascript.jscomp.CodeConsumer,maybeEndStatement,154
52,com.google.javascript.jscomp.CodeConsumer,maybeEndStatement,160
52,com.google.javascript.jscomp.CodeConsumer,maybeEndStatement,161
52,com.google.javascript.jscomp.CodeGenerator,<clinit>,37
52,com.google.javascript.jscomp.CodeGenerator,<init>,46
52,com.google.javascript.jscomp.CodeGenerator,<init>,47
52,com.google.javascript.jscomp.CodeGenerator,<init>,48
52,com.google.javascript.jscomp.CodeGenerator,<init>,53
52,com.google.javascript.jscomp.CodeGenerator,<init>,57
52,com.google.javascript.jscomp.CodeGenerator,add,79
52,com.google.javascript.jscomp.CodeGenerator,add,80
52,com.google.javascript.jscomp.CodeGenerator,add,83
52,com.google.javascript.jscomp.CodeGenerator,add,87
52,com.google.javascript.jscomp.CodeGenerator,add,88
52,com.google.javascript.jscomp.CodeGenerator,add,89
52,com.google.javascript.jscomp.CodeGenerator,add,90
52,com.google.javascript.jscomp.CodeGenerator,add,91
52,com.google.javascript.jscomp.CodeGenerator,add,94
52,com.google.javascript.jscomp.CodeGenerator,add,95
52,com.google.javascript.jscomp.CodeGenerator,add,99
52,com.google.javascript.jscomp.CodeGenerator,add,100
52,com.google.javascript.jscomp.CodeGenerator,add,101
52,com.google.javascript.jscomp.CodeGenerator,add,105
52,com.google.javascript.jscomp.CodeGenerator,add,110
52,com.google.javascript.jscomp.CodeGenerator,add,113
52,com.google.javascript.jscomp.CodeGenerator,add,117
52,com.google.javascript.jscomp.CodeGenerator,add,119
52,com.google.javascript.jscomp.CodeGenerator,add,122
52,com.google.javascript.jscomp.CodeGenerator,add,124
52,com.google.javascript.jscomp.CodeGenerator,add,188
52,com.google.javascript.jscomp.CodeGenerator,add,189
52,com.google.javascript.jscomp.CodeGenerator,add,217
52,com.google.javascript.jscomp.CodeGenerator,add,218
52,com.google.javascript.jscomp.CodeGenerator,add,219
52,com.google.javascript.jscomp.CodeGenerator,add,222
52,com.google.javascript.jscomp.CodeGenerator,add,226
52,com.google.javascript.jscomp.CodeGenerator,add,227
52,com.google.javascript.jscomp.CodeGenerator,add,258
52,com.google.javascript.jscomp.CodeGenerator,add,259
52,com.google.javascript.jscomp.CodeGenerator,add,260
52,com.google.javascript.jscomp.CodeGenerator,add,261
52,com.google.javascript.jscomp.CodeGenerator,add,262
52,com.google.javascript.jscomp.CodeGenerator,add,263
52,com.google.javascript.jscomp.CodeGenerator,add,264
52,com.google.javascript.jscomp.CodeGenerator,add,265
