bug,class,method,line
61,com.google.javascript.jscomp.AbstractCompiler,<clinit>,40
61,com.google.javascript.jscomp.AbstractCompiler,<init>,39
61,com.google.javascript.jscomp.AbstractCompiler,<init>,43
61,com.google.javascript.jscomp.AbstractCompiler,<init>,268
61,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,268
61,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,269
61,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,272
61,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,277
61,com.google.javascript.jscomp.AbstractMessageFormatter,<clinit>,47
61,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,32
61,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,33
61,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,34
61,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,37
61,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,38
61,com.google.javascript.jscomp.AbstractPeepholeOptimization,<init>,30
61,com.google.javascript.jscomp.AbstractPeepholeOptimization,beginTraversal,93
61,com.google.javascript.jscomp.AbstractPeepholeOptimization,beginTraversal,94
61,com.google.javascript.jscomp.AbstractPeepholeOptimization,endTraversal,100
61,com.google.javascript.jscomp.AbstractPeepholeOptimization,endTraversal,101
61,com.google.javascript.jscomp.AbstractPeepholeOptimization,mayHaveSideEffects,118
61,com.google.javascript.jscomp.AbstractPeepholeOptimization,reportCodeChange,62
61,com.google.javascript.jscomp.AbstractPeepholeOptimization,reportCodeChange,63
61,com.google.javascript.jscomp.AbstractPeepholeOptimization,reportCodeChange,64
61,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,23
61,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,26
61,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,34
61,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,42
61,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,47
61,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,48
61,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,49
61,com.google.javascript.jscomp.AstValidator,<init>,46
61,com.google.javascript.jscomp.AstValidator,<init>,47
61,com.google.javascript.jscomp.AstValidator,<init>,54
61,com.google.javascript.jscomp.AstValidator,validateAssignmentExpression,592
61,com.google.javascript.jscomp.AstValidator,validateAssignmentExpression,593
61,com.google.javascript.jscomp.AstValidator,validateAssignmentExpression,594
61,com.google.javascript.jscomp.AstValidator,validateAssignmentExpression,595
61,com.google.javascript.jscomp.AstValidator,validateAssignmentTarget,598
61,com.google.javascript.jscomp.AstValidator,validateAssignmentTarget,602
61,com.google.javascript.jscomp.AstValidator,validateAssignmentTarget,603
61,com.google.javascript.jscomp.AstValidator,validateBinaryOp,740
61,com.google.javascript.jscomp.AstValidator,validateBinaryOp,741
61,com.google.javascript.jscomp.AstValidator,validateBinaryOp,742
61,com.google.javascript.jscomp.AstValidator,validateBinaryOp,743
61,com.google.javascript.jscomp.AstValidator,validateBlock,276
61,com.google.javascript.jscomp.AstValidator,validateBlock,277
61,com.google.javascript.jscomp.AstValidator,validateBlock,280
61,com.google.javascript.jscomp.AstValidator,validateCall,365
61,com.google.javascript.jscomp.AstValidator,validateCall,366
