bug,class,method,line
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,100
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,101
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,102
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,103
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,104
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,111
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,117
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,118
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,119
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,120
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,121
64,com.google.javascript.jscomp.AbstractCommandLineRunner,createDefineOrTweakReplacements,1058
64,com.google.javascript.jscomp.AbstractCommandLineRunner,createDefineOrTweakReplacements,1113
64,com.google.javascript.jscomp.AbstractCommandLineRunner,createExterns,803
64,com.google.javascript.jscomp.AbstractCommandLineRunner,createSourceInputs,366
64,com.google.javascript.jscomp.AbstractCommandLineRunner,createSourceInputs,367
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,604
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,606
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,608
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,609
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,611
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,614
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,616
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,617
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,619
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,620
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,623
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,624
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,625
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,629
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,630
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,633
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,637
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,638
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,640
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,139
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,141
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,142
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,143
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,144
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,145
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,146
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getCommandLineConfig,159
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getCompiler,261
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getDiagnosticGroups,179
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getDiagnosticGroups,182
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getErrorPrintStream,313
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getInputCharset,768
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getInputCharset,775
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getOutputCharset,791
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getOutputCharset,798
64,com.google.javascript.jscomp.AbstractCommandLineRunner,isInTestMode,152
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputManifest,1130
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputManifest,1131
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputManifest,1132
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputNameMaps,988
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputNameMaps,989
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputNameMaps,990
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputNameMaps,993
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputNameMaps,1002
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputNameMaps,1011
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputNameMaps,1021
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputNameMaps,1027
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputNameMaps,1033
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputNameMaps,1044
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputSourceMap,936
64,com.google.javascript.jscomp.AbstractCommandLineRunner,outputSourceMap,937
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,648
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,652
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,663
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,675
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,686
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,687
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,688
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,693
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,742
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,750
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,753
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,757
