bug,class,method,line
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,100
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,101
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,102
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,103
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,104
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,111
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,117
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,118
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,119
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,120
64,com.google.javascript.jscomp.AbstractCommandLineRunner,<init>,121
64,com.google.javascript.jscomp.AbstractCommandLineRunner,createDefineOrTweakReplacements,1058
64,com.google.javascript.jscomp.AbstractCommandLineRunner,createDefineOrTweakReplacements,1113
64,com.google.javascript.jscomp.AbstractCommandLineRunner,createExterns,803
64,com.google.javascript.jscomp.AbstractCommandLineRunner,createSourceInputs,366
64,com.google.javascript.jscomp.AbstractCommandLineRunner,createSourceInputs,367
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,604
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,606
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,608
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,609
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,611
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,614
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,616
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,617
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,619
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,620
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,623
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,624
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,625
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,629
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,630
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,633
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,637
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,638
64,com.google.javascript.jscomp.AbstractCommandLineRunner,doRun,640
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,139
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,141
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,142
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,143
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,144
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,145
64,com.google.javascript.jscomp.AbstractCommandLineRunner,enableTestMode,146
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getCommandLineConfig,159
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getCompiler,261
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getDiagnosticGroups,179
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getDiagnosticGroups,182
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getErrorPrintStream,313
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getInputCharset,768
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getInputCharset,775
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getOutputCharset,791
64,com.google.javascript.jscomp.AbstractCommandLineRunner,getOutputCharset,798
64,com.google.javascript.jscomp.AbstractCommandLineRunner,isInTestMode,152
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,648
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,652
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,663
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,675
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,686
64,com.google.javascript.jscomp.AbstractCommandLineRunner,processResults,757
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,269
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,270
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,271
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,276
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,277
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,278
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,279
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,287
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,289
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,294
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,295
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,299
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,301
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,302
64,com.google.javascript.jscomp.AbstractCommandLineRunner,run,306
64,com.google.javascript.jscomp.AbstractCommandLineRunner,setRunOptions,197
64,com.google.javascript.jscomp.AbstractCommandLineRunner,setRunOptions,199
64,com.google.javascript.jscomp.AbstractCommandLineRunner,setRunOptions,200
64,com.google.javascript.jscomp.AbstractCommandLineRunner,setRunOptions,205
64,com.google.javascript.jscomp.AbstractCommandLineRunner,setRunOptions,207
64,com.google.javascript.jscomp.AbstractCommandLineRunner,setRunOptions,208
64,com.google.javascript.jscomp.AbstractCommandLineRunner,setRunOptions,210
64,com.google.javascript.jscomp.AbstractCommandLineRunner,setRunOptions,211
