bug,class,method,line
66,com.google.javascript.jscomp.AbstractCompiler,<clinit>,36
66,com.google.javascript.jscomp.AbstractCompiler,<init>,35
66,com.google.javascript.jscomp.AbstractCompiler,<init>,39
66,com.google.javascript.jscomp.AbstractCompiler,<init>,259
66,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,259
66,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,260
66,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,263
66,com.google.javascript.jscomp.AbstractCompiler$LifeCycleStage,<clinit>,268
66,com.google.javascript.jscomp.AbstractMessageFormatter,<clinit>,47
66,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,32
66,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,33
66,com.google.javascript.jscomp.AbstractMessageFormatter,<init>,34
66,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,37
66,com.google.javascript.jscomp.AbstractMessageFormatter,setColorize,38
66,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,23
66,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,26
66,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,34
66,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<clinit>,42
66,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,47
66,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,48
66,com.google.javascript.jscomp.AnonymousFunctionNamingPolicy,<init>,49
66,com.google.javascript.jscomp.BasicErrorManager,<init>,37
66,com.google.javascript.jscomp.BasicErrorManager,<init>,38
66,com.google.javascript.jscomp.BasicErrorManager,<init>,40
66,com.google.javascript.jscomp.BasicErrorManager,<init>,41
66,com.google.javascript.jscomp.BasicErrorManager,<init>,42
66,com.google.javascript.jscomp.BasicErrorManager,<init>,173
66,com.google.javascript.jscomp.BasicErrorManager,getErrorCount,73
66,com.google.javascript.jscomp.BasicErrorManager,getErrors,81
66,com.google.javascript.jscomp.BasicErrorManager,getWarnings,85
66,com.google.javascript.jscomp.BasicErrorManager,toArray,97
66,com.google.javascript.jscomp.BasicErrorManager,toArray,98
66,com.google.javascript.jscomp.BasicErrorManager,toArray,103
66,com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator,compare,115
66,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,61
66,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,62
66,com.google.javascript.jscomp.ChainableReverseAbstractInterpreter,<init>,63
