bug,class,method,line
8,com.google.javascript.jscomp.JSSourceFile,<init>,72
8,com.google.javascript.jscomp.JSSourceFile,<init>,73
8,com.google.javascript.jscomp.JSSourceFile,<init>,74
8,com.google.javascript.jscomp.JSSourceFile,fromCode,55
8,com.google.javascript.jscomp.SourceFile,<init>,62
8,com.google.javascript.jscomp.SourceFile,<init>,70
8,com.google.javascript.jscomp.SourceFile,<init>,79
8,com.google.javascript.jscomp.SourceFile,<init>,80
8,com.google.javascript.jscomp.SourceFile,<init>,82
8,com.google.javascript.jscomp.SourceFile,<init>,83
8,com.google.javascript.jscomp.SourceFile,<init>,84
8,com.google.javascript.jscomp.SourceFile,access$000,40
8,com.google.javascript.jscomp.SourceFile,fromCode,257
8,com.google.javascript.jscomp.SourceFile,getName,136
8,com.google.javascript.jscomp.SourceFile,setCode,110
8,com.google.javascript.jscomp.SourceFile,setCode,111
8,com.google.javascript.jscomp.SourceFile,setOriginalPath,118
8,com.google.javascript.jscomp.SourceFile,setOriginalPath,119
8,com.google.javascript.jscomp.SourceFile$Preloaded,<init>,297
8,com.google.javascript.jscomp.SourceFile$Preloaded,<init>,298
8,com.google.javascript.jscomp.SourceFile$Preloaded,<init>,301
8,com.google.javascript.jscomp.SourceFile$Preloaded,<init>,302
8,com.google.javascript.jscomp.SourceFile$Preloaded,<init>,303
8,com.google.javascript.jscomp.SourceFile$Preloaded,<init>,304
