bug,class,method,line
82,com.google.javascript.rhino.Node,<init>,368
82,com.google.javascript.rhino.Node,<init>,369
82,com.google.javascript.rhino.Node,<init>,370
82,com.google.javascript.rhino.Node,<init>,371
82,com.google.javascript.rhino.Node,<init>,372
82,com.google.javascript.rhino.Node,addChildToBack,602
82,com.google.javascript.rhino.Node,addChildToBack,603
82,com.google.javascript.rhino.Node,addChildToBack,604
82,com.google.javascript.rhino.Node,addChildToBack,605
82,com.google.javascript.rhino.Node,addChildToBack,606
82,com.google.javascript.rhino.Node,addChildToBack,607
82,com.google.javascript.rhino.Node,addChildToBack,608
82,com.google.javascript.rhino.Node,addChildToBack,610
82,com.google.javascript.rhino.Node,addChildToBack,611
82,com.google.javascript.rhino.Node,addChildToBack,612
82,com.google.javascript.rhino.Node,getFirstChild,548
82,com.google.javascript.rhino.Node,getJSType,1919
82,com.google.javascript.rhino.Node,getLastChild,552
82,com.google.javascript.rhino.Node,getNext,556
82,com.google.javascript.rhino.Node,newString,524
82,com.google.javascript.rhino.Node,putBooleanProp,831
82,com.google.javascript.rhino.Node,putBooleanProp,832
82,com.google.javascript.rhino.Node,putIntProp,835
82,com.google.javascript.rhino.Node,putIntProp,836
82,com.google.javascript.rhino.Node,putIntProp,837
82,com.google.javascript.rhino.Node,putIntProp,839
82,com.google.javascript.rhino.Node,removeProp,763
82,com.google.javascript.rhino.Node,removeProp,764
82,com.google.javascript.rhino.Node,removeProp,767
82,com.google.javascript.rhino.Node,removeProp,776
82,com.google.javascript.rhino.Node,removeProp,777
82,com.google.javascript.rhino.Node,setJSType,1923
82,com.google.javascript.rhino.Node,setJSType,1924
82,com.google.javascript.rhino.Node,setOptionalArg,1995
82,com.google.javascript.rhino.Node,setOptionalArg,1996
82,com.google.javascript.rhino.Node,setVarArgs,1977
82,com.google.javascript.rhino.Node,setVarArgs,1978
82,com.google.javascript.rhino.Node$PropListItem,<init>,351
82,com.google.javascript.rhino.Node$PropListItem,<init>,352
82,com.google.javascript.rhino.Node$PropListItem,<init>,359
82,com.google.javascript.rhino.Node$PropListItem,<init>,360
82,com.google.javascript.rhino.Node$PropListItem,<init>,361
82,com.google.javascript.rhino.Node$PropListItem,<init>,362
82,com.google.javascript.rhino.Node$PropListItem,<init>,363
82,com.google.javascript.rhino.Node$PropListItem,<init>,364
82,com.google.javascript.rhino.Node$StringNode,<init>,277
82,com.google.javascript.rhino.Node$StringNode,<init>,278
82,com.google.javascript.rhino.Node$StringNode,<init>,281
82,com.google.javascript.rhino.Node$StringNode,<init>,282
82,com.google.javascript.rhino.jstype.AllType,<init>,53
82,com.google.javascript.rhino.jstype.AllType,<init>,54
82,com.google.javascript.rhino.jstype.AllType,isAllType,68
82,com.google.javascript.rhino.jstype.ArrowType,<init>,64
82,com.google.javascript.rhino.jstype.ArrowType,<init>,65
82,com.google.javascript.rhino.jstype.ArrowType,<init>,69
82,com.google.javascript.rhino.jstype.ArrowType,<init>,71
82,com.google.javascript.rhino.jstype.ArrowType,<init>,74
82,com.google.javascript.rhino.jstype.ArrowType,<init>,76
82,com.google.javascript.rhino.jstype.ArrowType,<init>,77
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,187
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,188
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,189
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,191
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,194
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,195
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,196
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,197
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,198
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,199
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,201
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,202
82,com.google.javascript.rhino.jstype.ArrowType,hashCode,204
82,com.google.javascript.rhino.jstype.ArrowType,isSubtype,81
82,com.google.javascript.rhino.jstype.ArrowType,isSubtype,85
82,com.google.javascript.rhino.jstype.ArrowType,isSubtype,88
82,com.google.javascript.rhino.jstype.ArrowType,isSubtype,95
82,com.google.javascript.rhino.jstype.ArrowType,isSubtype,96
82,com.google.javascript.rhino.jstype.ArrowType,isSubtype,97
82,com.google.javascript.rhino.jstype.ArrowType,isSubtype,139
82,com.google.javascript.rhino.jstype.BooleanType,<init>,53
82,com.google.javascript.rhino.jstype.BooleanType,<init>,54
82,com.google.javascript.rhino.jstype.BooleanType,getDisplayName,108
82,com.google.javascript.rhino.jstype.BooleanType,isSubtype,49
82,com.google.javascript.rhino.jstype.BooleanType,toString,103
82,com.google.javascript.rhino.jstype.ErrorFunctionType,<init>,51
82,com.google.javascript.rhino.jstype.ErrorFunctionType,<init>,73
82,com.google.javascript.rhino.jstype.ErrorFunctionType,<init>,74
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,54
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,55
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,56
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,57
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,58
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,59
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,60
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,61
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,62
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,64
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,65
82,com.google.javascript.rhino.jstype.FunctionBuilder,<init>,66
82,com.google.javascript.rhino.jstype.FunctionBuilder,build,153
82,com.google.javascript.rhino.jstype.FunctionBuilder,withParamsNode,90
82,com.google.javascript.rhino.jstype.FunctionBuilder,withParamsNode,91
82,com.google.javascript.rhino.jstype.FunctionBuilder,withReturnType,96
82,com.google.javascript.rhino.jstype.FunctionBuilder,withReturnType,97
82,com.google.javascript.rhino.jstype.FunctionBuilder,withTypeOfThis,116
82,com.google.javascript.rhino.jstype.FunctionBuilder,withTypeOfThis,117
82,com.google.javascript.rhino.jstype.FunctionParamBuilder,<init>,52
82,com.google.javascript.rhino.jstype.FunctionParamBuilder,<init>,54
82,com.google.javascript.rhino.jstype.FunctionParamBuilder,<init>,55
82,com.google.javascript.rhino.jstype.FunctionParamBuilder,<init>,56
82,com.google.javascript.rhino.jstype.FunctionParamBuilder,addOptionalParams,80
82,com.google.javascript.rhino.jstype.FunctionParamBuilder,addOptionalParams,84
82,com.google.javascript.rhino.jstype.FunctionParamBuilder,addOptionalParams,85
82,com.google.javascript.rhino.jstype.FunctionParamBuilder,addOptionalParams,87
82,com.google.javascript.rhino.jstype.FunctionParamBuilder,addRequiredParams,63
