project,bug,top_hits,top_index
Closure,2,['TypeCheck#checkInterfaceConflictProperties'],[3]
Closure,8,['CollapseVariableDeclarations#canBeRedeclared'],[27]
Closure,10,['NodeUtil#apply'],[32]
Closure,12,[],[]
Closure,17,['TypedScopeCreator#identifyNameNode'],[228]
Closure,19,['ChainableReverseAbstractInterpreter#declareNameInScope'],[1]
Closure,21,['CheckSideEffects#visit'],[2]
Closure,31,['Compiler#parseInputs'],[317]
Closure,33,['PrototypeObjectType#matchConstraint'],[2]
Closure,48,['TypedScopeCreator#identifyNameNode'],[203]
Closure,52,[],[]
Closure,59,['Compiler#initOptions'],[33]
Closure,60,['NodeUtil#getPureBooleanValue'],[6]
Closure,61,['NodeUtil#functionCallHasSideEffects'],[15]
Closure,62,['LightweightMessageFormatter#format'],[1]
Closure,64,['Compiler#toSource'],[236]
Closure,65,['CodeGenerator#strEscape'],[1]
Closure,66,['TypeCheck#visit'],[5]
Closure,68,"['JsDocInfoParser#parseBasicTypeExpression', 'JsDocInfoParser#parse', 'JsDocInfoParser#parseFunctionType']","[8, 1, 2]"
Closure,73,['CodeGenerator#strEscape'],[2]
Closure,75,"['NodeUtil#getStringNumberValue', 'NodeUtil#isStrWhiteSpaceChar']","[7, 4]"
Closure,76,"['DeadAssignmentsElimination#isVariableStillLiveWithinExpression', 'DeadAssignmentsElimination#isVariableReadBeforeKill']","[12, 13]"
Closure,80,['NodeUtil#apply'],[7]
Closure,82,['JSType#isEmptyType'],[138]
Closure,85,"['UnreachableCodeElimination#tryRemoveUnconditionalBranching', 'UnreachableCodeElimination#computeFollowing']","[24, 33]"
Closure,90,"['FunctionType#resolveInternal', 'FunctionTypeBuilder#apply']","[371, 1]"
Closure,91,['CheckGlobalThis#shouldTraverse'],[11]
Closure,92,['ProcessClosurePrimitives#replace'],[9]
Closure,99,['CheckGlobalThis#shouldTraverse'],[7]
Closure,104,['UnionType#meet'],[1]
Closure,107,['CommandLineRunner#WarningGuardErrorOptionHandler'],[933]
Closure,113,['ProcessClosurePrimitives#processRequireCall'],[3]
Closure,114,['NameAnalyzer#traverseEdge'],[62]
Closure,115,['FunctionInjector#prepare'],[29]
Closure,118,['DisambiguateProperties#getScope'],[44]
Closure,120,['ReferenceCollectingCallback#getReferences'],[58]
Closure,121,['InlineVariables#apply'],[115]
Closure,125,['TypeCheck#visitNew'],[44]
Closure,128,[],[]
Closure,130,['CollapseProperties#inlineAliases'],[15]
Closure,131,[],[]
Closure,133,['JsDocInfoParser#getRemainingJSDocLine'],[26]
