package,class,method,parameter,line,bug
com.alibaba.fastjson.parser,ParserConfig,getGlobalInstance,,92,20
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,405,20
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,406,20
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,407,20
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,891,20
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,892,20
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,893,20
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,41,20
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,42,20
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,44,20
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,45,20
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,46,20
com.alibaba.fastjson,JSON,getMixInAnnotations,java.lang.reflect.Type,1281,20
com.alibaba.fastjson,JSON,getMixInAnnotations,java.lang.reflect.Type,1282,20
com.alibaba.fastjson.parser,Feature,config,"int,com.alibaba.fastjson.parser.Feature,boolean",161,20
com.alibaba.fastjson.parser,Feature,config,"int,com.alibaba.fastjson.parser.Feature,boolean",162,20
com.alibaba.fastjson.parser,Feature,config,"int,com.alibaba.fastjson.parser.Feature,boolean",167,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,com.alibaba.fastjson.parser.JSONLexer,143,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,com.alibaba.fastjson.parser.JSONLexer,144,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",147,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",148,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",150,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",48,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",56,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",64,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",66,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",67,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",68,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",70,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",73,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",151,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",152,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",153,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",154,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",156,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",157,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",160,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",161,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",162,20
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",166,20
com.alibaba.fastjson.parser,DefaultJSONParser,parseObject,java.lang.Class,649,20
com.alibaba.fastjson.parser,DefaultJSONParser,parseObject,"java.lang.reflect.Type,java.lang.Object",658,20
com.alibaba.fastjson.parser,DefaultJSONParser,parseObject,"java.lang.reflect.Type,java.lang.Object",659,20
com.alibaba.fastjson.parser,DefaultJSONParser,parseObject,"java.lang.reflect.Type,java.lang.Object",664,20
com.alibaba.fastjson.parser,DefaultJSONParser,parseObject,"java.lang.reflect.Type,java.lang.Object",678,20
com.alibaba.fastjson.parser,DefaultJSONParser,parseObject,"java.lang.reflect.Type,java.lang.Object",681,20
com.alibaba.fastjson.parser,DefaultJSONParser,parseObject,"java.lang.reflect.Type,java.lang.Object",687,20
com.alibaba.fastjson.parser,DefaultJSONParser,config,"com.alibaba.fastjson.parser.Feature,boolean",1485,20
com.alibaba.fastjson.parser,DefaultJSONParser,config,"com.alibaba.fastjson.parser.Feature,boolean",1486,20
com.alibaba.fastjson.parser,JSONLexerBase,JSONLexerBase,int,70,20
com.alibaba.fastjson.parser,JSONLexerBase,JSONLexerBase,int,60,20
com.alibaba.fastjson.parser,JSONLexerBase,JSONLexerBase,int,61,20
com.alibaba.fastjson.parser,JSONLexerBase,JSONLexerBase,int,62,20
com.alibaba.fastjson.parser,JSONLexerBase,JSONLexerBase,int,64,20
com.alibaba.fastjson.parser,JSONLexerBase,JSONLexerBase,int,68,20
com.alibaba.fastjson.parser,JSONLexerBase,JSONLexerBase,int,71,20
com.alibaba.fastjson.parser,JSONLexerBase,JSONLexerBase,int,73,20
com.alibaba.fastjson.parser,JSONLexerBase,JSONLexerBase,int,77,20
com.alibaba.fastjson.parser,JSONLexerBase,JSONLexerBase,int,79,20
com.alibaba.fastjson.parser,JSONLexerBase,JSONLexerBase,int,82,20
com.alibaba.fastjson.parser,JSONLexerBase,setToken,int,93,20
com.alibaba.fastjson.parser,JSONLexerBase,setToken,int,94,20
com.alibaba.fastjson.parser,JSONLexerBase,token,,399,20
com.alibaba.fastjson.parser,JSONLexerBase,config,"com.alibaba.fastjson.parser.Feature,boolean",524,20
com.alibaba.fastjson.parser,JSONLexerBase,config,"com.alibaba.fastjson.parser.Feature,boolean",526,20
com.alibaba.fastjson.parser,JSONLexerBase,config,"com.alibaba.fastjson.parser.Feature,boolean",529,20
com.alibaba.fastjson.parser,JSONLexerBase,isEnabled,"int,int",540,20
com.alibaba.fastjson.parser,JSONLexerBase,getCurrent,,548,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2672,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2674,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2675,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2676,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2677,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2678,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2681,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2682,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2687,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2776,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2777,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2778,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2779,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2780,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2782,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2783,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2787,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2788,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2789,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2790,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2791,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2792,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2793,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2794,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2795,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2796,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2797,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2798,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2799,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2800,20
com.alibaba.fastjson.parser,JSONLexerBase,scanFloat,char,2801,20
com.alibaba.fastjson.parser,JSONLexerBase,isWhitespace,char,5274,20
com.alibaba.fastjson,JSONReader,JSONReader,"java.io.Reader,com.alibaba.fastjson.parser.Feature[]",33,20
com.alibaba.fastjson,JSONReader,JSONReader,"java.io.Reader,com.alibaba.fastjson.parser.Feature[]",34,20
com.alibaba.fastjson,JSONReader,JSONReader,"java.io.Reader,com.alibaba.fastjson.parser.Feature[]",35,20
com.alibaba.fastjson,JSONReader,JSONReader,"java.io.Reader,com.alibaba.fastjson.parser.Feature[]",37,20
com.alibaba.fastjson,JSONReader,JSONReader,com.alibaba.fastjson.parser.JSONLexer,40,20
com.alibaba.fastjson,JSONReader,JSONReader,com.alibaba.fastjson.parser.JSONLexer,41,20
com.alibaba.fastjson,JSONReader,JSONReader,com.alibaba.fastjson.parser.DefaultJSONParser,43,20
com.alibaba.fastjson,JSONReader,JSONReader,com.alibaba.fastjson.parser.DefaultJSONParser,44,20
com.alibaba.fastjson,JSONReader,JSONReader,com.alibaba.fastjson.parser.DefaultJSONParser,45,20
com.alibaba.fastjson,JSONReader,config,"com.alibaba.fastjson.parser.Feature,boolean",56,20
com.alibaba.fastjson,JSONReader,config,"com.alibaba.fastjson.parser.Feature,boolean",57,20
com.alibaba.fastjson,JSONReader,readObject,java.lang.Class,233,20
com.alibaba.fastjson,JSONReader,readObject,java.lang.Class,234,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,java.io.Reader,54,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,java.io.Reader,55,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",58,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",59,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",61,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",62,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",66,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",67,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",71,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",74,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",76,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",78,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",79,20
com.alibaba.fastjson.parser,JSONReaderScanner,JSONReaderScanner,"java.io.Reader,int",82,20
com.alibaba.fastjson.parser,JSONReaderScanner,charAt,int,89,20
com.alibaba.fastjson.parser,JSONReaderScanner,charAt,int,90,20
com.alibaba.fastjson.parser,JSONReaderScanner,charAt,int,97,20
