package,class,method,parameter,line,bug
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,405,21
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,406,21
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,407,21
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,891,21
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,892,21
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,893,21
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,41,21
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,42,21
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,44,21
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,45,21
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,46,21
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.Class,com.alibaba.fastjson.parser.Feature[]",287,21
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",357,21
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",361,21
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",362,21
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",367,21
