package,class,method,parameter,line,bug
com.alibaba.fastjson.parser,ParserConfig,getGlobalInstance,,167,31
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,41,31
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,42,31
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,44,31
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,45,31
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,46,31
com.alibaba.fastjson,JSON,parse,java.lang.String,148,31
com.alibaba.fastjson,JSON,parse,"java.lang.String,com.alibaba.fastjson.parser.ParserConfig,int",177,31
com.alibaba.fastjson,JSON,parse,"java.lang.String,com.alibaba.fastjson.parser.ParserConfig,int",181,31
com.alibaba.fastjson,JSON,parse,"java.lang.String,com.alibaba.fastjson.parser.ParserConfig,int",182,31
com.alibaba.fastjson,JSON,parse,"java.lang.String,com.alibaba.fastjson.parser.ParserConfig,int",184,31
com.alibaba.fastjson,JSON,parse,"java.lang.String,com.alibaba.fastjson.parser.ParserConfig,int",186,31
com.alibaba.fastjson,JSON,parse,"java.lang.String,com.alibaba.fastjson.parser.ParserConfig,int",188,31
com.alibaba.fastjson,JSON,parse,"java.lang.String,int",192,31
com.alibaba.fastjson,JSON,toJSONString,"java.lang.Object,com.alibaba.fastjson.serializer.SerializerFeature[]",676,31
com.alibaba.fastjson,JSON,toJSONString,"java.lang.Object,int,com.alibaba.fastjson.serializer.SerializerFeature[]",683,31
com.alibaba.fastjson,JSON,toJSONString,"java.lang.Object,int,com.alibaba.fastjson.serializer.SerializerFeature[]",686,31
com.alibaba.fastjson,JSON,toJSONString,"java.lang.Object,int,com.alibaba.fastjson.serializer.SerializerFeature[]",687,31
com.alibaba.fastjson,JSON,toJSONString,"java.lang.Object,int,com.alibaba.fastjson.serializer.SerializerFeature[]",688,31
com.alibaba.fastjson,JSON,toJSONString,"java.lang.Object,int,com.alibaba.fastjson.serializer.SerializerFeature[]",690,31
com.alibaba.fastjson,JSON,getMixInAnnotations,java.lang.reflect.Type,1383,31
com.alibaba.fastjson,JSON,getMixInAnnotations,java.lang.reflect.Type,1384,31
com.alibaba.fastjson.serializer,SerializerFeature,getMask,,164,31
com.alibaba.fastjson.serializer,SerializerFeature,isEnabled,"int,int,com.alibaba.fastjson.serializer.SerializerFeature",172,31
com.alibaba.fastjson.serializer,SerializerFeature,isEnabled,"int,int,com.alibaba.fastjson.serializer.SerializerFeature",174,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",39,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",41,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",44,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",45,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",48,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",52,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",55,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",56,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",66,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",68,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",69,31
com.alibaba.fastjson.serializer,BigDecimalCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",72,31
com.alibaba.fastjson.serializer,SerializeConfig,getGlobalInstance,,287,31
com.alibaba.fastjson.serializer,SerializeConfig,getObjectWriter,java.lang.Class,440,31
com.alibaba.fastjson.serializer,SerializeConfig,getObjectWriter,"java.lang.Class,boolean",444,31
com.alibaba.fastjson.serializer,SerializeConfig,getObjectWriter,"java.lang.Class,boolean",446,31
com.alibaba.fastjson.serializer,SerializeConfig,getObjectWriter,"java.lang.Class,boolean",447,31
com.alibaba.fastjson.serializer,SerializeConfig,get,java.lang.reflect.Type,878,31
com.alibaba.fastjson.serializer,SerializeConfig,get,java.lang.reflect.Type,879,31
com.alibaba.fastjson.serializer,SerializeConfig,get,java.lang.reflect.Type,880,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",108,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",81,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",109,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",111,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",113,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",114,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",119,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",120,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",121,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",123,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",125,31
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",126,31
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,187,31
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,188,31
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,189,31
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,190,31
