package,class,method,parameter,line,bug
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,405,5
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,406,5
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,407,5
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,891,5
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,892,5
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,893,5
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,41,5
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,42,5
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,44,5
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,45,5
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,46,5
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.Class,com.alibaba.fastjson.parser.Feature[]",287,5
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",357,5
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",361,5
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",362,5
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",363,5
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",367,5
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",369,5
