package,class,method,parameter,line,bug
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,534,57
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,535,57
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,536,57
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,1021,57
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,1022,57
com.alibaba.fastjson.parser,ParserConfig,get,java.lang.reflect.Type,1023,57
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,41,57
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,42,57
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,44,57
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,45,57
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,46,57
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int",82,57
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",86,57
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",88,57
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",89,57
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",90,57
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",91,57
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",92,57
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",93,57
com.alibaba.fastjson,JSON,JSON,,67,57
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.Class,com.alibaba.fastjson.parser.Feature[]",287,57
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",357,57
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",361,57
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",362,57
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",367,57
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",369,57
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.reflect.Type,com.alibaba.fastjson.parser.ParserConfig,com.alibaba.fastjson.parser.deserializer.ParseProcess,int,com.alibaba.fastjson.parser.Feature[]",383,57
com.alibaba.fastjson,JSON,parseObject,"java.lang.String,java.lang.Class",560,57
com.alibaba.fastjson,JSON,getMixInAnnotations,java.lang.reflect.Type,1290,57
com.alibaba.fastjson,JSON,getMixInAnnotations,java.lang.reflect.Type,1291,57
com.alibaba.fastjson.util,TypeUtils,castToDouble,java.lang.Object,382,57
com.alibaba.fastjson.util,TypeUtils,castToDouble,java.lang.Object,385,57
com.alibaba.fastjson.util,TypeUtils,castToDouble,java.lang.Object,386,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1013,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1032,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1036,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1040,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1052,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1069,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1073,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1077,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1081,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1085,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1089,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1093,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1097,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1101,57
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1102,57
com.alibaba.fastjson.parser.deserializer,NumberDeserializer,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",18,57
com.alibaba.fastjson.parser.deserializer,NumberDeserializer,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",19,57
com.alibaba.fastjson.parser.deserializer,NumberDeserializer,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",50,57
com.alibaba.fastjson.parser.deserializer,NumberDeserializer,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",51,57
com.alibaba.fastjson.parser.deserializer,NumberDeserializer,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",52,57
com.alibaba.fastjson.parser.deserializer,NumberDeserializer,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",53,57
com.alibaba.fastjson.parser.deserializer,NumberDeserializer,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",54,57
com.alibaba.fastjson.parser.deserializer,NumberDeserializer,getFastMatchToken,,124,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",129,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",130,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",131,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",136,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",149,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",179,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",180,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",182,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",183,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,deserialze,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.reflect.Type,java.lang.Object",185,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,toObjectArray,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.Class,com.alibaba.fastjson.JSONArray",190,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,toObjectArray,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.Class,com.alibaba.fastjson.JSONArray",194,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,toObjectArray,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.Class,com.alibaba.fastjson.JSONArray",196,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,toObjectArray,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.Class,com.alibaba.fastjson.JSONArray",197,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,toObjectArray,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.Class,com.alibaba.fastjson.JSONArray",198,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,toObjectArray,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.Class,com.alibaba.fastjson.JSONArray",200,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,toObjectArray,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.Class,com.alibaba.fastjson.JSONArray",205,57
com.alibaba.fastjson.serializer,ObjectArrayCodec,toObjectArray,"com.alibaba.fastjson.parser.DefaultJSONParser,java.lang.Class,com.alibaba.fastjson.JSONArray",207,57
