package,class,method,parameter,line,bug
com.alibaba.fastjson,JSON,JSON,,66,65
com.alibaba.fastjson.util,TypeUtils,castToBigInteger,java.lang.Object,341,65
com.alibaba.fastjson.util,TypeUtils,castToBigInteger,java.lang.Object,342,65
com.alibaba.fastjson.util,TypeUtils,castToBigInteger,java.lang.Object,345,65
com.alibaba.fastjson.util,TypeUtils,castToBigInteger,java.lang.Object,348,65
com.alibaba.fastjson.util,TypeUtils,castToBigInteger,java.lang.Object,349,65
com.alibaba.fastjson.util,TypeUtils,castToNumberJudge,java.lang.Object,1535,65
com.alibaba.fastjson.util,TypeUtils,castToNumberJudge,java.lang.Object,1538,65
com.alibaba.fastjson.util,TypeUtils,castToNumberJudge,java.lang.Object,1539,65
com.alibaba.fastjson.util,TypeUtils,castToNumberJudge,java.lang.Object,1540,65
com.alibaba.fastjson.util,TypeUtils,castToNumberJudge,java.lang.Object,1554,65
com.alibaba.fastjson,JSONObject,JSONObject,,57,65
com.alibaba.fastjson,JSONObject,JSONObject,,58,65
com.alibaba.fastjson,JSONObject,JSONObject,"int,boolean",75,65
com.alibaba.fastjson,JSONObject,JSONObject,"int,boolean",76,65
com.alibaba.fastjson,JSONObject,JSONObject,"int,boolean",79,65
com.alibaba.fastjson,JSONObject,JSONObject,"int,boolean",81,65
com.alibaba.fastjson,JSONObject,get,java.lang.Object,110,65
com.alibaba.fastjson,JSONObject,get,java.lang.Object,112,65
com.alibaba.fastjson,JSONObject,get,java.lang.Object,122,65
com.alibaba.fastjson,JSONObject,getBigInteger,java.lang.String,319,65
com.alibaba.fastjson,JSONObject,getBigInteger,java.lang.String,321,65
com.alibaba.fastjson,JSONObject,put,"java.lang.String,java.lang.Object",353,65
