package,class,method,parameter,line,bug
com.alibaba.fastjson.parser,ParserConfig,getGlobalInstance,,90,67
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,41,67
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,42,67
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,44,67
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,45,67
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,46,67
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,50,67
com.alibaba.fastjson.util,IdentityHashMap,put,"java.lang.Object,java.lang.Object",77,67
com.alibaba.fastjson.util,IdentityHashMap,put,"java.lang.Object,java.lang.Object",78,67
com.alibaba.fastjson.util,IdentityHashMap,put,"java.lang.Object,java.lang.Object",80,67
com.alibaba.fastjson.util,IdentityHashMap,put,"java.lang.Object,java.lang.Object",87,67
com.alibaba.fastjson.util,IdentityHashMap,put,"java.lang.Object,java.lang.Object",88,67
com.alibaba.fastjson.util,IdentityHashMap,put,"java.lang.Object,java.lang.Object",90,67
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int",82,67
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",86,67
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",88,67
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",89,67
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",90,67
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",91,67
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",92,67
com.alibaba.fastjson.parser,SymbolTable,addSymbol,"java.lang.String,int,int,int,boolean",93,67
com.alibaba.fastjson,JSON,JSON,,65,67
com.alibaba.fastjson,JSON,toString,,940,67
com.alibaba.fastjson,JSON,toJSONString,,944,67
com.alibaba.fastjson,JSON,toJSONString,,946,67
com.alibaba.fastjson,JSON,toJSONString,,947,67
com.alibaba.fastjson,JSON,toJSONString,,949,67
com.alibaba.fastjson.serializer,SerializerFeature,isEnabled,"int,com.alibaba.fastjson.serializer.SerializerFeature",168,67
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2638,67
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2639,67
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2640,67
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2641,67
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2642,67
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2644,67
com.alibaba.fastjson.util$IdentityHashMap,Entry,IdentityHashMap$Entry,"java.lang.Object,java.lang.Object,int,com.alibaba.fastjson.util.IdentityHashMap$Entry",101,67
com.alibaba.fastjson.util$IdentityHashMap,Entry,IdentityHashMap$Entry,"java.lang.Object,java.lang.Object,int,com.alibaba.fastjson.util.IdentityHashMap$Entry",102,67
com.alibaba.fastjson.util$IdentityHashMap,Entry,IdentityHashMap$Entry,"java.lang.Object,java.lang.Object,int,com.alibaba.fastjson.util.IdentityHashMap$Entry",103,67
com.alibaba.fastjson.util$IdentityHashMap,Entry,IdentityHashMap$Entry,"java.lang.Object,java.lang.Object,int,com.alibaba.fastjson.util.IdentityHashMap$Entry",104,67
com.alibaba.fastjson.util$IdentityHashMap,Entry,IdentityHashMap$Entry,"java.lang.Object,java.lang.Object,int,com.alibaba.fastjson.util.IdentityHashMap$Entry",105,67
com.alibaba.fastjson.util$IdentityHashMap,Entry,IdentityHashMap$Entry,"java.lang.Object,java.lang.Object,int,com.alibaba.fastjson.util.IdentityHashMap$Entry",106,67
com.alibaba.fastjson.serializer,StringCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",35,67
com.alibaba.fastjson.serializer,StringCodec,write,"com.alibaba.fastjson.serializer.JSONSerializer,java.lang.Object,java.lang.Object,java.lang.reflect.Type,int",36,67
