package,class,method,parameter,line,bug
com.alibaba.fastjson.parser,ParserConfig,getGlobalInstance,,90,77
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,388,77
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,389,77
com.alibaba.fastjson.parser,ParserConfig,getDeserializer,java.lang.reflect.Type,390,77
com.alibaba.fastjson.parser,ParserConfig,isPrimitive2,java.lang.Class,861,77
com.alibaba.fastjson.parser,ParserConfig,isPrimitive2,java.lang.Class,877,77
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,41,77
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,42,77
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,44,77
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,45,77
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,46,77
com.alibaba.fastjson,JSON,JSON,,65,77
com.alibaba.fastjson,JSON,toJSON,java.lang.Object,971,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",983,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",987,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",991,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1017,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1030,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1035,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1037,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1041,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1055,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1056,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1059,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1060,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1061,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1063,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1065,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1066,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1067,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1068,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1071,77
com.alibaba.fastjson,JSON,toJSON,"java.lang.Object,com.alibaba.fastjson.serializer.SerializeConfig",1072,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.lang.Object,java.lang.Class",886,77
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",891,77
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",910,77
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",914,77
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",918,77
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",919,77
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",923,77
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",924,77
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",927,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1262,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1281,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1282,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1298,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1317,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1331,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1335,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1346,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1350,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1351,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1352,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1353,77
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.util.Map,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1356,77
