package,class,method,parameter,line,bug
com.alibaba.fastjson.parser,ParserConfig,getGlobalInstance,,91,82
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,42,82
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,43,82
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,45,82
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,46,82
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,47,82
com.alibaba.fastjson,JSON,JSON,,72,82
com.alibaba.fastjson,JSON,toString,,860,82
com.alibaba.fastjson,JSON,toJSONString,,864,82
com.alibaba.fastjson,JSON,toJSONString,,866,82
com.alibaba.fastjson,JSON,toJSONString,,867,82
com.alibaba.fastjson,JSON,toJSONString,,869,82
com.alibaba.fastjson.parser,Feature,config,"int,com.alibaba.fastjson.parser.Feature,boolean",156,82
com.alibaba.fastjson.parser,Feature,config,"int,com.alibaba.fastjson.parser.Feature,boolean",157,82
com.alibaba.fastjson.parser,Feature,config,"int,com.alibaba.fastjson.parser.Feature,boolean",162,82
com.alibaba.fastjson.serializer,SerializerFeature,isEnabled,"int,com.alibaba.fastjson.serializer.SerializerFeature",168,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2410,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2411,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2412,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2413,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2414,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2416,82
com.alibaba.fastjson.serializer,SerializeConfig,getGlobalInstance,,260,82
com.alibaba.fastjson.serializer,SerializeConfig,getObjectWriter,java.lang.Class,413,82
com.alibaba.fastjson.serializer,SerializeConfig,getObjectWriter,"java.lang.Class,boolean",417,82
com.alibaba.fastjson.serializer,SerializeConfig,getObjectWriter,"java.lang.Class,boolean",419,82
com.alibaba.fastjson.serializer,SerializeConfig,getObjectWriter,"java.lang.Class,boolean",439,82
com.alibaba.fastjson.serializer,SerializeConfig,getObjectWriter,"java.lang.Class,boolean",462,82
com.alibaba.fastjson.serializer,SerializeConfig,getObjectWriter,"java.lang.Class,boolean",721,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,,70,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,,71,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,java.io.Writer,74,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,java.io.Writer,75,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",91,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",64,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",92,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",94,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",96,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",97,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",102,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",103,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",106,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",108,82
com.alibaba.fastjson.serializer,SerializeWriter,SerializeWriter,"java.io.Writer,int,com.alibaba.fastjson.serializer.SerializerFeature[]",109,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,170,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,171,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,172,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,173,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,174,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,175,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,176,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,177,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,178,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,180,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,185,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,187,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,189,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,204,82
com.alibaba.fastjson.serializer,SerializeWriter,computeFeatures,,207,82
com.alibaba.fastjson.serializer,SerializeWriter,isEnabled,com.alibaba.fastjson.serializer.SerializerFeature,218,82
com.alibaba.fastjson.serializer,SerializeWriter,write,int,229,82
com.alibaba.fastjson.serializer,SerializeWriter,write,int,230,82
com.alibaba.fastjson.serializer,SerializeWriter,write,int,238,82
com.alibaba.fastjson.serializer,SerializeWriter,write,int,239,82
com.alibaba.fastjson.serializer,SerializeWriter,write,int,240,82
com.alibaba.fastjson.serializer,SerializeWriter,append,java.lang.CharSequence,297,82
com.alibaba.fastjson.serializer,SerializeWriter,append,java.lang.CharSequence,298,82
com.alibaba.fastjson.serializer,SerializeWriter,append,java.lang.CharSequence,299,82
com.alibaba.fastjson.serializer,SerializeWriter,append,char,309,82
com.alibaba.fastjson.serializer,SerializeWriter,append,char,310,82
com.alibaba.fastjson.serializer,SerializeWriter,write,"java.lang.String,int,int",321,82
com.alibaba.fastjson.serializer,SerializeWriter,write,"java.lang.String,int,int",322,82
com.alibaba.fastjson.serializer,SerializeWriter,write,"java.lang.String,int,int",337,82
com.alibaba.fastjson.serializer,SerializeWriter,write,"java.lang.String,int,int",338,82
com.alibaba.fastjson.serializer,SerializeWriter,write,"java.lang.String,int,int",339,82
com.alibaba.fastjson.serializer,SerializeWriter,toString,,466,82
com.alibaba.fastjson.serializer,SerializeWriter,close,,474,82
com.alibaba.fastjson.serializer,SerializeWriter,close,,477,82
com.alibaba.fastjson.serializer,SerializeWriter,close,,478,82
com.alibaba.fastjson.serializer,SerializeWriter,close,,481,82
com.alibaba.fastjson.serializer,SerializeWriter,close,,482,82
com.alibaba.fastjson.serializer,SerializeFilterable,SerializeFilterable,,11,82
com.alibaba.fastjson.serializer,SerializeFilterable,SerializeFilterable,,13,82
com.alibaba.fastjson.serializer,SerializeFilterable,SerializeFilterable,,14,82
com.alibaba.fastjson.serializer,SerializeFilterable,SerializeFilterable,,15,82
com.alibaba.fastjson.serializer,SerializeFilterable,SerializeFilterable,,16,82
com.alibaba.fastjson.serializer,SerializeFilterable,SerializeFilterable,,17,82
com.alibaba.fastjson.serializer,SerializeFilterable,SerializeFilterable,,18,82
com.alibaba.fastjson.serializer,SerializeFilterable,SerializeFilterable,,19,82
com.alibaba.fastjson.serializer,SerializeFilterable,SerializeFilterable,,20,82
com.alibaba.fastjson.serializer,SerializeFilterable,SerializeFilterable,,22,82
com.alibaba.fastjson.serializer,JSONSerializer,JSONSerializer,com.alibaba.fastjson.serializer.SerializeWriter,56,82
com.alibaba.fastjson.serializer,JSONSerializer,JSONSerializer,com.alibaba.fastjson.serializer.SerializeWriter,57,82
com.alibaba.fastjson.serializer,JSONSerializer,JSONSerializer,"com.alibaba.fastjson.serializer.SerializeWriter,com.alibaba.fastjson.serializer.SerializeConfig",63,82
com.alibaba.fastjson.serializer,JSONSerializer,JSONSerializer,"com.alibaba.fastjson.serializer.SerializeWriter,com.alibaba.fastjson.serializer.SerializeConfig",39,82
com.alibaba.fastjson.serializer,JSONSerializer,JSONSerializer,"com.alibaba.fastjson.serializer.SerializeWriter,com.alibaba.fastjson.serializer.SerializeConfig",40,82
com.alibaba.fastjson.serializer,JSONSerializer,JSONSerializer,"com.alibaba.fastjson.serializer.SerializeWriter,com.alibaba.fastjson.serializer.SerializeConfig",45,82
com.alibaba.fastjson.serializer,JSONSerializer,JSONSerializer,"com.alibaba.fastjson.serializer.SerializeWriter,com.alibaba.fastjson.serializer.SerializeConfig",48,82
com.alibaba.fastjson.serializer,JSONSerializer,JSONSerializer,"com.alibaba.fastjson.serializer.SerializeWriter,com.alibaba.fastjson.serializer.SerializeConfig",49,82
com.alibaba.fastjson.serializer,JSONSerializer,JSONSerializer,"com.alibaba.fastjson.serializer.SerializeWriter,com.alibaba.fastjson.serializer.SerializeConfig",64,82
com.alibaba.fastjson.serializer,JSONSerializer,JSONSerializer,"com.alibaba.fastjson.serializer.SerializeWriter,com.alibaba.fastjson.serializer.SerializeConfig",65,82
com.alibaba.fastjson.serializer,JSONSerializer,JSONSerializer,"com.alibaba.fastjson.serializer.SerializeWriter,com.alibaba.fastjson.serializer.SerializeConfig",66,82
com.alibaba.fastjson.serializer,JSONSerializer,setContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int",109,82
com.alibaba.fastjson.serializer,JSONSerializer,setContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int",110,82
com.alibaba.fastjson.serializer,JSONSerializer,setContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",113,82
com.alibaba.fastjson.serializer,JSONSerializer,setContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",117,82
com.alibaba.fastjson.serializer,JSONSerializer,setContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",118,82
com.alibaba.fastjson.serializer,JSONSerializer,setContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",119,82
com.alibaba.fastjson.serializer,JSONSerializer,setContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",121,82
com.alibaba.fastjson.serializer,JSONSerializer,setContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",122,82
com.alibaba.fastjson.serializer,JSONSerializer,write,java.lang.Object,272,82
com.alibaba.fastjson.serializer,JSONSerializer,write,java.lang.Object,277,82
com.alibaba.fastjson.serializer,JSONSerializer,write,java.lang.Object,278,82
com.alibaba.fastjson.serializer,JSONSerializer,write,java.lang.Object,281,82
com.alibaba.fastjson.serializer,JSONSerializer,write,java.lang.Object,284,82
com.alibaba.fastjson.serializer,JSONSerializer,write,java.lang.Object,285,82
com.alibaba.fastjson.serializer,JSONSerializer,getObjectWriter,java.lang.Class,377,82
com.alibaba.fastjson.serializer,SerialContext,SerialContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",10,82
com.alibaba.fastjson.serializer,SerialContext,SerialContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",11,82
com.alibaba.fastjson.serializer,SerialContext,SerialContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",12,82
com.alibaba.fastjson.serializer,SerialContext,SerialContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",13,82
com.alibaba.fastjson.serializer,SerialContext,SerialContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",14,82
com.alibaba.fastjson.serializer,SerialContext,SerialContext,"com.alibaba.fastjson.serializer.SerialContext,java.lang.Object,java.lang.Object,int,int",15,82
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.String,com.alibaba.fastjson.parser.ParserConfig,int",133,82
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.String,com.alibaba.fastjson.parser.ParserConfig,int",134,82
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",148,82
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",48,82
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",56,82
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",64,82
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",66,82
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",67,82
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",68,82
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",71,82
com.alibaba.fastjson.parser,DefaultJSONParser,DefaultJSONParser,"java.lang.Object,com.alibaba.fastjson.parser.JSONLexer,com.alibaba.fastjson.parser.ParserConfig",149,82
