package,class,method,parameter,line,bug
com.alibaba.fastjson.parser,ParserConfig,getGlobalInstance,,91,82
com.alibaba.fastjson.util,IOUtils,firstIdentifier,char,372,82
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,42,82
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,43,82
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,45,82
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,46,82
com.alibaba.fastjson.util,IdentityHashMap,get,java.lang.Object,47,82
com.alibaba.fastjson,JSON,JSON,,72,82
com.alibaba.fastjson,JSON,toString,,860,82
com.alibaba.fastjson,JSON,toJSONString,,864,82
com.alibaba.fastjson,JSON,toJSONString,,866,82
com.alibaba.fastjson,JSON,toJSONString,,867,82
com.alibaba.fastjson,JSON,toJSONString,,869,82
com.alibaba.fastjson.parser,Feature,config,"int,com.alibaba.fastjson.parser.Feature,boolean",156,82
com.alibaba.fastjson.parser,Feature,config,"int,com.alibaba.fastjson.parser.Feature,boolean",157,82
com.alibaba.fastjson.parser,Feature,config,"int,com.alibaba.fastjson.parser.Feature,boolean",162,82
com.alibaba.fastjson.serializer,SerializerFeature,isEnabled,"int,com.alibaba.fastjson.serializer.SerializerFeature",168,82
com.alibaba.fastjson.util,TypeUtils,isNumber,java.lang.String,565,82
com.alibaba.fastjson.util,TypeUtils,isNumber,java.lang.String,566,82
com.alibaba.fastjson.util,TypeUtils,isNumber,java.lang.String,567,82
com.alibaba.fastjson.util,TypeUtils,isNumber,java.lang.String,571,82
com.alibaba.fastjson.util,TypeUtils,isNumber,java.lang.String,572,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2410,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2411,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2412,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2413,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2414,82
com.alibaba.fastjson.util,TypeUtils,fnv1a_64,java.lang.String,2416,82
