package,class,method,parameter,line,bug
com.alibaba.fastjson.parser,ParserConfig,getGlobalInstance,,166,88
com.alibaba.fastjson,JSON,JSON,,67,88
com.alibaba.fastjson.util,TypeUtils,castToJavaBean,"java.lang.Object,java.lang.Class",1009,88
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1014,88
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1015,88
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1017,88
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1019,88
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1021,88
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1023,88
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1025,88
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1027,88
com.alibaba.fastjson.util,TypeUtils,cast,"java.lang.Object,java.lang.Class,com.alibaba.fastjson.parser.ParserConfig",1030,88
com.alibaba.fastjson,JSONObject,JSONObject,,63,88
com.alibaba.fastjson,JSONObject,JSONObject,,64,88
com.alibaba.fastjson,JSONObject,JSONObject,"int,boolean",81,88
com.alibaba.fastjson,JSONObject,JSONObject,"int,boolean",82,88
com.alibaba.fastjson,JSONObject,JSONObject,"int,boolean",85,88
com.alibaba.fastjson,JSONObject,JSONObject,"int,boolean",87,88
com.alibaba.fastjson,JSONObject,getObject,"java.lang.String,java.lang.Class",156,88
com.alibaba.fastjson,JSONObject,getObject,"java.lang.String,java.lang.Class",157,88
com.alibaba.fastjson,JSONObject,put,"java.lang.String,java.lang.Object",347,88
