project,bug,top_hits,top_index
Fastjson,1,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,2,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,3,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,4,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,5,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,6,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,7,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,8,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,9,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,10,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,11,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,12,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,13,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,14,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,15,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,16,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,17,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,18,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,19,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,20,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,21,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,22,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,23,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,24,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,25,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,26,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,27,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,28,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,29,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,30,['JavaBeanDeserializer#deserialze'],[1]
Fastjson,31,['JSON#toJSONString'],[2]
Fastjson,32,['JavaBeanDeserializer#createInstance'],[1]
Fastjson,33,['JavaBeanDeserializer#createInstance'],[1]
Fastjson,34,['JavaBeanDeserializer#createInstance'],[1]
Fastjson,35,['JavaBeanDeserializer#createInstance'],[1]
Fastjson,36,['JavaBeanDeserializer#createInstance'],[1]
Fastjson,37,[],[]
Fastjson,38,[],[]
Fastjson,39,[],[]
Fastjson,40,[],[]
Fastjson,41,[],[]
Fastjson,42,[],[]
Fastjson,43,[],[]
Fastjson,44,[],[]
Fastjson,45,[],[]
Fastjson,46,[],[]
Fastjson,47,[],[]
Fastjson,48,[],[]
Fastjson,49,[],[]
Fastjson,50,"['JSONPath#eval', 'JSONPath#JSONPath']","[8, 7]"
Fastjson,51,"['JSONPath#eval', 'JSONPath#JSONPath']","[8, 7]"
Fastjson,52,"['JSONPath#eval', 'JSONPath#JSONPath']","[8, 7]"
Fastjson,53,[],[]
Fastjson,54,[],[]
Fastjson,55,[],[]
Fastjson,56,[],[]
Fastjson,57,[],[]
Fastjson,58,[],[]
Fastjson,59,[],[]
Fastjson,60,[],[]
Fastjson,61,[],[]
Fastjson,62,['TypeUtils#castToBigInteger'],[4]
Fastjson,63,['TypeUtils#castToBigInteger'],[4]
Fastjson,64,['TypeUtils#castToBigInteger'],[4]
Fastjson,65,['TypeUtils#castToBigInteger'],[4]
Fastjson,66,['MapDeserializer#deserialze'],[3]
Fastjson,67,[],[]
Fastjson,68,[],[]
Fastjson,69,[],[]
Fastjson,70,[],[]
Fastjson,71,[],[]
Fastjson,72,[],[]
Fastjson,73,[],[]
Fastjson,74,[],[]
Fastjson,75,[],[]
Fastjson,76,['JavaBeanDeserializer#createInstance'],[8]
Fastjson,77,['JavaBeanDeserializer#createInstance'],[8]
Fastjson,78,"['JSONPath#extract', 'JSONScanner#seekObjectToField', 'JSONScanner#skipObject']","[10, 9, 8]"
Fastjson,79,"['JSONPath#extract', 'JSONScanner#seekObjectToField', 'JSONScanner#skipObject']","[10, 9, 8]"
Fastjson,80,"['JSONPath#extract', 'JSONScanner#seekObjectToField', 'JSONScanner#skipObject']","[10, 9, 8]"
Fastjson,81,"['JSONPath#extract', 'JSONScanner#seekObjectToField', 'JSONScanner#skipObject']","[10, 9, 8]"
Fastjson,82,"['JSONPath#extract', 'JSONScanner#seekObjectToField', 'JSONScanner#skipObject']","[10, 9, 8]"
Fastjson,83,"['JSONPath#extract', 'JSONScanner#seekObjectToField', 'JSONScanner#skipObject']","[10, 9, 8]"
Fastjson,84,[],[]
Fastjson,85,"['Jdk8DateCodec#parseLocalDate', 'Jdk8DateCodec#parseZonedDateTime', 'JodaCodec#parseDateTime', 'JodaCodec#parseLocalDate', 'JodaCodec#deserialze', 'Jdk8DateCodec#parseDateTime', 'Jdk8DateCodec#deserialze']","[7, 6, 5, 4, 3, 2, 1]"
Fastjson,86,"['Jdk8DateCodec#parseLocalDate', 'Jdk8DateCodec#parseZonedDateTime', 'JodaCodec#parseDateTime', 'JodaCodec#parseLocalDate', 'JodaCodec#deserialze', 'Jdk8DateCodec#parseDateTime', 'Jdk8DateCodec#deserialze']","[7, 6, 5, 4, 3, 2, 1]"
Fastjson,87,"['Jdk8DateCodec#parseLocalDate', 'Jdk8DateCodec#parseZonedDateTime', 'JodaCodec#parseDateTime', 'JodaCodec#parseLocalDate', 'JodaCodec#deserialze', 'Jdk8DateCodec#parseDateTime', 'Jdk8DateCodec#deserialze']","[7, 6, 5, 4, 3, 2, 1]"
Fastjson,88,[],[]
