package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,getFormatName,,478,10
com.fasterxml.jackson.core,JsonFactory,getFormatName,,479,10
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,965,10
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,966,10
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,967,10
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,968,10
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1139,10
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1140,10
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1141,10
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1142,10
com.fasterxml.jackson.core,JsonFactory,createGenerator,java.io.OutputStream,1157,10
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1429,10
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1431,10
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1434,10
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1435,10
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1438,10
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1500,10
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1506,10
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1540,10
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1541,10
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1542,10
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1544,10
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1548,10
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1558,10
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1616,10
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1617,10
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1620,10
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,144,10
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,145,10
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,315,10
com.fasterxml.jackson.core$JsonGenerator,Feature,enabledIn,int,243,10
com.fasterxml.jackson.core$JsonGenerator,Feature,getMask,,245,10
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",249,10
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",250,10
