package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,getFormatName,,478,11
com.fasterxml.jackson.core,JsonFactory,getFormatName,,479,11
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,965,11
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,966,11
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,967,11
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,968,11
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1139,11
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1140,11
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1141,11
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1142,11
com.fasterxml.jackson.core,JsonFactory,createGenerator,java.io.OutputStream,1157,11
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1429,11
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1431,11
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1434,11
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1435,11
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1438,11
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1500,11
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1506,11
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1540,11
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1541,11
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1542,11
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1544,11
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1548,11
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1558,11
