package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,JsonFactory,,285,12
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,287,12
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,198,12
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,209,12
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,229,12
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,234,12
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,239,12
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,267,12
com.fasterxml.jackson.core,JsonFactory,getFormatName,,482,12
com.fasterxml.jackson.core,JsonFactory,getFormatName,,483,12
com.fasterxml.jackson.core,JsonFactory,configure,"com.fasterxml.jackson.core.JsonParser$Feature,boolean",588,12
com.fasterxml.jackson.core,JsonFactory,enable,com.fasterxml.jackson.core.JsonParser$Feature,596,12
com.fasterxml.jackson.core,JsonFactory,enable,com.fasterxml.jackson.core.JsonParser$Feature,597,12
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,969,12
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,970,12
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,971,12
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,972,12
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1544,12
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1545,12
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1546,12
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1548,12
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1552,12
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1562,12
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1618,12
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1621,12
com.fasterxml.jackson.core,JsonFactory,_isJSONFactory,,1626,12
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,144,12
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,145,12
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,315,12
com.fasterxml.jackson.core$JsonParser,Feature,getMask,,317,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,int,232,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,int,233,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,int,234,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,int,237,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,int,238,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,int,240,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,int,241,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,int,243,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,int,246,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,createRoot,,293,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,createRoot,,295,12
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,createRoot,,296,12
