package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,getFormatName,,478,14
com.fasterxml.jackson.core,JsonFactory,getFormatName,,479,14
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,965,14
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,966,14
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,967,14
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,968,14
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1540,14
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1541,14
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1542,14
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1544,14
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1548,14
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1558,14
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1616,14
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1617,14
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1620,14
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,144,14
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,145,14
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,315,14
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",249,14
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",250,14
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",251,14
