package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,getFormatName,,482,16
com.fasterxml.jackson.core,JsonFactory,getFormatName,,483,16
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,969,16
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,970,16
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,971,16
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,972,16
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1143,16
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1144,16
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1145,16
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1146,16
com.fasterxml.jackson.core,JsonFactory,createGenerator,java.io.OutputStream,1161,16
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1433,16
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1435,16
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1438,16
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1439,16
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1442,16
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1504,16
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1510,16
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1544,16
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1545,16
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1546,16
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1548,16
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1552,16
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1562,16
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1618,16
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1621,16
com.fasterxml.jackson.core,JsonFactory,_isJSONFactory,,1626,16
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,144,16
