class,method,line,bug
release-notes/CREDITS,,138,Jackson-core_17
release-notes/CREDITS,,139,Jackson-core_17
release-notes/CREDITS,,140,Jackson-core_17
release-notes/CREDITS,,141,Jackson-core_17
release-notes/VERSION,,31,Jackson-core_17
release-notes/VERSION,,38,Jackson-core_17
release-notes/VERSION,,39,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/JsonParseException.java,,60,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,writeRootValueSeparator,60,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,writeStartObject,74,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,writeEndObject,89,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,writeObjectEntrySeparator,100,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,writeObjectFieldValueSeparator,111,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,writeStartArray,125,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,writeEndArray,140,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,writeArrayValueSeparator,151,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,beforeArrayValues,169,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,beforeObjectEntries,180,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,10,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,11,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,12,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,23,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,28,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,29,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,30,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,31,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,32,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,33,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,34,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,35,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,36,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,37,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,38,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/PrettyPrinter.java,,39,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,229,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,230,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,231,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,232,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,233,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,234,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,235,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,236,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,237,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,238,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,239,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,240,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,241,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,242,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,243,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,244,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,245,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,246,Jackson-core_17
src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,nextToken,247,Jackson-core_17
