package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,getFormatName,,478,23
com.fasterxml.jackson.core,JsonFactory,getFormatName,,479,23
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,965,23
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,966,23
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,967,23
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,968,23
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1540,23
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1541,23
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1542,23
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1544,23
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1548,23
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1558,23
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1616,23
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1617,23
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1620,23
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,144,23
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,145,23
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,315,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",249,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",250,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",251,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",252,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",253,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",254,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",257,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",258,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",259,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",260,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",261,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",263,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",264,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",266,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",267,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",270,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",271,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",272,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,304,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,305,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,307,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,308,23
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",102,23
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",103,23
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",104,23
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",105,23
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",106,23
com.fasterxml.jackson.core.io,IOContext,getSourceReference,,126,23
com.fasterxml.jackson.core.io,IOContext,constructTextBuffer,,137,23
com.fasterxml.jackson.core.io,IOContext,allocReadIOBuffer,int,154,23
com.fasterxml.jackson.core.io,IOContext,allocReadIOBuffer,int,155,23
com.fasterxml.jackson.core.io,IOContext,_verifyAlloc,java.lang.Object,277,23
com.fasterxml.jackson.core.io,IOContext,_verifyAlloc,java.lang.Object,278,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",90,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",91,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",92,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",94,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",95,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",96,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",100,23
com.fasterxml.jackson.core.util,BufferRecycler,byteBufferLength,int,142,23
com.fasterxml.jackson.core.util,BufferRecycler,balloc,int,155,23
com.fasterxml.jackson.core,JsonParser,JsonParser,int,347,23
com.fasterxml.jackson.core,JsonParser,isEnabled,com.fasterxml.jackson.core.JsonParser$Feature,685,23
com.fasterxml.jackson.core,JsonParser,_constructError,java.lang.String,1798,23
com.fasterxml.jackson.core,JsonParser,_constructError,java.lang.String,1799,23
com.fasterxml.jackson.core.base,ParserMinimalBase,ParserMinimalBase,int,158,23
com.fasterxml.jackson.core.base,ParserMinimalBase,currentToken,,184,23
com.fasterxml.jackson.core.base,ParserMinimalBase,_reportUnexpectedChar,"int,java.lang.String",552,23
com.fasterxml.jackson.core.base,ParserMinimalBase,_reportUnexpectedChar,"int,java.lang.String",555,23
com.fasterxml.jackson.core.base,ParserMinimalBase,_reportUnexpectedChar,"int,java.lang.String",556,23
com.fasterxml.jackson.core.base,ParserMinimalBase,_reportUnexpectedChar,"int,java.lang.String",557,23
com.fasterxml.jackson.core.base,ParserMinimalBase,_reportUnexpectedChar,"int,java.lang.String",559,23
com.fasterxml.jackson.core.base,ParserMinimalBase,_getCharDesc,int,650,23
com.fasterxml.jackson.core.base,ParserMinimalBase,_getCharDesc,int,651,23
com.fasterxml.jackson.core.base,ParserMinimalBase,_getCharDesc,int,654,23
com.fasterxml.jackson.core.base,ParserMinimalBase,_getCharDesc,int,657,23
com.fasterxml.jackson.core.base,ParserMinimalBase,_reportError,java.lang.String,661,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",231,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",76,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",105,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",180,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",232,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",233,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",234,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",235,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",236,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",237,23
com.fasterxml.jackson.core.base,ParserBase,getCurrentLocation,,396,23
com.fasterxml.jackson.core.base,ParserBase,getCurrentLocation,,397,23
com.fasterxml.jackson.core.base,ParserBase,_getSourceReference,,1104,23
com.fasterxml.jackson.core.base,ParserBase,_getSourceReference,,1105,23
com.fasterxml.jackson.core.util,TextBuffer,TextBuffer,com.fasterxml.jackson.core.util.BufferRecycler,121,23
com.fasterxml.jackson.core.util,TextBuffer,TextBuffer,com.fasterxml.jackson.core.util.BufferRecycler,122,23
com.fasterxml.jackson.core.util,TextBuffer,TextBuffer,com.fasterxml.jackson.core.util.BufferRecycler,123,23
com.fasterxml.jackson.core,JsonStreamContext,JsonStreamContext,,45,23
com.fasterxml.jackson.core,JsonStreamContext,inObject,,95,23
com.fasterxml.jackson.core.json,JsonReadContext,JsonReadContext,"com.fasterxml.jackson.core.json.JsonReadContext,com.fasterxml.jackson.core.json.DupDetector,int,int,int",57,23
com.fasterxml.jackson.core.json,JsonReadContext,JsonReadContext,"com.fasterxml.jackson.core.json.JsonReadContext,com.fasterxml.jackson.core.json.DupDetector,int,int,int",58,23
com.fasterxml.jackson.core.json,JsonReadContext,JsonReadContext,"com.fasterxml.jackson.core.json.JsonReadContext,com.fasterxml.jackson.core.json.DupDetector,int,int,int",59,23
com.fasterxml.jackson.core.json,JsonReadContext,JsonReadContext,"com.fasterxml.jackson.core.json.JsonReadContext,com.fasterxml.jackson.core.json.DupDetector,int,int,int",60,23
com.fasterxml.jackson.core.json,JsonReadContext,JsonReadContext,"com.fasterxml.jackson.core.json.JsonReadContext,com.fasterxml.jackson.core.json.DupDetector,int,int,int",61,23
com.fasterxml.jackson.core.json,JsonReadContext,JsonReadContext,"com.fasterxml.jackson.core.json.JsonReadContext,com.fasterxml.jackson.core.json.DupDetector,int,int,int",62,23
com.fasterxml.jackson.core.json,JsonReadContext,JsonReadContext,"com.fasterxml.jackson.core.json.JsonReadContext,com.fasterxml.jackson.core.json.DupDetector,int,int,int",63,23
com.fasterxml.jackson.core.json,JsonReadContext,JsonReadContext,"com.fasterxml.jackson.core.json.JsonReadContext,com.fasterxml.jackson.core.json.DupDetector,int,int,int",64,23
com.fasterxml.jackson.core.json,JsonReadContext,createRootContext,com.fasterxml.jackson.core.json.DupDetector,110,23
com.fasterxml.jackson.core.json,JsonReadContext,createChildArrayContext,"int,int",114,23
com.fasterxml.jackson.core.json,JsonReadContext,createChildArrayContext,"int,int",115,23
com.fasterxml.jackson.core.json,JsonReadContext,createChildArrayContext,"int,int",116,23
com.fasterxml.jackson.core.json,JsonReadContext,createChildArrayContext,"int,int",117,23
com.fasterxml.jackson.core.json,JsonReadContext,createChildArrayContext,"int,int",121,23
