package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,getFormatName,,478,23
com.fasterxml.jackson.core,JsonFactory,getFormatName,,479,23
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,965,23
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,966,23
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,967,23
com.fasterxml.jackson.core,JsonFactory,createNonBlockingByteArrayParser,,968,23
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1139,23
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1140,23
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1141,23
com.fasterxml.jackson.core,JsonFactory,createGenerator,"java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding",1142,23
com.fasterxml.jackson.core,JsonFactory,createGenerator,java.io.OutputStream,1157,23
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1429,23
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1431,23
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1434,23
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1435,23
com.fasterxml.jackson.core,JsonFactory,_createUTF8Generator,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1438,23
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1500,23
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext",1506,23
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1540,23
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1541,23
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1542,23
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1544,23
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1548,23
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1558,23
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1616,23
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1617,23
com.fasterxml.jackson.core,JsonFactory,_requireJSONFactory,java.lang.String,1620,23
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,144,23
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,145,23
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,315,23
com.fasterxml.jackson.core$JsonGenerator,Feature,enabledIn,int,243,23
com.fasterxml.jackson.core$JsonGenerator,Feature,getMask,,245,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",249,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",250,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",251,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",252,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",253,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",254,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",257,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",258,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",259,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",260,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",261,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",263,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",264,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",266,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",267,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",270,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",271,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,ByteQuadsCanonicalizer,"com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo",272,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,304,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,305,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,307,23
com.fasterxml.jackson.core.sym,ByteQuadsCanonicalizer,makeChild,int,308,23
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",102,23
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",103,23
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",104,23
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",105,23
com.fasterxml.jackson.core.io,IOContext,IOContext,"com.fasterxml.jackson.core.util.BufferRecycler,java.lang.Object,boolean",106,23
com.fasterxml.jackson.core.io,IOContext,setEncoding,com.fasterxml.jackson.core.JsonEncoding,109,23
com.fasterxml.jackson.core.io,IOContext,setEncoding,com.fasterxml.jackson.core.JsonEncoding,110,23
com.fasterxml.jackson.core.io,IOContext,isResourceManaged,,128,23
com.fasterxml.jackson.core.io,IOContext,constructTextBuffer,,137,23
com.fasterxml.jackson.core.io,IOContext,allocReadIOBuffer,int,154,23
com.fasterxml.jackson.core.io,IOContext,allocReadIOBuffer,int,155,23
com.fasterxml.jackson.core.io,IOContext,allocWriteEncodingBuffer,,159,23
com.fasterxml.jackson.core.io,IOContext,allocWriteEncodingBuffer,,160,23
com.fasterxml.jackson.core.io,IOContext,allocConcatBuffer,,201,23
com.fasterxml.jackson.core.io,IOContext,allocConcatBuffer,,202,23
com.fasterxml.jackson.core.io,IOContext,releaseWriteEncodingBuffer,byte[],226,23
com.fasterxml.jackson.core.io,IOContext,releaseWriteEncodingBuffer,byte[],230,23
com.fasterxml.jackson.core.io,IOContext,releaseWriteEncodingBuffer,byte[],231,23
com.fasterxml.jackson.core.io,IOContext,releaseWriteEncodingBuffer,byte[],232,23
com.fasterxml.jackson.core.io,IOContext,releaseWriteEncodingBuffer,byte[],234,23
com.fasterxml.jackson.core.io,IOContext,releaseConcatBuffer,char[],253,23
com.fasterxml.jackson.core.io,IOContext,releaseConcatBuffer,char[],255,23
com.fasterxml.jackson.core.io,IOContext,releaseConcatBuffer,char[],256,23
com.fasterxml.jackson.core.io,IOContext,releaseConcatBuffer,char[],257,23
com.fasterxml.jackson.core.io,IOContext,releaseConcatBuffer,char[],259,23
com.fasterxml.jackson.core.io,IOContext,_verifyAlloc,java.lang.Object,277,23
com.fasterxml.jackson.core.io,IOContext,_verifyAlloc,java.lang.Object,278,23
com.fasterxml.jackson.core.io,IOContext,_verifyRelease,"byte[],byte[]",282,23
com.fasterxml.jackson.core.io,IOContext,_verifyRelease,"byte[],byte[]",283,23
com.fasterxml.jackson.core.io,IOContext,_verifyRelease,"char[],char[]",287,23
com.fasterxml.jackson.core.io,IOContext,_verifyRelease,"char[],char[]",288,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,int,86,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",90,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",91,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",92,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",94,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",95,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",96,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",98,23
com.fasterxml.jackson.core.util,BufferRecycler,allocByteBuffer,"int,int",100,23
com.fasterxml.jackson.core.util,BufferRecycler,releaseByteBuffer,"int,byte[]",104,23
com.fasterxml.jackson.core.util,BufferRecycler,releaseByteBuffer,"int,byte[]",105,23
com.fasterxml.jackson.core.util,BufferRecycler,allocCharBuffer,int,114,23
com.fasterxml.jackson.core.util,BufferRecycler,allocCharBuffer,"int,int",118,23
com.fasterxml.jackson.core.util,BufferRecycler,allocCharBuffer,"int,int",119,23
com.fasterxml.jackson.core.util,BufferRecycler,allocCharBuffer,"int,int",120,23
com.fasterxml.jackson.core.util,BufferRecycler,allocCharBuffer,"int,int",122,23
com.fasterxml.jackson.core.util,BufferRecycler,allocCharBuffer,"int,int",123,23
com.fasterxml.jackson.core.util,BufferRecycler,allocCharBuffer,"int,int",126,23
com.fasterxml.jackson.core.util,BufferRecycler,allocCharBuffer,"int,int",128,23
com.fasterxml.jackson.core.util,BufferRecycler,releaseCharBuffer,"int,char[]",132,23
com.fasterxml.jackson.core.util,BufferRecycler,releaseCharBuffer,"int,char[]",133,23
com.fasterxml.jackson.core.util,BufferRecycler,byteBufferLength,int,142,23
com.fasterxml.jackson.core.util,BufferRecycler,charBufferLength,int,146,23
com.fasterxml.jackson.core.util,BufferRecycler,balloc,int,155,23
com.fasterxml.jackson.core,JsonParser,JsonParser,int,347,23
com.fasterxml.jackson.core.base,ParserMinimalBase,ParserMinimalBase,int,158,23
com.fasterxml.jackson.core.base,ParserMinimalBase,currentToken,,184,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",231,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",76,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",105,23
com.fasterxml.jackson.core.base,ParserBase,ParserBase,"com.fasterxml.jackson.core.io.IOContext,int",180,23
