package,class,method,parameter,line,bug
com.fasterxml.jackson.core$JsonFactory,Feature,collectDefaults,,119,25
com.fasterxml.jackson.core$JsonFactory,Feature,collectDefaults,,120,25
com.fasterxml.jackson.core$JsonFactory,Feature,collectDefaults,,121,25
com.fasterxml.jackson.core$JsonFactory,Feature,collectDefaults,,123,25
com.fasterxml.jackson.core$JsonFactory,Feature,enabledByDefault,,128,25
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,129,25
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,130,25
com.fasterxml.jackson.core.util,InternCache,intern,java.lang.String,40,25
com.fasterxml.jackson.core.util,InternCache,intern,java.lang.String,41,25
com.fasterxml.jackson.core.util,InternCache,intern,java.lang.String,48,25
com.fasterxml.jackson.core.util,InternCache,intern,java.lang.String,53,25
com.fasterxml.jackson.core.util,InternCache,intern,java.lang.String,54,25
com.fasterxml.jackson.core.util,InternCache,intern,java.lang.String,55,25
com.fasterxml.jackson.core.util,InternCache,intern,java.lang.String,57,25
com.fasterxml.jackson.core.util,InternCache,intern,java.lang.String,59,25
com.fasterxml.jackson.core.util,InternCache,intern,java.lang.String,60,25
com.fasterxml.jackson.core.util,InternCache,intern,java.lang.String,61,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"int,boolean,int,boolean",268,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"int,boolean,int,boolean",269,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"int,boolean,int,boolean",270,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"int,boolean,int,boolean",271,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"int,boolean,int,boolean",272,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"int,boolean,int,boolean",274,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"int,boolean,int,boolean",280,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"int,boolean,int,boolean",288,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"int,boolean,int,boolean",289,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",296,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",297,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",298,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",299,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",300,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",301,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",304,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",305,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",306,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",307,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",308,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",309,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",310,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",311,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",314,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",315,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",316,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",317,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,BytesToNameCanonicalizer,"com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer,boolean,int,boolean,com.fasterxml.jackson.core.sym.BytesToNameCanonicalizer$TableInfo",318,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,initTableInfo,int,325,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,createRoot,int,361,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,makeChild,int,369,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,makeChild,int,370,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,makeChild,int,372,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,makeChild,int,373,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,size,,442,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,size,,446,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,bucketCount,,452,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,collisionCount,,473,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,maxCollisionLength,,483,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",693,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",694,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",697,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",698,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",699,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",700,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",701,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",703,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",706,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",708,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",709,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,addName,"java.lang.String,int[],int",710,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,int,735,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,int,736,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,int,737,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,int,738,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int",746,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int",747,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int",748,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int",749,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int",750,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int",751,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int,int",757,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int,int",758,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int,int",759,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int,int",760,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int,int",761,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int,int",762,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int,int",763,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int,int",764,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int,int",767,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int,int",768,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int,int,int",770,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int[],int",775,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int[],int",784,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int[],int",785,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int[],int",786,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int[],int",787,25
com.fasterxml.jackson.core.sym,BytesToNameCanonicalizer,calcHash,"int[],int",788,25
