package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,JsonFactory,,268,26
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,270,26
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,183,26
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,192,26
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,212,26
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,217,26
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,222,26
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,250,26
com.fasterxml.jackson.core,JsonFactory,createParser,byte[],783,26
com.fasterxml.jackson.core,JsonFactory,createParser,byte[],784,26
com.fasterxml.jackson.core,JsonFactory,createParser,byte[],790,26
com.fasterxml.jackson.core,JsonFactory,createGenerator,java.io.Writer,1050,26
com.fasterxml.jackson.core,JsonFactory,createGenerator,java.io.Writer,1051,26
com.fasterxml.jackson.core,JsonFactory,_createParser,"byte[],int,int,com.fasterxml.jackson.core.io.IOContext",1238,26
com.fasterxml.jackson.core,JsonFactory,_createGenerator,"java.io.Writer,com.fasterxml.jackson.core.io.IOContext",1261,26
com.fasterxml.jackson.core,JsonFactory,_createGenerator,"java.io.Writer,com.fasterxml.jackson.core.io.IOContext",1263,26
com.fasterxml.jackson.core,JsonFactory,_createGenerator,"java.io.Writer,com.fasterxml.jackson.core.io.IOContext",1266,26
com.fasterxml.jackson.core,JsonFactory,_createGenerator,"java.io.Writer,com.fasterxml.jackson.core.io.IOContext",1267,26
com.fasterxml.jackson.core,JsonFactory,_createGenerator,"java.io.Writer,com.fasterxml.jackson.core.io.IOContext",1270,26
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.Writer,com.fasterxml.jackson.core.io.IOContext",1355,26
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.Writer,com.fasterxml.jackson.core.io.IOContext",1361,26
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1378,26
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1379,26
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1381,26
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1385,26
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1393,26
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,129,26
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,130,26
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,222,26
com.fasterxml.jackson.core$JsonGenerator,Feature,enabledIn,int,225,26
com.fasterxml.jackson.core$JsonGenerator,Feature,getMask,,227,26
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",265,26
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",266,26
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",268,26
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",269,26
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",271,26
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",272,26
