package,class,method,parameter,line,bug
com.fasterxml.jackson.core,JsonFactory,JsonFactory,,268,27
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,270,27
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,183,27
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,192,27
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,212,27
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,217,27
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,222,27
com.fasterxml.jackson.core,JsonFactory,JsonFactory,com.fasterxml.jackson.core.ObjectCodec,250,27
com.fasterxml.jackson.core,JsonFactory,createParser,java.io.Reader,772,27
com.fasterxml.jackson.core,JsonFactory,createParser,java.io.Reader,773,27
com.fasterxml.jackson.core,JsonFactory,_createParser,"java.io.Reader,com.fasterxml.jackson.core.io.IOContext",1208,27
com.fasterxml.jackson.core,JsonFactory,_createParser,"java.io.Reader,com.fasterxml.jackson.core.io.IOContext",1209,27
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.Reader,com.fasterxml.jackson.core.io.IOContext",1329,27
com.fasterxml.jackson.core,JsonFactory,_decorate,"java.io.Reader,com.fasterxml.jackson.core.io.IOContext",1335,27
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1378,27
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1379,27
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1381,27
com.fasterxml.jackson.core,JsonFactory,_getBufferRecycler,,1385,27
com.fasterxml.jackson.core,JsonFactory,_createContext,"java.lang.Object,boolean",1393,27
com.fasterxml.jackson.core$JsonFactory,Feature,enabledIn,int,129,27
com.fasterxml.jackson.core$JsonFactory,Feature,getMask,,130,27
com.fasterxml.jackson.core$JsonParser,Feature,enabledIn,int,222,27
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",265,27
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",266,27
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",268,27
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",269,27
com.fasterxml.jackson.core.sym,CharsToNameCanonicalizer,CharsToNameCanonicalizer,"com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer,int,java.lang.String[],com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],int,int,int",271,27
